[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  6   9  69   1  14   0|   0     0 |  35k 7830k|1510413732
  2   5  87   0   6   0| 968k   13M|   0     0 |1510413733
  1   5  90   0   4   0| 911k   12M|   0     0 |1510413734
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413735
  2   5  88   2   3   0| 911k   12M|   0    64k|1510413736
  1   5  90   0   4   0| 911k   12M|   0     0 |1510413737
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413738
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413739
  1   5  91   0   3   0| 912k   12M|   0     0 |1510413740
  2   5  89   0   4   0| 925k   12M|   0     0 |1510413741
  2   5  85   4   4   0| 912k   12M|   0    12k|1510413742
  1   4  92   0   3   0| 912k   12M|   0     0 |1510413743
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413744
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413745
  2   5  89   0   4   0| 911k   12M|   0    28k|1510413746
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413747
  2   4  89   2   3   0| 911k   12M|   0    12k|1510413748
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413749
  2   5  89   0   4   0| 912k   12M|   0     0 |1510413750
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413751
  2   5  90   0   3   0| 912k   12M|   0     0 |1510413752
  2   4  90   0   4   0| 911k   12M|   0     0 |1510413753
  1   5  89   2   3   0| 911k   12M|   0    12k|1510413754
  2   5  89   0   4   0| 912k   12M|   0     0 |1510413755
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413756
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413757
  2   5  89   0   4   0| 912k   12M|   0     0 |1510413758
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413759
  1   5  86   4   4   0| 911k   12M|   0    12k|1510413760
  2   5  90   0   3   0| 911k   12M|   0  8192B|1510413761
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413762
  2   4  90   0   4   0| 911k   12M|   0     0 |1510413763
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413764
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413765
  2   4  88   3   3   0| 911k   12M|   0    32k|1510413766
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413767
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413768
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413769
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413770
  2   5  87   2   4   0| 911k   12M|   0    20k|1510413771
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413772
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413773
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413774
  1   5  90   0   4   0| 911k   12M|   0     0 |1510413775
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413776
  2   5  88   2   3   0| 911k   12M|   0    12k|1510413777
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413778
  1   5  90   0   4   0| 925k   12M|   0     0 |1510413779
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413780
  2   4  90   0   4   0| 911k   12M|   0    20k|1510413781
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413782
  2   5  85   4   4   0| 911k   12M|   0    12k|1510413783
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413784
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413785
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413786
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413787
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413788
  2   5  88   2   3   0| 911k   12M|   0    12k|1510413789
  1   4  91   0   4   0| 911k   12M|   0     0 |1510413790
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413791
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413792
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413793
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413794
  2   5  86   3   4   0| 910k   12M|   0    12k|1510413795
  2   5  90   0   3   0| 912k   12M|   0     0 |1510413796
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413797
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413798
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413799
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413800
  2   5  87   2   4   0| 911k   12M|   0    20k|1510413801
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413802
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413803
  2   5  90   0   3   0| 911k   12M|   0     0 |1510413804
  1   4  92   0   3   0| 911k   12M|   0     0 |1510413805
  2   5  86   3   4   0| 911k   12M|   0    20k|1510413806
  2   5  90   0   3   0| 913k   12M|   0     0 |1510413807
  2   4  90   0   4   0| 911k   12M|   0     0 |1510413808
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413809
  2   5  89   0   4   0| 911k   12M|   0     0 |1510413810
  2   4  91   0   3   0| 911k   12M|   0     0 |1510413811
  2   5  87   2   4   0| 911k   12M|   0    12k|1510413812
  1   5  91   0   3   0| 911k   12M|   0     0 |1510413813
