[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  4   5  89   1   2   0|   0     0 |  24k 8073k|1510415942
  6   7  85   0   3   0| 869k   13M|   0  8192B|1510415943
  5   7  83   1   3   0| 834k   12M|   0    44k|1510415944
  5   7  85   0   2   0| 829k   12M|   0     0 |1510415945
  6   7  84   0   4   0| 841k   12M|   0     0 |1510415946
  6   8  84   0   3   0| 876k   13M|   0     0 |1510415947
  6   7  84   0   3   0| 836k   12M|   0  8192B|1510415948
  6   7  83   1   3   0| 840k   12M|   0    20k|1510415949
  6   7  85   0   3   0| 830k   12M|   0     0 |1510415950
  6   7  84   0   2   0| 837k   12M|   0     0 |1510415951
  6   7  85   0   3   0| 821k   12M|   0     0 |1510415952
  6   7  85   0   3   0| 831k   12M|   0    36k|1510415953
  6   7  85   0   3   0| 891k   13M|   0     0 |1510415954
  5   7  83   1   3   0| 872k   13M|   0    20k|1510415955
  6   7  84   0   4   0| 816k   12M|   0     0 |1510415956
  6   7  85   0   3   0| 887k   13M|   0     0 |1510415957
  6   8  83   0   3   0| 830k   12M|   0     0 |1510415958
  6   7  84   0   3   0| 851k   13M|   0     0 |1510415959
  6   7  83   1   3   0| 850k   13M|   0    12k|1510415960
  7   9  81   0   3   0| 835k   12M|   0     0 |1510415961
  6   8  84   0   3   0| 870k   13M|   0     0 |1510415962
  5   7  85   0   3   0| 840k   12M|   0     0 |1510415963
  6   7  85   0   3   0| 805k   12M|   0     0 |1510415964
  6   8  84   0   3   0| 834k   12M|   0     0 |1510415965
  6   7  82   3   3   0| 864k   13M|   0    12k|1510415966
  6   7  84   0   3   0| 858k   13M|   0     0 |1510415967
  5   7  86   0   3   0| 837k   12M|   0     0 |1510415968
  6   7  84   0   3   0| 871k   13M|   0     0 |1510415969
  5   7  86   0   3   0| 840k   12M|   0     0 |1510415970
  6   7  83   2   3   0| 852k   13M|   0    12k|1510415971
  6   7  85   0   3   0| 869k   13M|   0     0 |1510415972
  5   6  85   0   3   0| 861k   13M|   0    12k|1510415973
  6   7  85   0   3   0| 838k   12M|   0     0 |1510415974
  6   7  85   0   3   0| 823k   12M|   0     0 |1510415975
  5   7  86   0   3   0| 822k   12M|   0     0 |1510415976
  6   7  83   2   3   0| 873k   13M|   0    20k|1510415977
  6   7  84   0   3   0| 871k   13M|   0     0 |1510415978
  6   7  86   0   3   0| 838k   12M|   0     0 |1510415979
  5   7  85   0   3   0| 847k   13M|   0     0 |1510415980
  6   7  84   0   3   0| 903k   13M|   0     0 |1510415981
  6   8  83   0   4   0| 845k   12M|   0     0 |1510415982
  6   7  82   3   3   0| 849k   13M|   0    12k|1510415983
  6   7  85   0   3   0| 865k   13M|   0     0 |1510415984
  6   7  84   0   3   0| 858k   13M|   0     0 |1510415985
  6   8  84   0   3   0| 864k   13M|   0     0 |1510415986
  6   7  85   0   3   0| 862k   13M|   0     0 |1510415987
  5   7  84   2   3   0| 838k   12M|   0    20k|1510415988
  6   8  84   0   3   0| 858k   13M|   0     0 |1510415989
  6   7  85   0   3   0| 827k   12M|   0     0 |1510415990
  6   7  84   0   3   0| 826k   12M|   0     0 |1510415991
  5   6  86   0   3   0| 842k   12M|   0     0 |1510415992
  6   7  83   1   3   0| 838k   12M|   0    12k|1510415993
  6   7  84   0   4   0| 846k   13M|   0     0 |1510415994
  6   7  85   0   3   0| 869k   13M|   0     0 |1510415995
  6   7  85   0   3   0| 837k   12M|   0     0 |1510415996
  6   7  85   0   3   0| 836k   12M|   0     0 |1510415997
  6   7  84   1   3   0| 847k   13M|   0    12k|1510415998
  6   7  85   0   3   0| 866k   13M|   0     0 |1510415999
  6   7  83   0   5   0| 867k   13M|   0     0 |1510416000
  6   7  83   0   3   0| 862k   13M|   0     0 |1510416001
  6   7  84   0   3   0| 856k   13M|   0     0 |1510416002
  6   7  83   0   4   0| 868k   13M|   0     0 |1510416003
  6   7  83   1   3   0| 860k   13M|   0    12k|1510416004
  6   7  84   0   3   0| 845k   13M|   0     0 |1510416005
  6   8  84   0   3   0| 870k   13M|   0     0 |1510416006
  6   6  85   0   3   0| 847k   13M|   0     0 |1510416007
  6   7  85   0   3   0| 859k   13M|   0    12k|1510416008
  6   8  82   0   4   0| 912k   14M|   0     0 |1510416009
  6   6  80   4   3   0| 872k   13M|   0    20k|1510416010
  6   7  84   0   4   0| 869k   13M|   0     0 |1510416011
  5   7  85   0   3   0| 841k   12M|   0     0 |1510416012
  6   8  83   0   4   0| 888k   13M|   0     0 |1510416013
  6   8  85   0   3   0| 822k   12M|   0     0 |1510416014
  6   7  86   0   3   0| 836k   12M|   0     0 |1510416015
  5   7  83   1   3   0| 799k   12M|   0    12k|1510416016
  6   7  85   0   3   0| 852k   13M|   0     0 |1510416017
  5   6  85   0   3   0| 826k   12M|   0     0 |1510416018
  6   7  85   0   3   0| 893k   13M|   0     0 |1510416019
  6   7  84   0   3   0| 869k   13M|   0     0 |1510416020
