[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  6   9  72   1  13   0|   0     0 |  30k 6723k|1510414635
  4   7  83   0   6   0|9500k  626k|   0     0 |1510414636
  5   8  79   0   8   0|  10M  705k|   0     0 |1510414637
  6   8  75   3   8   0|  10M  708k|   0    64k|1510414638
  5   8  80   0   7   0|  11M  731k|   0     0 |1510414639
  6   9  77   0   8   0|  11M  746k|   0     0 |1510414640
  6   8  77   0   9   0|  11M  762k|   0     0 |1510414641
  5   8  80   0   7   0|  11M  720k|   0     0 |1510414642
  5   8  80   0   7   0|  10M  698k|   0     0 |1510414643
  5   6  81   1   7   0|9596k  633k|   0    12k|1510414644
  5   8  80   0   7   0|9950k  656k|   0     0 |1510414645
  6   8  78   0   8   0|  10M  670k|   0     0 |1510414646
  5   7  81   0   6   0|  10M  671k|   0     0 |1510414647
  5   8  79   0   8   0|9938k  655k|   0     0 |1510414648
  5   7  81   0   7   0|  10M  666k|   0     0 |1510414649
  5   7  81   1   6   0|9818k  647k|   0    12k|1510414650
  6   7  80   0   7   0|  10M  673k|   0     0 |1510414651
  5   8  79   0   8   0|  10M  698k|   0     0 |1510414652
  5   9  77   0   9   0|  11M  755k|   0    28k|1510414653
  6   8  77   0   9   0|  11M  738k|   0     0 |1510414654
  5   7  82   0   6   0|9668k  637k|   0     0 |1510414655
  5   8  78   3   6   0|9533k  628k|   0    12k|1510414656
  5   7  80   0   8   0|  10M  699k|   0     0 |1510414657
  6   9  77   0   8   0|  11M  750k|   0     0 |1510414658
  6   7  79   0   8   0|  10M  677k|   0     0 |1510414659
  5   8  80   0   7   0|  10M  695k|   0     0 |1510414660
  6   8  79   0   7   0|  10M  672k|   0     0 |1510414661
  5   7  79   2   7   0|  10M  676k|   0    12k|1510414662
  6   8  79   0   7   0|  10M  698k|   0  8192B|1510414663
  5   7  81   0   7   0|  10M  687k|   0     0 |1510414664
  5   8  79   0   8   0|  10M  667k|   0     0 |1510414665
  5   7  81   0   7   0|  10M  683k|   0     0 |1510414666
  6   8  79   0   7   0|  11M  718k|   0     0 |1510414667
  5   8  77   2   8   0|  10M  682k|   0    36k|1510414668
  5   8  79   0   8   0|  11M  714k|   0     0 |1510414669
  4   7  83   0   6   0|8785k  579k|   0     0 |1510414670
  5   6  83   0   6   0|8619k  569k|   0     0 |1510414671
  5   8  80   0   7   0|9984k  658k|   0     0 |1510414672
  5   8  80   0   7   0|  11M  710k|   0     0 |1510414673
  5   7  78   3   7   0|9517k  628k|   0    12k|1510414674
  5   7  82   0   6   0|9533k  629k|   0     0 |1510414675
  5   7  82   0   6   0|9795k  646k|   0     0 |1510414676
  5   7  81   0   7   0|9848k  649k|   0     0 |1510414677
  5   8  80   0   7   0|  10M  672k|   0     0 |1510414678
  5   6  83   0   6   0|9851k  649k|   0     0 |1510414679
  6   8  78   1   7   0|  10M  694k|   0  8192B|1510414680
  5   7  79   2   7   0|9182k  605k|   0  4096B|1510414681
  4   6  84   0   6   0|8908k  587k|   0     0 |1510414682
  5   7  81   0   7   0|  10M  695k|   0     0 |1510414683
  5   8  80   0   7   0|  10M  681k|   0     0 |1510414684
  5   7  81   0   7   0|9468k  624k|   0     0 |1510414685
  6   7  80   0   7   0|  11M  729k|   0  8192B|1510414686
  5   8  79   1   7   0|  11M  722k|   0  4096B|1510414687
  5   8  80   0   7   0|  10M  674k|   0    20k|1510414688
  5   7  82   0   6   0|9541k  629k|   0     0 |1510414689
  5   8  80   0   7   0|  10M  672k|   0     0 |1510414690
  6   8  78   0   8   0|  11M  737k|   0     0 |1510414691
  6   8  78   0   8   0|  10M  706k|   0     0 |1510414692
  5   7  78   4   6   0|  10M  666k|   0    12k|1510414693
  6   8  78   0   8   0|  11M  723k|   0     0 |1510414694
  5   8  80   0   7   0|  10M  698k|   0     0 |1510414695
  5   7  81   0   7   0|9676k  639k|   0     0 |1510414696
  5   8  79   0   8   0|  11M  712k|   0     0 |1510414697
  5   7  82   0   6   0|  10M  677k|   0     0 |1510414698
  5  10  76   0   9   0|  11M  732k|   0     0 |1510414699
  6   8  76   3   7   0|  11M  737k|   0    12k|1510414700
  6   8  74   0  12   0|  11M  729k|   0     0 |1510414701
  5   8  80   0   7   0|  10M  672k|   0     0 |1510414702
  5   8  80   0   7   0|9551k  630k|   0  8192B|1510414703
  5   6  83   0   6   0|8983k  592k|   0     0 |1510414704
  5   7  82   0   6   0|  10M  663k|   0     0 |1510414705
  5   8  77   3   7   0|9709k  640k|   0    20k|1510414706
  5   7  81   0   7   0|  10M  667k|   0     0 |1510414707
  4   8  82   0   6   0|9826k  648k|   0     0 |1510414708
  6   8  78   0   8   0|  10M  674k|   0     0 |1510414709
  5   7  80   0   8   0|  11M  714k|   0     0 |1510414710
  5   7  82   0   6   0|  10M  685k|   0     0 |1510414711
  5   8  77   3   7   0|  11M  739k|   0    12k|1510414712
  5   8  80   0   7   0|  10M  673k|   0     0 |1510414713
  5   9  79   0   7   0|  10M  676k|   0     0 |1510414714
  5   7  80   0   8   0|9995k  659k|   0     0 |1510414715
  5   7  82   0   6   0|9288k  612k|   0     0 |1510414716
  5   7  82   0   6   0|8917k  588k|   0     0 |1510414717
  5   7  79   2   7   0|9813k  647k|   0    12k|1510414718
  4   7  83   0   6   0|9378k  618k|   0     0 |1510414719
  5   7  82   0   6   0|9846k  649k|   0     0 |1510414720
  5   8  80   0   7   0|9735k  643k|   0     0 |1510414721
  6   7  80   0   7   0|  10M  673k|   0     0 |1510414722
  4   7  83   0   6   0|8829k  582k|   0  8192B|1510414723
  5   6  80   3   6   0|8729k  576k|   0    12k|1510414724
  4   7  83   0   6   0|8870k  585k|   0     0 |1510414725
