[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  94   1   1   0|   0     0 |  29k 9600k|1510414429
  1   2  95   0   1   0|3867k  289k|   0     0 |1510414430
  2   2  96   0   1   0|3929k  293k|   0     0 |1510414431
  2   2  95   0   1   0|3783k  282k|   0     0 |1510414432
  1   2  95   0   1   0|3874k  289k|   0     0 |1510414433
  2   2  94   2   1   0|3772k  282k|   0    32k|1510414434
  2   2  96   0   1   0|3771k  281k|   0  4096B|1510414435
  2   2  96   0   1   0|3830k  286k|   0     0 |1510414436
  2   2  96   0   1   0|3828k  286k|   0     0 |1510414437
  2   3  95   0   1   0|3865k  289k|   0     0 |1510414438
  2   2  96   0   1   0|3695k  276k|   0     0 |1510414439
  2   2  95   1   1   0|3903k  291k|   0    40k|1510414440
  2   2  95   0   1   0|3754k  280k|   0     0 |1510414441
  2   2  96   0   1   0|3820k  285k|   0     0 |1510414442
  2   3  95   0   1   0|3821k  285k|   0     0 |1510414443
  2   2  96   0   1   0|3915k  292k|   0     0 |1510414444
  1   2  94   1   1   0|3810k  284k|   0    20k|1510414445
  2   2  95   0   1   0|3790k  283k|   0     0 |1510414446
  2   2  95   0   1   0|3658k  273k|   0     0 |1510414447
  2   3  95   0   1   0|3850k  288k|   0     0 |1510414448
  2   2  96   0   1   0|3770k  281k|   0     0 |1510414449
  2   2  96   0   1   0|3832k  286k|   0     0 |1510414450
  2   2  95   1   1   0|3762k  281k|   0    12k|1510414451
  1   2  95   0   1   0|3756k  281k|   0     0 |1510414452
  2   2  95   0   1   0|3829k  287k|   0     0 |1510414453
  2   2  96   0   1   0|3715k  277k|   0     0 |1510414454
  2   2  96   0   1   0|3783k  282k|   0     0 |1510414455
  2   2  96   0   1   0|3722k  278k|   0     0 |1510414456
  1   2  94   1   1   0|3876k  289k|   0    12k|1510414457
  2   2  95   0   1   0|3943k  294k|   0     0 |1510414458
  1   2  95   0   1   0|3890k  290k|   0     0 |1510414459
  2   2  96   0   1   0|3717k  278k|   0    24k|1510414460
  2   2  96   0   1   0|3761k  281k|   0     0 |1510414461
  2   3  94   1   1   0|4003k  299k|   0    32k|1510414462
  2   2  96   0   1   0|3837k  287k|   0     0 |1510414463
  2   2  96   0   1   0|3868k  289k|   0     0 |1510414464
  1   2  95   0   1   0|3776k  282k|   0     0 |1510414465
  2   2  96   0   1   0|3896k  291k|   0     0 |1510414466
  2   2  95   0   1   0|3860k  288k|   0     0 |1510414467
  2   2  95   1   1   0|3848k  287k|   0    12k|1510414468
  1   2  95   0   1   0|3755k  280k|   0     0 |1510414469
  2   2  96   0   1   0|3764k  281k|   0     0 |1510414470
  2   2  96   0   1   0|3859k  288k|   0     0 |1510414471
  2   2  95   0   1   0|3765k  281k|   0     0 |1510414472
  2   2  95   0   1   0|3827k  285k|   0     0 |1510414473
  2   3  94   2   1   0|3798k  283k|   0    12k|1510414474
  2   2  96   0   1   0|3735k  279k|   0     0 |1510414475
  2   2  96   0   1   0|3789k  283k|   0     0 |1510414476
  2   2  96   0   1   0|3872k  289k|   0     0 |1510414477
  2   2  95   0   1   0|3899k  292k|   0     0 |1510414478
  1   2  94   1   1   0|3866k  289k|   0    12k|1510414479
  2   2  96   0   1   0|3688k  275k|   0    20k|1510414480
  1   2  96   0   1   0|3960k  296k|   0     0 |1510414481
  2   2  95   0   1   0|3928k  293k|   0     0 |1510414482
  2   2  96   0   1   0|3928k  293k|   0     0 |1510414483
  2   3  96   0   1   0|3737k  279k|   0     0 |1510414484
  1   2  92   3   1   0|3802k  284k|   0    12k|1510414485
  2   2  95   0   1   0|3894k  291k|   0     0 |1510414486
  2   2  96   0   1   0|3727k  278k|   0     0 |1510414487
  2   2  96   0   1   0|3695k  276k|   0     0 |1510414488
  2   2  95   0   1   0|3684k  275k|   0     0 |1510414489
  1   2  94   2   1   0|3717k  278k|   0    12k|1510414490
  2   2  96   0   1   0|3786k  283k|   0     0 |1510414491
  2   2  96   0   1   0|3814k  285k|   0     0 |1510414492
  2   2  96   0   1   0|3759k  281k|   0     0 |1510414493
  2   2  96   0   1   0|3899k  291k|   0     0 |1510414494
  2   2  96   0   1   0|3783k  282k|   0    12k|1510414495
  2   2  95   2   1   0|3758k  281k|   0    20k|1510414496
  1   2  95   0   1   0|3862k  288k|   0     0 |1510414497
  2   2  96   0   1   0|3669k  274k|   0     0 |1510414498
  2   2  95   0   1   0|3855k  288k|   0     0 |1510414499
  2   2  96   0   1   0|3766k  281k|   0     0 |1510414500
  1   2  95   0   1   0|3751k  280k|   0     0 |1510414501
  2   2  95   1   1   0|3782k  282k|   0    12k|1510414502
  2   2  96   0   1   0|3779k  283k|   0     0 |1510414503
  1   2  95   0   1   0|3841k  287k|   0     0 |1510414504
  2   2  96   0   1   0|3780k  282k|   0     0 |1510414505
  2   2  96   0   1   0|3879k  290k|   0     0 |1510414506
  2   2  94   2   1   0|3838k  287k|   0    12k|1510414507
  2   2  96   0   1   0|3840k  287k|   0     0 |1510414508
  1   2  96   0   1   0|3776k  282k|   0     0 |1510414509
  2   2  96   0   1   0|3789k  283k|   0     0 |1510414510
  2   3  96   0   1   0|3815k  285k|   0     0 |1510414511
  2   2  95   0   1   0|3705k  277k|   0     0 |1510414512
  2   2  95   1   1   0|3776k  282k|   0    12k|1510414513
  2   3  95   0   1   0|3944k  294k|   0     0 |1510414514
  1   2  96   0   1   0|3935k  294k|   0  8192B|1510414515
  2   2  96   0   1   0|3734k  279k|   0     0 |1510414516
  2   2  96   0   1   0|3865k  289k|   0     0 |1510414517
  2   2  94   2   1   0|3763k  281k|   0    12k|1510414518
  2   2  96   0   1   0|3543k  263k|   0     0 |1510414519
