[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  5   6  85   1   4   0|   0     0 |  19k 6470k|1510417933
 11  11  59   0  19   0|  14M 1186k|   0     0 |1510417934
 12  13  54   0  22   0|  16M 1380k|   0     0 |1510417935
 12  14  54   0  21   0|  15M 1306k|   0     0 |1510417936
 11  14  52   2  21   0|  16M 1334k|   0    32k|1510417937
 12  14  54   0  21   0|  16M 1342k|   0     0 |1510417938
 11  14  52   0  23   0|  16M 1343k|   0     0 |1510417939
 12  14  53   0  21   0|  16M 1331k|   0     0 |1510417940
 11  15  51   0  23   0|  16M 1386k|   0     0 |1510417941
 12  14  53   0  22   0|  16M 1349k|   0     0 |1510417942
 12  13  52   1  22   0|  17M 1394k|   0    12k|1510417943
 12  13  54   0  21   0|  16M 1346k|   0     0 |1510417944
 11  14  52   0  23   0|  16M 1369k|   0    32k|1510417945
 11  13  53   0  22   0|  16M 1344k|   0     0 |1510417946
 12  13  53   0  22   0|  16M 1350k|   0     0 |1510417947
 12  13  48   7  21   0|  16M 1367k|   0    12k|1510417948
 11  14  52   0  22   0|  16M 1359k|   0     0 |1510417949
 11  15  50   0  24   0|  16M 1380k|   0  8192B|1510417950
 13  14  52   0  20   0|  16M 1333k|   0     0 |1510417951
 11  14  55   0  21   0|  16M 1367k|   0     0 |1510417952
 12  13  52   0  24   0|  17M 1391k|   0     0 |1510417953
 11  17  51   1  21   0|  15M 1318k|   0    28k|1510417954
 11  13  53   0  24   0|  16M 1366k|   0     0 |1510417955
 13  17  48   0  24   0|  15M 1220k|   0     0 |1510417956
 13  14  52   0  23   0|  15M 1301k|   0     0 |1510417957
 12  14  52   0  23   0|  15M 1303k|   0     0 |1510417958
 13  11  51   2  24   0|  15M 1310k|   0    12k|1510417959
 11  13  52   0  23   0|  16M 1340k|   0     0 |1510417960
  9  18  39   0  35   0|  11M  965k|   0     0 |1510417961
 11  13  53   0  22   0|  16M 1335k|   0     0 |1510417962
 10  14  53   0  24   0|  16M 1317k|   0     0 |1510417963
 13  14  53   0  21   0|  15M 1319k|   0     0 |1510417964
 11  13  52   2  22   0|  16M 1342k|   0    40k|1510417965
 12  12  51   0  26   0|  15M 1245k|   0     0 |1510417966
 11  13  54   0  23   0|  16M 1341k|   0     0 |1510417967
 12  14  53   0  22   0|  14M 1345k|   0     0 |1510417968
 11  18  45   0  25   0|  13M 1235k|   0     0 |1510417969
 11  13  53   0  23   0|  14M 1362k|   0     0 |1510417970
 12  12  49   4  22   0|  14M 1306k|   0    12k|1510417971
 12  14  53   0  22   0|  14M 1350k|   0     0 |1510417972
 10  16  53   0  21   0|  14M 1353k|   0     0 |1510417973
 11  12  54   0  22   0|  14M 1306k|   0     0 |1510417974
 12  13  56   0  20   0|  14M 1314k|   0     0 |1510417975
 10  19  46   0  26   0|  12M 1168k|   0     0 |1510417976
 12  12  52   2  22   0|  15M 1353k|   0    12k|1510417977
 12  14  52   0  21   0|  15M 1422k|   0     0 |1510417978
 12  13  53   0  23   0|  14M 1371k|   0     0 |1510417979
 12  14  52   0  23   0|  15M 1379k|   0    20k|1510417980
 14  13  53   0  20   0|  15M 1393k|   0     0 |1510417981
 12  11  54   0  23   0|  15M 1363k|   0     0 |1510417982
 12  13  51   2  23   0|  14M 1323k|   0    12k|1510417983
 11  15  53   0  22   0|  15M 1366k|   0     0 |1510417984
 12  13  53   0  22   0|  15M 1369k|   0     0 |1510417985
 12  15  52   0  21   0|  15M 1402k|   0     0 |1510417986
 12  13  52   0  23   0|  15M 1371k|   0     0 |1510417987
 11  15  47   1  27   0|  13M 1246k|   0    12k|1510417988
 11  13  53   0  22   0|  14M 1358k|   0     0 |1510417989
 11  14  54   0  22   0|  14M 1355k|   0     0 |1510417990
 13  14  52   0  22   0|  15M 1374k|   0     0 |1510417991
 12  13  53   0  22   0|  14M 1331k|   0     0 |1510417992
 12  14  53   2  18   0|  14M 1336k|   0    12k|1510417993
 11  14  53   0  21   0|  14M 1389k|   0     0 |1510417994
 12  12  54   0  22   0|  14M 1358k|   0     0 |1510417995
 11  15  53   0  22   0|  15M 1390k|   0     0 |1510417996
 12  14  51   0  23   0|  15M 1392k|   0     0 |1510417997
 13  12  54   0  22   0|  14M 1346k|   0     0 |1510417998
 14  15  51   2  19   0|  14M 1372k|   0    12k|1510417999
 12  12  54   0  21   0|  14M 1355k|   0     0 |1510418000
 11  14  51   0  24   0|  15M 1397k|   0    24k|1510418001
 13  13  54   0  21   0|  14M 1339k|   0     0 |1510418002
 13  13  53   0  21   0|  14M 1350k|   0     0 |1510418003
 12  14  51   3  22   0|  14M 1353k|   0    20k|1510418004
 12  14  51   0  23   0|  15M 1392k|   0     0 |1510418005
 12  13  53   0  23   0|  14M 1344k|   0     0 |1510418006
 13  17  48   0  23   0|  13M 1275k|   0     0 |1510418007
 13  16  53   0  19   0|  13M 1305k|   0     0 |1510418008
 11  17  49   0  24   0|  12M 1202k|   0     0 |1510418009
 12  14  52   2  21   0|  14M 1312k|   0    12k|1510418010
 10  20  45   0  26   0|  13M 1232k|   0     0 |1510418011
 13  13  53   0  21   0|  15M 1403k|   0     0 |1510418012
 11  13  54   0  22   0|  14M 1331k|   0     0 |1510418013
 11  13  53   0  23   0|  14M 1332k|   0     0 |1510418014
 12  13  55   2  19   0|  14M 1392k|   0    12k|1510418015
 12  14  54   0  21   0|  14M 1360k|   0     0 |1510418016
 10  14  53   0  23   0|  15M 1397k|   0     0 |1510418017
 10  15  53   0  23   0|  14M 1342k|   0     0 |1510418018
 12  14  55   0  20   0|  14M 1336k|   0     0 |1510418019
 11  14  53   0  21   0|  14M 1362k|   0     0 |1510418020
 11  14  52   2  22   0|  15M 1376k|   0    12k|1510418021
 12  15  53   0  21   0|  14M 1310k|   0     0 |1510418022
 11  14  57   0  18   0|  14M 1258k|   0     0 |1510418023
