[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  5   7  82   1   5   0|   0     0 |  17k 5884k|1510418923
  6   6  83   0   4   0| 344k 5215k|   0     0 |1510418924
  5   6  86   0   3   0| 319k 4838k|   0  8192B|1510418925
  6   6  83   0   5   0| 312k 4727k|   0     0 |1510418926
  4   6  85   2   4   0| 276k 4192k|   0    36k|1510418927
  6   6  84   0   4   0| 334k 5069k|   0     0 |1510418928
  6   7  84   0   4   0| 346k 5249k|   0     0 |1510418929
  6   7  83   0   6   0| 331k 5027k|   0    16k|1510418930
  6   7  83   0   5   0| 330k 5010k|   0     0 |1510418931
  6   6  85   0   4   0| 294k 4467k|   0     0 |1510418932
  5   6  84   1   4   0| 310k 4704k|   0    20k|1510418933
  5   6  85   0   4   0| 287k 4353k|   0     0 |1510418934
  5   6  85   0   4   0| 315k 4770k|   0     0 |1510418935
  5   6  87   0   3   0| 308k 4674k|   0     0 |1510418936
  5   6  86   0   4   0| 325k 4937k|   0     0 |1510418937
  5   6  85   1   4   0| 284k 4311k|   0    12k|1510418938
  6   7  84   0   5   0| 317k 4806k|   0     0 |1510418939
  5   6  86   0   3   0| 288k 4361k|   0     0 |1510418940
  5   6  86   0   4   0| 299k 4540k|   0     0 |1510418941
  4   5  89   0   3   0| 278k 4211k|   0     0 |1510418942
  5   6  84   3   3   0| 252k 3820k|   0    12k|1510418943
  5   6  85   0   4   0| 315k 4783k|   0     0 |1510418944
  5   7  83   0   5   0| 323k 4904k|   0     0 |1510418945
  6   6  83   0   5   0| 331k 5019k|   0     0 |1510418946
  5   6  83   0   6   0| 298k 4525k|   0     0 |1510418947
  6   6  84   0   5   0| 319k 4833k|   0     0 |1510418948
  5   5  76  11   4   0| 307k 4656k|   0    12k|1510418949
  5   6  87   0   3   0| 329k 4992k|   0  8192B|1510418950
  5   6  85   0   4   0| 288k 4373k|   0     0 |1510418951
  5   6  85   0   4   0| 350k 5313k|   0     0 |1510418952
  5   6  86   0   3   0| 321k 4872k|   0     0 |1510418953
  5   6  85   1   4   0| 328k 4982k|   0    28k|1510418954
  5   6  85   1   4   0| 298k 4511k|   0    52k|1510418955
  5   6  86   0   3   0| 341k 5170k|   0     0 |1510418956
  6   7  83   0   5   0| 350k 5302k|   0     0 |1510418957
  5   7  82   0   7   0| 325k 4936k|   0     0 |1510418958
  5   5  86   1   3   0| 310k 4695k|   0    20k|1510418959
  5   7  84   0   5   0| 293k 4447k|   0     0 |1510418960
  7   7  77   0  10   0| 268k 4069k|   0     0 |1510418961
  5   5  88   0   3   0| 291k 4407k|   0     0 |1510418962
  5   4  89   0   3   0| 282k 4276k|   0     0 |1510418963
  5   6  83   2   5   0| 323k 4891k|   0    12k|1510418964
  4   5  88   0   3   0| 318k 4822k|   0     0 |1510418965
  5   6  85   0   4   0| 285k 4315k|   0     0 |1510418966
  5   6  85   0   4   0| 284k 4302k|   0     0 |1510418967
  6   6  83   0   6   0| 280k 4247k|   0     0 |1510418968
  7   7  79   2   7   0| 289k 4391k|   0    12k|1510418969
  5   5  86   0   4   0| 293k 4445k|   0     0 |1510418970
  5   4  89   0   3   0| 289k 4388k|   0     0 |1510418971
  4   5  90   0   2   0| 294k 4452k|   0     0 |1510418972
  5   5  89   0   3   0| 316k 4784k|   0     0 |1510418973
  4   4  88   2   2   0| 317k 4810k|   0    12k|1510418974
  6   6  83   0   6   0| 283k 4284k|   0     0 |1510418975
  6   5  83   0   7   0| 281k 4264k|   0     0 |1510418976
  6   6  80   0   7   0| 269k 4080k|   0     0 |1510418977
  6   8  78   0   9   0| 264k 4003k|   0     0 |1510418978
  7   9  74   2  10   0| 254k 3852k|   0    12k|1510418979
  6   8  78   0   9   0| 262k 3977k|   0     0 |1510418980
  4   5  88   0   3   0| 267k 4051k|   0     0 |1510418981
  6   6  82   0   6   0| 282k 4278k|   0     0 |1510418982
  4   5  87   0   3   0| 290k 4402k|   0     0 |1510418983
  6   7  81   0   7   0| 293k 4447k|   0     0 |1510418984
  5   5  85   2   4   0| 314k 4761k|   0    12k|1510418985
  5   6  85   0   4   0| 315k 4776k|   0  4096B|1510418986
  6   6  83   0   5   0| 274k 4157k|   0     0 |1510418987
  5   5  86   0   3   0| 289k 4390k|   0     0 |1510418988
  6   8  80   0   7   0| 280k 4244k|   0     0 |1510418989
  7   7  79   2   6   0| 328k 4971k|   0    12k|1510418990
  5   7  84   0   4   0| 291k 4415k|   0    16k|1510418991
  6   5  84   0   6   0| 275k 4171k|   0     0 |1510418992
  6   7  82   0   6   0| 292k 4434k|   0     0 |1510418993
  6   6  84   0   5   0| 331k 5016k|   0     0 |1510418994
  5   7  81   2   6   0| 286k 4334k|   0    20k|1510418995
  6   6  85   0   5   0| 304k 4604k|   0     0 |1510418996
  6   6  84   0   4   0| 332k 5041k|   0     0 |1510418997
  5   5  85   0   4   0| 294k 4452k|   0     0 |1510418998
  6   7  82   0   6   0| 301k 4566k|   0     0 |1510418999
  5   6  84   1   4   0| 312k 4732k|   0    12k|1510419000
  5   5  88   0   3   0| 306k 4635k|   0     0 |1510419001
  4   5  89   0   3   0| 282k 4282k|   0     0 |1510419002
  5   5  85   0   4   0| 267k 4051k|   0     0 |1510419003
  5   6  86   0   4   0| 301k 4564k|   0     0 |1510419004
  5   6  84   2   4   0| 287k 4355k|   0    12k|1510419005
  6   7  82   0   5   0| 272k 4132k|   0     0 |1510419006
  5   7  84   0   5   0| 275k 4167k|   0     0 |1510419007
  5   6  85   0   4   0| 300k 4548k|   0     0 |1510419008
  5   6  85   0   4   0| 309k 4687k|   0     0 |1510419009
  5   7  82   2   5   0| 287k 4358k|   0    12k|1510419010
  4   5  88   0   3   0| 267k 4057k|   0     0 |1510419011
  5   5  87   0   4   0| 274k 4158k|   0     0 |1510419012
  4   4  88   0   4   0| 254k 3843k|   0     0 |1510419013
