[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   1  97   1   1   0|   0     0 |  20k 4054k|1510418827
  2   3  93   0   2   0|1790k  118k|   0     0 |1510418828
  3   4  86   3   4   0|2853k  188k|   0    68k|1510418829
  2   4  90   0   4   0|2663k  176k|   0     0 |1510418830
  3   3  90   0   4   0|2391k  158k|   0     0 |1510418831
  2   3  92   0   3   0|2283k  150k|   0     0 |1510418832
  3   4  90   0   3   0|2178k  144k|   0     0 |1510418833
  2   4  90   0   4   0|2387k  157k|   0    32k|1510418834
  2   3  90   2   3   0|1993k  133k|   0    12k|1510418835
  3   3  90   0   4   0|2209k  146k|   0     0 |1510418836
  2   3  92   0   3   0|1836k  121k|   0     0 |1510418837
  2   3  92   0   3   0|2509k  165k|   0     0 |1510418838
  3   4  89   0   4   0|2500k  165k|   0     0 |1510418839
  2   4  90   0   4   0|2617k  172k|   0     0 |1510418840
  3   3  87   3   4   0|2787k  184k|   0    12k|1510418841
  2   4  91   0   3   0|2382k  157k|   0     0 |1510418842
  3   3  90   0   4   0|2272k  150k|   0     0 |1510418843
  2   4  90   0   4   0|2699k  178k|   0  8192B|1510418844
  3   4  90   0   3   0|2548k  168k|   0     0 |1510418845
  2   3  91   0   4   0|2450k  162k|   0     0 |1510418846
  3   4  87   2   4   0|2681k  177k|   0    28k|1510418847
  3   4  89   0   4   0|2279k  150k|   0     0 |1510418848
  2   4  90   0   4   0|2406k  159k|   0     0 |1510418849
  3   3  91   0   3   0|2135k  141k|   0     0 |1510418850
  2   4  90   0   4   0|2797k  184k|   0     0 |1510418851
  3   4  89   0   4   0|2271k  150k|   0     0 |1510418852
  3   3  88   2   4   0|2735k  180k|   0    12k|1510418853
  2   4  91   0   3   0|2185k  144k|   0     0 |1510418854
  3   3  91   0   3   0|2088k  138k|   0     0 |1510418855
  2   3  91   0   4   0|2281k  150k|   0     0 |1510418856
  2   4  91   0   3   0|2377k  157k|   0     0 |1510418857
  2   3  91   0   4   0|2076k  137k|   0     0 |1510418858
  3   4  86   4   3   0|2219k  146k|   0    16k|1510418859
  3   3  90   0   4   0|2641k  175k|   0     0 |1510418860
  2   4  90   0   4   0|2309k  152k|   0     0 |1510418861
  2   3  92   0   3   0|2217k  146k|   0     0 |1510418862
  3   3  91   0   3   0|2001k  132k|   0     0 |1510418863
  2   3  92   0   3   0|2049k  135k|   0     0 |1510418864
  2   3  88   3   4   0|2063k  136k|   0    20k|1510418865
  2   3  92   0   3   0|2080k  137k|   0     0 |1510418866
  2   3  92   0   3   0|2168k  143k|   0     0 |1510418867
  3   3  91   0   3   0|1833k  121k|   0     0 |1510418868
  2   4  91   0   3   0|2463k  162k|   0    16k|1510418869
  2   2  93   0   3   0|1681k  111k|   0     0 |1510418870
  2   3  91   2   2   0|1906k  126k|   0    12k|1510418871
  2   2  93   0   3   0|1684k  111k|   0     0 |1510418872
  2   4  91   0   3   0|2063k  136k|   0     0 |1510418873
  2   3  91   0   4   0|2419k  160k|   0     0 |1510418874
  3   4  90   0   3   0|2283k  151k|   0     0 |1510418875
  2   3  91   0   4   0|2377k  157k|   0     0 |1510418876
  3   3  89   2   3   0|2185k  144k|   0    12k|1510418877
  1   3  93   0   3   0|1935k  127k|   0     0 |1510418878
  3   3  91   0   3   0|2048k  135k|   0     0 |1510418879
  2   3  92   0   3   0|2101k  139k|   0     0 |1510418880
  2   3  92   0   3   0|2240k  148k|   0     0 |1510418881
  2   4  90   0   4   0|2001k  132k|   0     0 |1510418882
  2   3  90   2   3   0|2087k  138k|   0    12k|1510418883
  3   3  91   0   3   0|2064k  136k|   0     0 |1510418884
  2   3  91   0   4   0|2433k  161k|   0     0 |1510418885
  3   4  90   0   3   0|2209k  146k|   0     0 |1510418886
  1   2  95   0   2   0|2084k  137k|   0     0 |1510418887
  2   3  91   0   4   0|2194k  145k|   0     0 |1510418888
  3   3  89   2   3   0|2402k  158k|   0    12k|1510418889
  2   3  92   0   3   0|2040k  134k|   0     0 |1510418890
  2   4  91   0   3   0|2393k  158k|   0     0 |1510418891
  3   3  90   0   4   0|2764k  182k|   0     0 |1510418892
  2   4  90   0   4   0|2361k  156k|   0     0 |1510418893
  2   3  92   0   3   0|2302k  152k|   0  4096B|1510418894
  3   3  83   7   4   0|2210k  146k|   0    12k|1510418895
  2   4  91   0   3   0|2331k  154k|   0     0 |1510418896
  2   3  91   0   4   0|2204k  145k|   0     0 |1510418897
  3   4  90   0   3   0|2396k  158k|   0     0 |1510418898
  2   3  91   0   4   0|2290k  151k|   0     0 |1510418899
  3   3  91   0   3   0|2422k  160k|   0     0 |1510418900
  2   4  88   2   4   0|2692k  177k|   0    12k|1510418901
  2   3  92   0   3   0|2142k  141k|   0     0 |1510418902
  3   4  90   0   3   0|2434k  161k|   0     0 |1510418903
  2   4  90   0   4   0|2681k  177k|   0     0 |1510418904
  3   3  90   0   4   0|2883k  190k|   0     0 |1510418905
  3   4  89   0   4   0|2385k  157k|   0     0 |1510418906
  2   3  89   3   3   0|2321k  153k|   0    12k|1510418907
  2   4  90   0   4   0|2141k  141k|   0     0 |1510418908
  2   3  92   0   3   0|2340k  154k|   0     0 |1510418909
  3   3  91   0   3   0|2091k  139k|   0     0 |1510418910
  2   4  90   0   4   0|2620k  173k|   0     0 |1510418911
  3   3  90   0   4   0|2258k  149k|   0     0 |1510418912
  2   4  89   2   3   0|2509k  165k|   0    12k|1510418913
  3   4  89   0   4   0|3193k  211k|   0     0 |1510418914
  3   3  90   0   4   0|2741k  181k|   0     0 |1510418915
  2   4  91   0   3   0|2464k  163k|   0     0 |1510418916
  3   3  90   0   4   0|2126k  140k|   0     0 |1510418917
