[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  7  10  67   1  16   0|   0     0 |  21k 4627k|1510417531
  1   2  94   0   3   0| 300k 4006k|   0     0 |1510417532
  2   4  91   0   3   0| 369k 4940k|   0     0 |1510417533
  2   4  91   0   3   0| 440k 5894k|   0     0 |1510417534
  1   5  90   0   4   0| 441k 5907k|   0     0 |1510417535
  2   4  91   0   3   0| 429k 5745k|   0     0 |1510417536
  1   4  91   1   3   0| 422k 5648k|   0    12k|1510417537
  2   3  92   0   3   0| 383k 5137k|   0  8192B|1510417538
  1   4  92   0   3   0| 354k 4745k|   0     0 |1510417539
  2   3  92   0   3   0| 383k 5131k|   0     0 |1510417540
  1   4  92   0   3   0| 409k 5480k|   0     0 |1510417541
  2   4  91   0   3   0| 403k 5405k|   0     0 |1510417542
  1   4  89   2   4   0| 427k 5714k|   0    20k|1510417543
  2   3  93   0   2   0| 388k 5192k|   0     0 |1510417544
  1   4  91   0   4   0| 411k 5500k|   0     0 |1510417545
  2   4  91   0   3   0| 397k 5319k|   0     0 |1510417546
  1   4  92   0   3   0| 410k 5492k|   0     0 |1510417547
  2   4  90   0   4   0| 455k 6093k|   0    24k|1510417548
  2   4  89   2   3   0| 440k 5894k|   0    12k|1510417549
  2   4  91   0   3   0| 429k 5759k|   0     0 |1510417550
  1   4  92   0   3   0| 375k 5030k|   0     0 |1510417551
  2   4  90   0   4   0| 410k 5493k|   0     0 |1510417552
  1   3  93   0   3   0| 387k 5191k|   0     0 |1510417553
  2   4  91   0   3   0| 417k 5591k|   0     0 |1510417554
  1   4  90   1   4   0| 415k 5566k|   0    12k|1510417555
  2   5  90   0   3   0| 425k 5689k|   0     0 |1510417556
  1   4  92   0   3   0| 421k 5637k|   0     0 |1510417557
  2   3  92   0   3   0| 404k 5411k|   0  4096B|1510417558
  2   4  91   0   3   0| 367k 4920k|   0     0 |1510417559
  1   4  91   0   4   0| 453k 6064k|   0     0 |1510417560
  2   4  89   2   3   0| 405k 5423k|   0    12k|1510417561
  2   5  88   0   5   0| 500k 6703k|   0     0 |1510417562
  1   5  91   0   3   0| 413k 5525k|   0  4096B|1510417563
  2   4  91   0   3   0| 442k 5932k|   0     0 |1510417564
  2   4  90   0   4   0| 394k 5277k|   0     0 |1510417565
  1   4  92   0   3   0| 409k 5481k|   0     0 |1510417566
  1   3  90   3   3   0| 376k 5029k|   0    20k|1510417567
  2   4  91   0   3   0| 424k 5686k|   0     0 |1510417568
  2   4  91   0   3   0| 392k 5254k|   0     0 |1510417569
  1   4  91   0   4   0| 447k 5992k|   0     0 |1510417570
  2   5  90   0   3   0| 455k 6100k|   0     0 |1510417571
  2   4  90   0   4   0| 445k 5961k|   0     0 |1510417572
  1   4  90   2   3   0| 423k 5662k|   0    12k|1510417573
  2   4  90   0   4   0| 450k 6027k|   0     0 |1510417574
  2   5  89   0   4   0| 467k 6257k|   0     0 |1510417575
  1   3  94   0   2   0| 390k 5232k|   0     0 |1510417576
  2   4  90   0   4   0| 474k 6360k|   0     0 |1510417577
  2   5  89   0   4   0| 419k 5619k|   0     0 |1510417578
  2   5  87   2   4   0| 519k 6956k|   0    12k|1510417579
  1   4  92   0   3   0| 439k 5887k|   0     0 |1510417580
  2   3  92   0   3   0| 414k 5552k|   0     0 |1510417581
  1   5  90   0   4   0| 471k 6305k|   0     0 |1510417582
  3   4  89   0   4   0| 505k 6757k|   0  8192B|1510417583
  1   5  90   0   4   0| 518k 6948k|   0     0 |1510417584
  2   5  86   3   4   0| 439k 5881k|   0    12k|1510417585
  2   3  92   0   3   0| 421k 5630k|   0     0 |1510417586
  1   4  92   0   3   0| 422k 5649k|   0     0 |1510417587
  2   5  89   0   4   0| 450k 6025k|   0     0 |1510417588
  2   4  91   0   3   0| 433k 5804k|   0     0 |1510417589
  1   4  91   0   4   0| 482k 6462k|   0     0 |1510417590
  2   4  89   1   4   0| 467k 6261k|   0    12k|1510417591
  2   4  91   0   3   0| 406k 5443k|   0     0 |1510417592
  1   4  92   0   3   0| 417k 5589k|   0     0 |1510417593
  2   5  89   0   4   0| 467k 6255k|   0     0 |1510417594
  2   4  90   0   4   0| 467k 6257k|   0     0 |1510417595
  1   4  92   0   3   0| 420k 5630k|   0     0 |1510417596
  2   4  88   3   3   0| 429k 5749k|   0    12k|1510417597
  2   4  90   0   4   0| 397k 5314k|   0  4096B|1510417598
  1   4  92   0   3   0| 410k 5503k|   0     0 |1510417599
  2   4  91   0   3   0| 416k 5573k|   0     0 |1510417600
  1   3  93   0   3   0| 360k 4820k|   0     0 |1510417601
  1   4  92   0   3   0| 390k 5220k|   0     0 |1510417602
