[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  93   1   1   0|   0     0 |  12k 4192k|1510497879
  2   4  92   0   2   0| 361k 5472k|   0  8192B|1510497880
  4   5  90   0   2   0| 432k 6563k|   0     0 |1510497881
  4   5  90   0   2   0| 449k 6814k|   0     0 |1510497882
  4   5  89   1   3   0| 451k 6835k|   0    40k|1510497883
  4   5  90   0   2   0| 456k 6912k|   0     0 |1510497884
  3   4  91   0   2   0| 411k 6224k|   0  4096B|1510497885
  4   4  90   0   2   0| 448k 6800k|   0     0 |1510497886
  4   5  90   0   2   0| 470k 7131k|   0     0 |1510497887
  3   4  89   1   2   0| 458k 6935k|   0    12k|1510497888
  4   5  90   0   2   0| 458k 6947k|   0     0 |1510497889
  4   5  90   0   2   0| 464k 7034k|   0     0 |1510497890
  4   5  90   0   2   0| 458k 6949k|   0     0 |1510497891
  3   4  90   0   2   0| 451k 6836k|   0     0 |1510497892
  3   5  89   2   2   0| 448k 6807k|   0    12k|1510497893
  3   4  90   0   2   0| 438k 6628k|   0     0 |1510497894
  3   4  92   0   2   0| 431k 6550k|   0     0 |1510497895
  3   4  91   0   2   0| 447k 6769k|   0     0 |1510497896
  4   5  90   0   2   0| 447k 6785k|   0     0 |1510497897
  4   5  89   1   2   0| 459k 6965k|   0    12k|1510497898
  3   5  90   0   2   0| 455k 6899k|   0     0 |1510497899
  4   5  90   0   2   0| 445k 6762k|   0     0 |1510497900
  3   4  90   0   2   0| 437k 6630k|   0     0 |1510497901
  3   4  91   0   3   0| 441k 6692k|   0     0 |1510497902
  4   5  89   1   2   0| 445k 6739k|   0    12k|1510497903
  4   5  90   0   2   0| 448k 6798k|   0     0 |1510497904
  3   5  91   0   2   0| 453k 6875k|   0  4096B|1510497905
  4   4  90   0   2   0| 445k 6747k|   0     0 |1510497906
  4   5  90   0   2   0| 445k 6752k|   0     0 |1510497907
  3   5  88   1   2   0| 450k 6806k|   0    12k|1510497908
  3   4  90   0   2   0| 432k 6572k|   0     0 |1510497909
  3   4  91   0   2   0| 438k 6645k|   0    12k|1510497910
  3   4  90   0   2   0| 438k 6638k|   0     0 |1510497911
  4   5  90   0   2   0| 443k 6722k|   0     0 |1510497912
  4   4  89   2   2   0| 449k 6801k|   0    20k|1510497913
  3   4  90   0   2   0| 446k 6771k|   0     0 |1510497914
  4   4  91   0   2   0| 446k 6770k|   0    28k|1510497915
  4   5  91   0   2   0| 451k 6838k|   0     0 |1510497916
  3   4  91   0   2   0| 440k 6672k|   0     0 |1510497917
  3   4  89   1   2   0| 447k 6774k|   0    12k|1510497918
  4   5  90   0   2   0| 451k 6837k|   0     0 |1510497919
  4   5  88   0   3   0| 455k 6903k|   0     0 |1510497920
  4   5  90   0   2   0| 454k 6890k|   0     0 |1510497921
  3   4  91   0   2   0| 439k 6660k|   0     0 |1510497922
  3   4  84   6   2   0| 442k 6704k|   0    12k|1510497923
  4   5  90   0   2   0| 444k 6728k|   0     0 |1510497924
  3   4  90   0   2   0| 451k 6843k|   0     0 |1510497925
  3   5  90   0   3   0| 451k 6834k|   0     0 |1510497926
  4   4  91   0   2   0| 446k 6772k|   0     0 |1510497927
  4   5  88   2   2   0| 443k 6723k|   0    12k|1510497928
  4   5  90   0   2   0| 447k 6775k|   0     0 |1510497929
