[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  96   0   1   0|   0     0 |8255B   18M|1510496233
  5   3  92   0   1   0|1855k 1852k|   0     0 |1510496234
  4   3  92   0   0   0|1824k 1830k|   0    84k|1510496235
  4   4  91   0   0   0|1890k 1890k|   0     0 |1510496236
  3   2  94   0   1   0|1941k 1941k|   0     0 |1510496237
  1   1  98   0   0   0|1977k 1977k|   0    64k|1510496238
  1   1  98   0   0   0|1969k 1969k|   0     0 |1510496239
  1   1  98   0   0   0|2017k 2017k|   0  4096B|1510496240
  1   1  98   0   0   0|2019k 2018k|   0     0 |1510496241
  2   2  96   0   0   0|1980k 1981k|   0     0 |1510496242
  1   1  98   0   1   0|1998k 1998k|   0     0 |1510496243
  1   1  97   0   0   0|1996k 1996k|   0    12k|1510496244
  1   1  98   0   1   0|2007k 2007k|   0     0 |1510496245
  1   1  97   0   0   0|2084k 2084k|   0     0 |1510496246
  1   1  97   0   1   0|1976k 1976k|   0     0 |1510496247
  1   1  97   0   1   0|2048k 2048k|   0     0 |1510496248
  1   1  98   0   0   0|2012k 2012k|   0    12k|1510496249
  1   1  98   0   0   0|1985k 1985k|   0     0 |1510496250
  1   1  98   0   0   0|1979k 1979k|   0     0 |1510496251
  1   1  98   0   0   0|1987k 1982k|   0     0 |1510496252
  1   1  98   0   0   0|1984k 1986k|   0     0 |1510496253
  3   2  95   0   0   0|1950k 1953k|   0     0 |1510496254
  2   2  96   0   0   0|2009k 2001k|   0    20k|1510496255
  1   1  98   0   0   0|1987k 1995k|   0     0 |1510496256
  1   1  98   0   1   0|2009k 2009k|   0     0 |1510496257
  1   1  98   0   0   0|1956k 1956k|   0     0 |1510496258
  1   1  98   0   1   0|1987k 1987k|   0     0 |1510496259
  1   1  98   0   0   0|1952k 1950k|   0    20k|1510496260
  1   1  98   0   1   0|1985k 1988k|   0     0 |1510496261
  1   1  98   0   0   0|2029k 2029k|   0     0 |1510496262
  1   1  98   0   1   0|1920k 1920k|   0     0 |1510496263
  1   1  98   0   0   0|1899k 1899k|   0     0 |1510496264
  0   1  97   1   0   0|1947k 1947k|   0    68k|1510496265
  1   1  98   0   0   0|1970k 1970k|   0     0 |1510496266
  1   1  98   0   0   0|1990k 1990k|   0     0 |1510496267
  1   1  98   0   0   0|1921k 1921k|   0     0 |1510496268
  1   1  98   0   0   0|1935k 1935k|   0     0 |1510496269
  1   1  97   1   1   0|1926k 1926k|   0    68k|1510496270
  1   1  98   0   0   0|1941k 1941k|   0     0 |1510496271
  1   1  98   0   0   0|1879k 1879k|   0     0 |1510496272
  1   1  97   0   0   0|1854k 1854k|   0     0 |1510496273
  1   1  98   0   0   0|1921k 1921k|   0     0 |1510496274
  1   1  97   0   0   0|1874k 1874k|   0    32k|1510496275
  1   1  98   0   0   0|1944k 1944k|   0     0 |1510496276
  1   1  98   0   0   0|1960k 1957k|   0     0 |1510496277
  1   1  98   0   1   0|1933k 1935k|   0     0 |1510496278
  1   1  98   0   1   0|1957k 1957k|   0     0 |1510496279
  1   1  98   0   1   0|1925k 1926k|   0    12k|1510496280
  1   1  98   0   0   0|1934k 1934k|   0     0 |1510496281
  0   1  98   0   0   0|1920k 1920k|   0     0 |1510496282
  1   2  97   0   1   0|1882k 1882k|   0     0 |1510496283
