[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   1  97   0   1   0|   0     0 |  14k   32M|1510490490
  9   7  82   0   2   0|5123k 5121k|   0     0 |1510490491
  7   7  84   0   3   0|5589k 5591k|   0     0 |1510490492
  3   3  92   0   2   0|5946k 5946k|   0   104k|1510490493
  3   4  92   0   1   0|6552k 6552k|   0    96k|1510490494
  2   3  93   0   1   0|6586k 6585k|   0     0 |1510490495
  3   4  92   0   1   0|6491k 6495k|   0     0 |1510490496
  3   4  93   0   1   0|6666k 6666k|   0     0 |1510490497
  2   4  93   0   1   0|6758k 6758k|   0     0 |1510490498
  3   3  93   0   1   0|6393k 6393k|   0    20k|1510490499
  2   3  94   0   1   0|6555k 6555k|   0     0 |1510490500
  2   3  94   0   1   0|6554k 6554k|   0     0 |1510490501
  2   4  93   0   1   0|6350k 6350k|   0     0 |1510490502
  2   3  94   0   1   0|6401k 6401k|   0     0 |1510490503
  2   3  94   0   1   0|6842k 6842k|   0    12k|1510490504
  2   3  94   0   1   0|6933k 6933k|   0     0 |1510490505
  2   3  94   0   1   0|6712k 6712k|   0     0 |1510490506
  2   3  93   0   1   0|6769k 6769k|   0     0 |1510490507
  2   3  94   0   1   0|6547k 6547k|   0     0 |1510490508
  3   4  92   0   1   0|6063k 6052k|   0    48k|1510490509
  2   3  94   0   1   0|6658k 6669k|   0     0 |1510490510
  2   3  94   0   1   0|6866k 6866k|   0     0 |1510490511
  2   3  95   0   1   0|6780k 6780k|   0     0 |1510490512
  2   3  94   0   1   0|6762k 6762k|   0     0 |1510490513
  2   3  94   0   1   0|6414k 6409k|   0    32k|1510490514
  2   3  94   0   1   0|6546k 6550k|   0     0 |1510490515
  2   3  94   0   1   0|6473k 6475k|   0     0 |1510490516
  2   3  94   0   1   0|6653k 6653k|   0     0 |1510490517
  2   3  94   0   1   0|6689k 6690k|   0     0 |1510490518
  2   3  92   2   1   0|6763k 6763k|   0    32k|1510490519
  2   3  94   0   1   0|6551k 6551k|   0    36k|1510490520
  2   3  94   0   1   0|6545k 6545k|   0     0 |1510490521
  2   3  94   0   1   0|6781k 6781k|   0     0 |1510490522
  2   3  94   0   1   0|6452k 6453k|   0     0 |1510490523
  2   3  94   0   1   0|6550k 6544k|   0    36k|1510490524
  2   3  94   0   1   0|6848k 6854k|   0     0 |1510490525
  2   3  94   0   1   0|6723k 6719k|   0     0 |1510490526
  2   3  94   0   1   0|6509k 6513k|   0     0 |1510490527
  2   3  94   0   1   0|6489k 6489k|   0     0 |1510490528
  2   3  94   0   1   0|6547k 6546k|   0    44k|1510490529
  2   3  95   0   1   0|6512k 6513k|   0     0 |1510490530
  2   3  94   0   1   0|6620k 6620k|   0     0 |1510490531
  2   3  94   0   1   0|6740k 6738k|   0     0 |1510490532
  2   3  94   0   1   0|6637k 6638k|   0     0 |1510490533
  2   3  94   0   1   0|6788k 6786k|   0    12k|1510490534
  2   3  94   0   1   0|6682k 6683k|   0     0 |1510490535
  2   3  94   0   1   0|6836k 6837k|   0     0 |1510490536
  2   3  94   0   1   0|6696k 6696k|   0     0 |1510490537
  2   3  94   0   1   0|6553k 6553k|   0     0 |1510490538
  2   3  94   0   1   0|6396k 6396k|   0    12k|1510490539
  2   3  94   0   1   0|6633k 6633k|   0     0 |1510490540
  2   3  94   0   1   0|6712k 6711k|   0     0 |1510490541
  2   4  92   0   2   0|6434k 6435k|   0     0 |1510490542
  2   3  94   0   1   0|6729k 6726k|   0     0 |1510490543
  2   3  94   0   1   0|6777k 6780k|   0    28k|1510490544
  2   3  95   0   1   0|6562k 6562k|   0  4096B|1510490545
  2   3  94   0   1   0|6722k 6721k|   0     0 |1510490546
  2   3  94   0   1   0|6811k 6812k|   0     0 |1510490547
  2   3  95   0   1   0|6674k 6674k|   0     0 |1510490548
  2   3  94   0   1   0|6919k 6919k|   0    20k|1510490549
  2   3  94   1   1   0|6666k 6667k|   0    12k|1510490550
  2   3  94   0   1   0|6677k 6677k|   0     0 |1510490551
  2   3  94   0   1   0|6849k 6849k|   0     0 |1510490552
  2   3  95   0   1   0|6590k 6590k|   0     0 |1510490553
  2   3  95   0   1   0|6746k 6746k|   0  4096B|1510490554
  2   3  94   0   1   0|6860k 6860k|   0    24k|1510490555
  2   3  95   0   1   0|6892k 6892k|   0     0 |1510490556
  2   2  95   0   1   0|6501k 6501k|   0     0 |1510490557
  2   3  95   0   1   0|6447k 6447k|   0     0 |1510490558
  2   3  94   0   1   0|6515k 6515k|   0  8192B|1510490559
  3   3  93   0   1   0|6329k 6328k|   0     0 |1510490560
  2   3  94   0   1   0|6635k 6636k|   0    20k|1510490561
  2   3  94   0   1   0|6345k 6345k|   0     0 |1510490562
  2   3  93   0   1   0|6092k 6092k|   0     0 |1510490563
  2   3  95   0   1   0|6779k 6769k|   0     0 |1510490564
  2   3  94   0   1   0|6524k 6530k|   0     0 |1510490565
  2   3  93   0   1   0|6602k 6605k|   0    12k|1510490566
  2   3  94   0   1   0|6252k 6252k|   0     0 |1510490567
  2   3  95   0   1   0|6715k 6715k|   0     0 |1510490568
  3   3  92   0   1   0|6435k 6434k|   0     0 |1510490569
  2   3  95   0   1   0|6241k 6242k|   0     0 |1510490570
  3   3  93   0   1   0|6347k 6347k|   0    12k|1510490571
  2   3  95   0   1   0|6813k 6813k|   0     0 |1510490572
  2   3  95   0   1   0|6773k 6773k|   0     0 |1510490573
  2   3  95   0   1   0|6515k 6515k|   0     0 |1510490574
  2   3  95   0   1   0|6612k 6612k|   0     0 |1510490575
  2   3  93   0   1   0|6650k 6650k|   0    12k|1510490576
  2   3  94   0   1   0|6671k 6670k|   0     0 |1510490577
  2   3  95   0   1   0|6531k 6526k|   0     0 |1510490578
  3   4  93   0   1   0|6142k 6149k|   0     0 |1510490579
  2   2  95   0   1   0|5692k 5693k|   0    32k|1510490580
