[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  95   2   0   0|   0     0 |  75k   25M|1510485077
  1   2  98   0   1   0| 850k   65k|   0     0 |1510485078
  1   2  97   0   1   0| 955k   72k|   0     0 |1510485079
  1   1  98   0   1   0| 949k   71k|   0     0 |1510485080
  1   2  97   0   1   0| 843k   63k|   0     0 |1510485081
  0   1  96   1   1   0| 937k   71k|   0    32k|1510485082
  1   2  97   0   1   0| 948k   71k|   0     0 |1510485083
  1   1  97   0   0   0| 881k   66k|   0     0 |1510485084
  1   1  97   0   1   0| 923k   69k|   0     0 |1510485085
  1   2  98   0   1   0| 881k   66k|   0     0 |1510485086
  1   2  96   1   1   0| 922k   69k|   0    12k|1510485087
  1   1  97   0   1   0| 935k   71k|   0     0 |1510485088
  1   2  97   0   1   0| 969k   74k|   0     0 |1510485089
  1   2  97   0   1   0| 968k   73k|   0     0 |1510485090
  1   1  97   0   1   0| 982k   73k|   0     0 |1510485091
  1   2  98   0   1   0|1039k   78k|   0     0 |1510485092
  1   1  96   2   1   0|1024k   77k|   0    12k|1510485093
  1   1  97   0   0   0| 883k   67k|   0     0 |1510485094
  1   1  97   0   1   0| 929k   70k|   0     0 |1510485095
  1   1  97   0   1   0| 937k   70k|   0     0 |1510485096
  1   2  97   0   1   0| 988k   74k|   0     0 |1510485097
  1   1  97   0   1   0| 898k   67k|   0     0 |1510485098
  1   1  78  19   1   0| 909k   68k|   0    12k|1510485099
  1   2  97   0   1   0| 943k   71k|   0  8192B|1510485100
  1   1  97   0   1   0|1010k   75k|   0     0 |1510485101
  1   1  97   0   1   0| 914k   69k|   0     0 |1510485102
  1   1  98   0   1   0| 931k   69k|   0     0 |1510485103
  0   1  96   1   0   0| 912k   68k|   0    28k|1510485104
  1   1  98   0   1   0| 874k   66k|   0     0 |1510485105
  1   1  97   0   1   0| 909k   68k|   0     0 |1510485106
  1   1  98   0   1   0| 874k   66k|   0     0 |1510485107
  1   1  98   0   1   0| 918k   69k|   0     0 |1510485108
  1   1  96   1   1   0| 962k   72k|   0    12k|1510485109
  1   2  97   0   1   0| 994k   74k|   0    48k|1510485110
  1   1  98   0   1   0| 853k   65k|   0     0 |1510485111
  1   1  97   0   0   0| 913k   68k|   0     0 |1510485112
  1   1  97   0   1   0| 928k   71k|   0     0 |1510485113
  1   1  96   2   1   0| 878k   67k|   0    20k|1510485114
  1   1  97   0   0   0| 926k   69k|   0     0 |1510485115
  1   1  98   0   1   0| 901k   68k|   0     0 |1510485116
  1   2  97   0   1   0| 954k   71k|   0     0 |1510485117
  1   1  98   0   1   0|1006k   75k|   0     0 |1510485118
  0   1  96   1   1   0|1028k   77k|   0    12k|1510485119
  1   1  98   0   1   0| 873k   65k|   0     0 |1510485120
  1   1  98   0   1   0| 888k   68k|   0     0 |1510485121
  1   1  98   0   1   0| 960k   73k|   0     0 |1510485122
  1   2  97   0   1   0|1008k   76k|   0     0 |1510485123
  1   1  96   1   1   0| 918k   69k|   0    12k|1510485124
  1   2  97   0   1   0| 937k   71k|   0     0 |1510485125
  1   1  98   0   1   0| 920k   69k|   0     0 |1510485126
  1   2  97   0   1   0| 923k   69k|   0     0 |1510485127
  1   1  97   0   1   0| 940k   71k|   0     0 |1510485128
  1   1  96   1   0   0| 913k   69k|   0    12k|1510485129
  1   1  98   0   1   0| 915k   69k|   0     0 |1510485130
  1   1  96   0   1   0| 995k   76k|   0     0 |1510485131
  1   2  97   0   1   0| 982k   74k|   0     0 |1510485132
  1   1  98   0   1   0| 910k   69k|   0     0 |1510485133
  1   1  96   1   0   0| 878k   66k|   0    12k|1510485134
  1   1  98   0   1   0| 897k   68k|   0     0 |1510485135
  1   1  97   0   1   0| 895k   67k|   0     0 |1510485136
  1   1  97   0   0   0| 949k   72k|   0     0 |1510485137
  1   1  97   0   1   0| 939k   70k|   0     0 |1510485138
  1   1  95   2   0   0| 952k   72k|   0    12k|1510485139
  1   1  97   0   1   0| 971k   73k|   0  8192B|1510485140
  1   2  97   0   1   0|1015k   76k|   0     0 |1510485141
  1   2  97   0   1   0| 957k   72k|   0     0 |1510485142
  1   2  97   0   1   0| 906k   68k|   0     0 |1510485143
  1   1  96   2   1   0| 922k   70k|   0    20k|1510485144
  1   1  97   0   1   0| 932k   70k|   0  8192B|1510485145
  1   1  98   0   1   0| 899k   68k|   0     0 |1510485146
  1   1  98   0   1   0| 942k   70k|   0     0 |1510485147
  1   1  97   0   0   0| 927k   70k|   0     0 |1510485148
  1   1  95   2   1   0| 955k   72k|   0    20k|1510485149
  1   1  97   0   1   0| 988k   74k|   0     0 |1510485150
  1   1  97   0   1   0| 992k   74k|   0     0 |1510485151
  1   1  98   0   1   0| 901k   67k|   0     0 |1510485152
  1   1  97   0   0   0| 890k   67k|   0     0 |1510485153
  1   1  96   2   1   0| 908k   68k|   0    12k|1510485154
  1   1  97   0   0   0| 899k   67k|   0     0 |1510485155
  1   1  98   0   1   0| 878k   66k|   0     0 |1510485156
  1   1  98   0   1   0| 954k   71k|   0     0 |1510485157
  1   1  98   0   1   0| 908k   68k|   0     0 |1510485158
  1   1  96   1   0   0| 943k   70k|   0    12k|1510485159
  1   1  97   0   1   0| 909k   68k|   0     0 |1510485160
  1   1  98   0   1   0| 839k   63k|   0     0 |1510485161
  1   1  97   0   1   0| 891k   67k|   0     0 |1510485162
  1   1  98   0   1   0| 931k   70k|   0     0 |1510485163
  1   1  96   2   0   0| 843k   65k|   0    12k|1510485164
  1   1  98   0   1   0| 897k   67k|   0     0 |1510485165
  1   2  98   0   1   0| 874k   66k|   0     0 |1510485166
  1   1  98   0   1   0| 857k   64k|   0     0 |1510485167
