[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  3   4  91   0   2   0|   0     0 |6759B 2240k|1510511258
  3   3  90   1   2   0| 279k  330k|   0    52k|1510511259
  3   4  92   0   2   0| 294k  347k|   0     0 |1510511260
  3   4  92   0   2   0| 311k  367k|   0     0 |1510511261
  3   4  91   0   2   0| 322k  380k|   0     0 |1510511262
  3   4  91   0   2   0| 287k  339k|   0     0 |1510511263
  3   4  91   1   2   0| 298k  352k|   0    12k|1510511264
  3   4  91   0   2   0| 344k  407k|   0     0 |1510511265
  2   4  92   0   2   0| 301k  356k|   0     0 |1510511266
  3   4  92   0   2   0| 326k  386k|   0     0 |1510511267
  3   4  92   0   2   0| 332k  392k|   0     0 |1510511268
  3   4  89   2   2   0| 316k  373k|   0    12k|1510511269
  2   3  93   0   1   0| 306k  362k|   0     0 |1510511270
  3   4  91   0   2   0| 310k  366k|   0     0 |1510511271
  3   4  92   0   2   0| 317k  375k|   0     0 |1510511272
  3   4  91   0   2   0| 323k  382k|   0     0 |1510511273
  3   4  90   2   2   0| 339k  401k|   0    12k|1510511274
  3   4  91   0   2   0| 325k  384k|   0     0 |1510511275
  3   4  91   0   2   0| 312k  369k|   0     0 |1510511276
  3   4  91   0   2   0| 317k  375k|   0     0 |1510511277
  3   4  92   0   2   0| 302k  357k|   0     0 |1510511278
  3   4  89   2   2   0| 322k  380k|   0    36k|1510511279
  3   4  91   0   2   0| 332k  392k|   0     0 |1510511280
  3   4  91   0   2   0| 319k  378k|   0     0 |1510511281
  3   3  93   0   2   0| 309k  365k|   0     0 |1510511282
  3   4  92   0   2   0| 313k  369k|   0     0 |1510511283
  4   4  89   2   2   0| 334k  395k|   0    12k|1510511284
  3   4  92   0   2   0| 324k  383k|   0     0 |1510511285
  3   4  91   0   2   0| 325k  384k|   0     0 |1510511286
  3   4  91   0   2   0| 330k  390k|   0     0 |1510511287
  3   4  91   0   2   0| 324k  382k|   0     0 |1510511288
  3   4  91   1   2   0| 312k  368k|   0    60k|1510511289
  3   4  92   0   2   0| 306k  362k|   0  4096B|1510511290
  3   3  92   0   2   0| 320k  378k|   0     0 |1510511291
  3   4  91   0   2   0| 325k  384k|   0     0 |1510511292
  3   4  91   0   2   0| 327k  386k|   0     0 |1510511293
  3   3  91   0   2   0| 324k  383k|   0  8192B|1510511294
  3   4  91   1   2   0| 315k  372k|   0  4096B|1510511295
  3   4  92   0   2   0| 316k  374k|   0     0 |1510511296
  3   4  91   0   2   0| 329k  389k|   0     0 |1510511297
  3   4  91   0   2   0| 346k  408k|   0     0 |1510511298
  3   4  92   0   2   0| 315k  372k|   0     0 |1510511299
  3   4  90   1   2   0| 329k  388k|   0    12k|1510511300
  3   4  91   0   2   0| 344k  407k|   0     0 |1510511301
  3   4  92   0   2   0| 321k  380k|   0     0 |1510511302
  3   4  91   0   2   0| 324k  383k|   0     0 |1510511303
  3   4  92   0   2   0| 337k  398k|   0     0 |1510511304
  3   4  89   1   3   0| 345k  408k|   0    12k|1510511305
  3   4  92   0   2   0| 333k  393k|   0     0 |1510511306
