[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  93   1   2   0|   0     0 |7912B 1800k|1510506410
  1   1  97   0   1   0| 132k  112k|   0     0 |1510506411
  1   3  93   0   3   0| 187k  159k|   0     0 |1510506412
  1   2  95   0   2   0| 176k  149k|   0     0 |1510506413
  0   2  96   0   2   0| 175k  148k|   0     0 |1510506414
  1   2  93   2   2   0| 182k  154k|   0    40k|1510506415
  1   2  95   0   2   0| 196k  166k|   0     0 |1510506416
  1   3  94   0   2   0| 197k  167k|   0     0 |1510506417
  1   2  95   0   2   0| 174k  147k|   0     0 |1510506418
  1   2  94   0   3   0| 190k  160k|   0     0 |1510506419
  1   2  95   0   2   0| 182k  154k|   0    24k|1510506420
  1   2  89   6   2   0| 191k  162k|   0    12k|1510506421
  0   2  96   0   2   0| 185k  157k|   0     0 |1510506422
  1   3  94   0   2   0| 193k  163k|   0     0 |1510506423
  1   2  94   0   3   0| 192k  163k|   0     0 |1510506424
  1   2  95   0   2   0| 188k  159k|   0     0 |1510506425
  1   3  94   0   2   0| 188k  159k|   0     0 |1510506426
  1   2  91   4   2   0| 192k  163k|   0    12k|1510506427
  1   2  95   0   2   0| 189k  160k|   0     0 |1510506428
  1   2  94   0   3   0| 185k  157k|   0     0 |1510506429
  1   2  95   0   2   0| 194k  164k|   0     0 |1510506430
  0   3  95   0   2   0| 189k  160k|   0     0 |1510506431
  1   2  94   0   3   0| 201k  170k|   0     0 |1510506432
  1   2  90   5   2   0| 182k  154k|   0    12k|1510506433
  1   2  95   0   2   0| 188k  159k|   0     0 |1510506434
  1   3  94   0   2   0| 189k  160k|   0     0 |1510506435
  1   2  95   0   2   0| 178k  151k|   0     0 |1510506436
  1   2  94   0   3   0| 178k  150k|   0     0 |1510506437
  1   2  95   0   2   0| 195k  165k|   0     0 |1510506438
  0   2  94   2   2   0| 178k  151k|   0    12k|1510506439
  1   2  95   0   2   0| 183k  155k|   0  8192B|1510506440
  1   3  93   0   3   0| 205k  173k|   0     0 |1510506441
  1   2  95   0   2   0| 202k  171k|   0     0 |1510506442
  1   2  95   0   2   0| 195k  165k|   0     0 |1510506443
  1   3  94   0   2   0| 186k  157k|   0     0 |1510506444
  1   2  88   6   3   0| 203k  172k|   0    16k|1510506445
  1   2  95   0   2   0| 184k  156k|   0     0 |1510506446
  1   2  95   0   2   0| 193k  163k|   0     0 |1510506447
  1   3  94   0   2   0| 191k  161k|   0     0 |1510506448
  1   2  94   0   3   0| 192k  163k|   0     0 |1510506449
  1   2  95   0   2   0| 190k  160k|   0     0 |1510506450
  0   3  92   3   2   0| 198k  168k|   0    20k|1510506451
  1   2  95   0   2   0| 188k  160k|   0     0 |1510506452
  1   2  94   0   3   0| 194k  164k|   0     0 |1510506453
  1   2  95   0   2   0| 195k  165k|   0     0 |1510506454
  1   3  94   0   2   0| 197k  167k|   0  8192B|1510506455
  1   2  94   0   3   0| 197k  167k|   0     0 |1510506456
  1   2  92   3   2   0| 191k  162k|   0    12k|1510506457
  1   3  94   0   2   0| 194k  165k|   0     0 |1510506458
  1   2  95   0   2   0| 189k  160k|   0     0 |1510506459
  1   2  94   0   3   0| 210k  178k|   0     0 |1510506460
  1   3  94   0   2   0| 196k  165k|   0     0 |1510506461
  0   2  96   0   2   0| 201k  170k|   0     0 |1510506462
  1   2  92   2   3   0| 189k  160k|   0    12k|1510506463
  1   3  94   0   2   0| 194k  164k|   0     0 |1510506464
  1   2  95   0   2   0| 197k  167k|   0     0 |1510506465
  1   2  95   0   2   0| 195k  165k|   0     0 |1510506466
  1   3  93   0   3   0| 205k  174k|   0     0 |1510506467
  1   2  95   0   2   0| 204k  173k|   0     0 |1510506468
  1   3  90   3   3   0| 214k  181k|   0    12k|1510506469
  1   2  95   0   2   0| 197k  167k|   0     0 |1510506470
  1   2  95   0   2   0| 206k  174k|   0     0 |1510506471
  1   3  93   0   3   0| 206k  174k|   0     0 |1510506472
  1   2  95   0   2   0| 183k  155k|   0     0 |1510506473
  1   2  95   0   2   0| 187k  159k|   0     0 |1510506474
  0   2  93   3   2   0| 207k  176k|   0    12k|1510506475
  1   2  94   0   3   0| 195k  165k|   0     0 |1510506476
  1   3  94   0   2   0| 200k  169k|   0     0 |1510506477
  1   2  95   0   2   0| 188k  159k|   0     0 |1510506478
  1   2  95   0   2   0| 196k  166k|   0     0 |1510506479
  1   3  93   0   3   0| 190k  161k|   0     0 |1510506480
  1   2  93   2   2   0| 182k  154k|   0    20k|1510506481
  1   2  95   0   2   0| 187k  159k|   0     0 |1510506482
  1   2  95   0   2   0| 199k  168k|   0     0 |1510506483
  1   3  93   0   3   0| 202k  171k|   0     0 |1510506484
  0   2  96   0   2   0| 194k  164k|   0     0 |1510506485
  1   2  92   3   2   0| 199k  169k|   0    20k|1510506486
  1   3  94   0   2   0| 201k  170k|   0     0 |1510506487
  1   2  94   0   3   0| 194k  164k|   0     0 |1510506488
  1   2  95   0   2   0| 191k  161k|   0     0 |1510506489
  1   2  95   0   2   0| 186k  158k|   0     0 |1510506490
  1   2  95   0   2   0| 193k  164k|   0  8192B|1510506491
  1   3  91   2   3   0| 193k  164k|   0    12k|1510506492
  1   2  95   0   2   0| 182k  154k|   0     0 |1510506493
  0   2  96   0   2   0| 184k  156k|   0     0 |1510506494
  1   2  95   0   2   0| 182k  154k|   0     0 |1510506495
  1   2  95   0   2   0| 185k  157k|   0     0 |1510506496
  1   3  94   0   2   0| 182k  154k|   0     0 |1510506497
  1   2  93   2   2   0| 188k  159k|   0    12k|1510506498
  1   2  94   0   3   0| 180k  153k|   0     0 |1510506499
  1   2  95   0   2   0| 178k  151k|   0     0 |1510506500
