PING MIDDLEWARE 2
mw2 > client1
PING 10.0.0.9 (10.0.0.9) 56(84) bytes of data.
64 bytes from 10.0.0.9: icmp_seq=1 ttl=64 time=0.415 ms
64 bytes from 10.0.0.9: icmp_seq=2 ttl=64 time=0.474 ms
64 bytes from 10.0.0.9: icmp_seq=3 ttl=64 time=0.386 ms
64 bytes from 10.0.0.9: icmp_seq=4 ttl=64 time=0.410 ms
64 bytes from 10.0.0.9: icmp_seq=5 ttl=64 time=0.409 ms
64 bytes from 10.0.0.9: icmp_seq=6 ttl=64 time=0.447 ms
64 bytes from 10.0.0.9: icmp_seq=7 ttl=64 time=0.446 ms
64 bytes from 10.0.0.9: icmp_seq=8 ttl=64 time=0.396 ms
64 bytes from 10.0.0.9: icmp_seq=9 ttl=64 time=0.469 ms
64 bytes from 10.0.0.9: icmp_seq=10 ttl=64 time=0.379 ms
64 bytes from 10.0.0.9: icmp_seq=11 ttl=64 time=0.482 ms
64 bytes from 10.0.0.9: icmp_seq=12 ttl=64 time=0.391 ms
64 bytes from 10.0.0.9: icmp_seq=13 ttl=64 time=0.403 ms
64 bytes from 10.0.0.9: icmp_seq=14 ttl=64 time=0.507 ms
64 bytes from 10.0.0.9: icmp_seq=15 ttl=64 time=0.400 ms
64 bytes from 10.0.0.9: icmp_seq=16 ttl=64 time=0.665 ms
64 bytes from 10.0.0.9: icmp_seq=17 ttl=64 time=0.342 ms
64 bytes from 10.0.0.9: icmp_seq=18 ttl=64 time=0.479 ms
64 bytes from 10.0.0.9: icmp_seq=19 ttl=64 time=0.487 ms
64 bytes from 10.0.0.9: icmp_seq=20 ttl=64 time=0.405 ms
64 bytes from 10.0.0.9: icmp_seq=21 ttl=64 time=0.414 ms
64 bytes from 10.0.0.9: icmp_seq=22 ttl=64 time=1.12 ms
64 bytes from 10.0.0.9: icmp_seq=23 ttl=64 time=0.430 ms
64 bytes from 10.0.0.9: icmp_seq=24 ttl=64 time=0.442 ms
64 bytes from 10.0.0.9: icmp_seq=25 ttl=64 time=0.440 ms
64 bytes from 10.0.0.9: icmp_seq=26 ttl=64 time=0.515 ms
64 bytes from 10.0.0.9: icmp_seq=27 ttl=64 time=0.449 ms
64 bytes from 10.0.0.9: icmp_seq=28 ttl=64 time=0.424 ms
64 bytes from 10.0.0.9: icmp_seq=29 ttl=64 time=0.494 ms
64 bytes from 10.0.0.9: icmp_seq=30 ttl=64 time=0.393 ms
64 bytes from 10.0.0.9: icmp_seq=31 ttl=64 time=0.431 ms
64 bytes from 10.0.0.9: icmp_seq=32 ttl=64 time=0.461 ms
64 bytes from 10.0.0.9: icmp_seq=33 ttl=64 time=0.515 ms
64 bytes from 10.0.0.9: icmp_seq=34 ttl=64 time=0.544 ms
64 bytes from 10.0.0.9: icmp_seq=35 ttl=64 time=0.377 ms
64 bytes from 10.0.0.9: icmp_seq=36 ttl=64 time=0.443 ms
64 bytes from 10.0.0.9: icmp_seq=37 ttl=64 time=0.391 ms
mw2 > client2
PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=2.33 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=2.01 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=2.48 ms
64 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=1.96 ms
64 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=2.00 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=1.96 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=2.29 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=1.97 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=2.12 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=2.04 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=1.94 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=2.05 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=2.24 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=2.14 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=2.10 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=2.04 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=2.18 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=1.95 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=2.00 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=2.26 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=2.17 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=2.00 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=2.57 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=2.15 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=2.08 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=2.35 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=2.08 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=2.01 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=2.32 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=2.64 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=2.26 ms
64 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=2.06 ms
64 bytes from 10.0.0.6: icmp_seq=33 ttl=64 time=1.91 ms
64 bytes from 10.0.0.6: icmp_seq=34 ttl=64 time=1.97 ms
64 bytes from 10.0.0.6: icmp_seq=35 ttl=64 time=2.00 ms
64 bytes from 10.0.0.6: icmp_seq=36 ttl=64 time=2.20 ms
mw2 > client3
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=2.06 ms
