[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  92   1   2   0|   0     0 |5350B 1218k|1510517829
  2   2  94   0   2   0|2591k  173k|   0     0 |1510517830
  2   3  93   0   2   0|4193k  276k|   0  8192B|1510517831
  2   3  92   0   3   0|4608k  304k|   0     0 |1510517832
  2   3  92   0   3   0|4856k  320k|   0     0 |1510517833
  2   4  88   3   3   0|4851k  320k|   0    40k|1510517834
  2   2  93   0   3   0|4562k  301k|   0     0 |1510517835
  2   4  91   0   3   0|4878k  322k|   0     0 |1510517836
  2   3  91   0   4   0|4702k  310k|   0     0 |1510517837
  2   4  91   0   3   0|5304k  349k|   0     0 |1510517838
  3   3  91   0   3   0|4975k  328k|   0     0 |1510517839
  2   3  90   2   3   0|5017k  331k|   0    12k|1510517840
  2   4  90   0   4   0|4885k  322k|   0     0 |1510517841
  3   3  91   0   3   0|5059k  335k|   0     0 |1510517842
  2   3  92   0   3   0|4676k  308k|   0     0 |1510517843
  2   3  92   0   3   0|4821k  318k|   0     0 |1510517844
  2   4  91   0   3   0|4933k  326k|   0     0 |1510517845
  2   3  89   3   3   0|5023k  331k|   0    12k|1510517846
  2   3  92   0   3   0|4958k  326k|   0     0 |1510517847
  3   3  91   0   3   0|5348k  353k|   0     0 |1510517848
  2   4  90   0   4   0|5179k  342k|   0     0 |1510517849
  2   3  92   0   3   0|5201k  343k|   0     0 |1510517850
  2   4  91   0   3   0|5136k  339k|   0     0 |1510517851
  3   3  89   2   3   0|5137k  339k|   0    12k|1510517852
  2   4  90   0   4   0|5068k  334k|   0     0 |1510517853
  2   3  92   0   3   0|5052k  333k|   0     0 |1510517854
  2   3  92   0   3   0|4947k  326k|   0     0 |1510517855
  3   3  91   0   3   0|5026k  331k|   0    56k|1510517856
  2   4  91   0   3   0|5025k  332k|   0     0 |1510517857
  2   3  90   2   3   0|4928k  325k|   0    12k|1510517858
  2   3  92   0   3   0|5121k  338k|   0     0 |1510517859
  2   3  91   0   4   0|4853k  320k|   0     0 |1510517860
  3   4  90   0   3   0|4986k  328k|   0  8192B|1510517861
  2   3  92   0   3   0|4819k  318k|   0     0 |1510517862
  2   3  93   0   2   0|4752k  314k|   0     0 |1510517863
  2   3  89   3   3   0|4829k  318k|   0    20k|1510517864
  2   3  92   0   3   0|4813k  317k|   0     0 |1510517865
  2   3  91   0   4   0|4837k  319k|   0     0 |1510517866
  2   3  92   0   3   0|5040k  333k|   0     0 |1510517867
  3   4  90   0   3   0|5045k  333k|   0     0 |1510517868
  2   3  92   0   3   0|4931k  325k|   0     0 |1510517869
  2   3  89   2   4   0|5248k  346k|   0    12k|1510517870
  3   4  90   0   3   0|5017k  330k|   0     0 |1510517871
  2   3  92   0   3   0|4940k  326k|   0     0 |1510517872
  2   3  92   0   3   0|5045k  333k|   0     0 |1510517873
  2   3  92   0   3   0|4889k  322k|   0     0 |1510517874
  2   3  92   0   3   0|4881k  322k|   0     0 |1510517875
  2   3  88   4   3   0|4751k  313k|   0    12k|1510517876
  2   4  91   0   3   0|5018k  331k|   0     0 |1510517877
  2   3  92   0   3   0|4891k  322k|   0     0 |1510517878
  2   3  92   0   3   0|5081k  335k|   0     0 |1510517879
  2   3  92   0   3   0|4807k  317k|   0     0 |1510517880
  3   3  91   0   3   0|4848k  320k|   0     0 |1510517881
  2   3  89   3   3   0|5002k  330k|   0    12k|1510517882
  2   3  92   0   3   0|4882k  322k|   0     0 |1510517883
  2   4  91   0   3   0|5019k  331k|   0     0 |1510517884
  3   3  90   0   4   0|4932k  325k|   0     0 |1510517885
  2   3  92   0   3   0|4996k  330k|   0     0 |1510517886
  2   3  92   0   3   0|4858k  320k|   0     0 |1510517887
  2   3  89   3   3   0|4966k  327k|   0    12k|1510517888
  2   3  92   0   3   0|4767k  315k|   0     0 |1510517889
  2   4  91   0   3   0|4923k  324k|   0     0 |1510517890
  2   3  92   0   3   0|4863k  321k|   0  8192B|1510517891
  3   3  91   0   3   0|4923k  326k|   0     0 |1510517892
  2   3  92   0   3   0|4935k  325k|   0     0 |1510517893
