[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  93   1   2   0|   0     0 |7677B 1747k|1510507140
  1   3  94   0   2   0| 282k  239k|   0     0 |1510507141
  1   3  93   0   3   0| 497k  420k|   0     0 |1510507142
  2   4  90   0   4   0| 514k  433k|   0     0 |1510507143
  1   4  92   0   3   0| 485k  411k|   0  4096B|1510507144
  2   3  90   2   3   0| 542k  459k|   0    36k|1510507145
  1   4  91   0   4   0| 570k  482k|   0     0 |1510507146
  2   4  91   0   3   0| 529k  448k|   0     0 |1510507147
  1   3  92   0   4   0| 555k  469k|   0     0 |1510507148
  1   4  92   0   3   0| 601k  509k|   0     0 |1510507149
  2   4  90   0   4   0| 517k  437k|   0     0 |1510507150
  1   4  90   2   3   0| 550k  467k|   0    12k|1510507151
  2   4  90   0   4   0| 557k  472k|   0     0 |1510507152
  1   3  93   0   3   0| 534k  452k|   0     0 |1510507153
  2   4  90   0   4   0| 560k  474k|   0     0 |1510507154
  1   4  92   0   3   0| 576k  488k|   0     0 |1510507155
  1   4  92   0   3   0| 532k  450k|   0     0 |1510507156
  2   3  87   4   4   0| 534k  453k|   0    12k|1510507157
  1   4  92   0   3   0| 560k  474k|   0     0 |1510507158
  2   4  90   0   4   0| 586k  496k|   0     0 |1510507159
  1   3  93   0   3   0| 497k  420k|   0     0 |1510507160
  2   4  90   0   4   0| 541k  458k|   0     0 |1510507161
  1   4  92   0   3   0| 591k  500k|   0     0 |1510507162
  2   4  86   4   4   0| 545k  461k|   0    12k|1510507163
  1   3  93   0   3   0| 537k  454k|   0     0 |1510507164
  2   4  90   0   4   0| 580k  491k|   0     0 |1510507165
  1   4  92   0   3   0| 547k  464k|   0     0 |1510507166
  2   4  90   0   4   0| 578k  489k|   0     0 |1510507167
  1   4  92   0   3   0| 548k  463k|   0     0 |1510507168
  1   3  89   3   4   0| 502k  424k|   0    12k|1510507169
  2   4  91   0   3   0| 532k  450k|   0     0 |1510507170
  1   3  93   0   3   0| 563k  476k|   0     0 |1510507171
  2   4  90   0   4   0| 593k  502k|   0     0 |1510507172
  1   4  91   0   4   0| 564k  478k|   0     0 |1510507173
  1   3  94   0   2   0| 422k  354k|   0    12k|1510507174
  2   4  86   4   4   0| 576k  488k|   0    20k|1510507175
  1   3  93   0   3   0| 530k  449k|   0     0 |1510507176
  1   4  91   0   4   0| 580k  491k|   0     0 |1510507177
  2   4  91   0   3   0| 578k  489k|   0     0 |1510507178
  1   4  91   0   4   0| 591k  500k|   0    28k|1510507179
  2   4  91   0   3   0| 562k  476k|   0     0 |1510507180
  1   4  90   1   4   0| 594k  503k|   0    12k|1510507181
  2   4  90   0   4   0| 584k  494k|   0     0 |1510507182
  1   3  93   0   3   0| 570k  483k|   0     0 |1510507183
  2   4  90   0   4   0| 575k  487k|   0     0 |1510507184
  1   4  91   0   4   0| 614k  521k|   0     0 |1510507185
  2   4  91   0   3   0| 590k  500k|   0     0 |1510507186
  2   3  87   4   4   0| 522k  441k|   0    12k|1510507187
  1   4  92   0   3   0| 616k  522k|   0     0 |1510507188
  2   4  90   0   4   0| 598k  506k|   0     0 |1510507189
  1   4  91   0   4   0| 603k  509k|   0     0 |1510507190
  2   4  91   0   3   0| 546k  462k|   0     0 |1510507191
  1   4  91   0   4   0| 599k  508k|   0     0 |1510507192
  2   4  89   2   3   0| 567k  480k|   0    12k|1510507193
  1   4  91   0   4   0| 539k  456k|   0     0 |1510507194
  1   3  93   0   3   0| 533k  451k|   0     0 |1510507195
  2   4  90   0   4   0| 609k  515k|   0     0 |1510507196
  1   4  92   0   3   0| 592k  500k|   0     0 |1510507197
  2   4  90   0   4   0| 603k  510k|   0     0 |1510507198
  1   4  88   3   4   0| 617k  522k|   0    12k|1510507199
  2   4  90   0   4   0| 647k  548k|   0     0 |1510507200
  2   4  91   0   3   0| 554k  468k|   0     0 |1510507201
  1   4  91   0   4   0| 568k  481k|   0     0 |1510507202
  2   4  90   0   4   0| 532k  450k|   0     0 |1510507203
  1   3  93   0   3   0| 561k  475k|   0     0 |1510507204
  2   4  87   3   4   0| 604k  511k|   0    12k|1510507205
  1   4  91   0   4   0| 584k  494k|   0     0 |1510507206
  1   4  92   0   3   0| 534k  451k|   0     0 |1510507207
  2   4  91   0   3   0| 547k  463k|   0     0 |1510507208
  1   4  91   0   4   0| 622k  526k|   0  8192B|1510507209
  2   4  90   0   4   0| 582k  493k|   0     0 |1510507210
  1   4  88   3   4   0| 581k  492k|   0    20k|1510507211
  2   4  91   0   3   0| 589k  498k|   0     0 |1510507212
  1   3  92   0   4   0| 583k  494k|   0     0 |1510507213
  2   5  90   0   3   0| 608k  514k|   0  8192B|1510507214
  1   3  92   0   4   0| 589k  498k|   0     0 |1510507215
  2   4  90   0   4   0| 580k  492k|   0     0 |1510507216
  1   4  88   4   3   0| 531k  449k|   0    12k|1510507217
  1   3  93   0   3   0| 537k  454k|   0     0 |1510507218
  2   4  90   0   4   0| 567k  478k|   0     0 |1510507219
  2   5  88   0   5   0| 651k  550k|   0     0 |1510507220
  1   4  92   0   3   0| 574k  486k|   0     0 |1510507221
  2   4  90   0   4   0| 608k  515k|   0     0 |1510507222
  1   4  87   4   4   0| 562k  476k|   0    12k|1510507223
  2   4  91   0   3   0| 561k  475k|   0     0 |1510507224
  1   3  92   0   4   0| 540k  457k|   0     0 |1510507225
  2   5  89   0   4   0| 591k  501k|   0     0 |1510507226
  2   4  91   0   3   0| 593k  502k|   0     0 |1510507227
  1   3  92   0   4   0| 556k  471k|   0     0 |1510507228
  1   4  89   3   3   0| 538k  455k|   0    12k|1510507229
  2   4  91   0   3   0| 588k  498k|   0     0 |1510507230
