[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   4  89   1   3   0|   0     0 |  15k 3202k|1510583844
  3   4  89   0   4   0|7490k  496k|   0     0 |1510583845
  3   6  86   0   5   0|  10M  699k|   0     0 |1510583846
  5   6  75   7   7   0|  12M  806k|   0    40k|1510583847
  5   7  82   0   6   0|  13M  851k|   0     0 |1510583848
  4   7  83   0   6   0|  12M  787k|   0     0 |1510583849
  5   6  83   0   6   0|  12M  795k|   0     0 |1510583850
  4   6  84   0   6   0|  11M  734k|   0     0 |1510583851
  5   6  82   0   7   0|  12M  798k|   0     0 |1510583852
  4   7  79   5   5   0|  12M  791k|   0    12k|1510583853
  5   6  83   0   6   0|  12M  798k|   0     0 |1510583854
  4   6  85   0   5   0|  11M  741k|   0     0 |1510583855
  5   6  83   0   6   0|  11M  759k|   0     0 |1510583856
  4   6  84   0   6   0|  12M  785k|   0     0 |1510583857
  4   6  84   0   6   0|  12M  805k|   0     0 |1510583858
  5   7  79   4   5   0|  12M  791k|   0    12k|1510583859
  3   5  86   0   6   0|  10M  688k|   0     0 |1510583860
  4   6  85   0   5   0|  12M  788k|   0     0 |1510583861
  4   6  85   0   5   0|  11M  763k|   0     0 |1510583862
  5   6  83   0   6   0|  12M  843k|   0     0 |1510583863
  4   6  85   0   5   0|  12M  796k|   0     0 |1510583864
  4   5  81   5   5   0|  11M  763k|   0    12k|1510583865
  4   6  85   0   5   0|  11M  753k|   0     0 |1510583866
  4   6  84   0   6   0|  12M  779k|   0     0 |1510583867
  4   6  85   0   5   0|  12M  806k|   0     0 |1510583868
  5   5  84   0   6   0|  11M  748k|   0     0 |1510583869
  4   6  85   0   5   0|  11M  754k|   0     0 |1510583870
  4   6  80   4   6   0|  11M  756k|   0    16k|1510583871
  5   7  81   2   5   0|  12M  816k|   0    28k|1510583872
  4   6  83   0   7   0|  12M  811k|   0     0 |1510583873
  5   6  83   0   6   0|  12M  802k|   0     0 |1510583874
  4   6  85   0   5   0|  11M  769k|   0     0 |1510583875
  4   6  84   0   6   0|  10M  700k|   0    12k|1510583876
  5   6  80   3   6   0|  11M  772k|   0    20k|1510583877
  4   7  83   0   6   0|  12M  817k|   0     0 |1510583878
  5   6  83   0   6   0|  12M  829k|   0     0 |1510583879
  5   7  82   0   6   0|  12M  825k|   0     0 |1510583880
  5   7  81   0   7   0|  12M  808k|   0     0 |1510583881
  4   6  85   0   5   0|  12M  808k|   0     0 |1510583882
  5   6  79   3   7   0|  12M  814k|   0    12k|1510583883
  5   7  82   0   6   0|  12M  837k|   0     0 |1510583884
  4   5  86   0   5   0|9721k  641k|   0     0 |1510583885
  4   6  84   0   6   0|  12M  783k|   0     0 |1510583886
  5   6  84   0   5   0|  11M  744k|   0     0 |1510583887
  4   7  82   0   7   0|  12M  840k|   0     0 |1510583888
  5   6  80   4   5   0|  12M  790k|   0    12k|1510583889
  5   6  83   0   6   0|  12M  792k|   0     0 |1510583890
  4   7  83   0   6   0|  11M  770k|   0     0 |1510583891
  4   6  85   0   5   0|  11M  770k|   0     0 |1510583892
  5   6  83   0   6   0|  12M  781k|   0     0 |1510583893
  4   6  85   0   5   0|  12M  829k|   0     0 |1510583894
  5   6  79   4   6   0|  12M  812k|   0    12k|1510583895
  4   6  84   0   6   0|  12M  778k|   0     0 |1510583896
  5   7  82   0   6   0|  12M  834k|   0     0 |1510583897
  4   6  84   0   6   0|  12M  796k|   0     0 |1510583898
  5   6  83   0   6   0|  11M  773k|   0     0 |1510583899
  4   6  83   0   7   0|  11M  765k|   0     0 |1510583900
  5   6  82   2   5   0|  11M  772k|   0    12k|1510583901
  4   7  83   0   6   0|  11M  745k|   0     0 |1510583902
  5   6  83   0   6   0|  12M  805k|   0     0 |1510583903
  5   7  81   0   7   0|  11M  773k|   0     0 |1510583904
  4   5  86   0   5   0|  11M  744k|   0     0 |1510583905
  4   7  83   0   6   0|  12M  814k|   0     0 |1510583906
  5   6  79   4   6   0|  12M  836k|   0    24k|1510583907
  5   6  83   0   6   0|  11M  758k|   0     0 |1510583908
  5   7  82   0   6   0|  13M  847k|   0     0 |1510583909
  4   6  84   0   6   0|  12M  805k|   0     0 |1510583910
  5   7  82   0   6   0|  12M  839k|   0     0 |1510583911
  4   6  84   0   6   0|  12M  809k|   0     0 |1510583912
  5   6  79   4   6   0|  12M  809k|   0    12k|1510583913
  5   6  83   0   6   0|  12M  811k|   0     0 |1510583914
  5   7  82   0   6   0|  12M  786k|   0     0 |1510583915
  4   5  86   0   5   0|  12M  797k|   0     0 |1510583916
  4   6  84   0   6   0|  12M  823k|   0     0 |1510583917
  5   7  82   0   6   0|  12M  792k|   0     0 |1510583918
  5   6  81   2   6   0|  12M  807k|   0    12k|1510583919
  5   6  83   0   6   0|  12M  782k|   0     0 |1510583920
  4   7  82   0   7   0|  12M  816k|   0     0 |1510583921
  5   6  83   0   6   0|  12M  796k|   0     0 |1510583922
  5   6  84   0   5   0|  12M  818k|   0     0 |1510583923
  5   7  81   0   7   0|  12M  835k|   0     0 |1510583924
  5   6  80   3   6   0|  12M  836k|   0    12k|1510583925
  5   7  82   0   6   0|  12M  805k|   0     0 |1510583926
  5   6  83   0   6   0|  12M  822k|   0     0 |1510583927
  5   7  81   0   7   0|  12M  838k|   0     0 |1510583928
  4   6  84   0   6   0|  12M  781k|   0     0 |1510583929
  5   6  83   0   6   0|  12M  805k|   0     0 |1510583930
  5   7  80   3   5   0|  12M  823k|   0    12k|1510583931
  4   6  84   0   6   0|  12M  794k|   0     0 |1510583932
  5   6  84   0   5   0|  11M  759k|   0     0 |1510583933
  5   6  82   0   7   0|  12M  813k|   0     0 |1510583934
