[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  5   7  83   0   3   0|   0     0 |  13k 4110k|1510586060
  9  12  74   0   6   0| 569k 8600k|   0     0 |1510586061
  8  12  73   0   6   0| 722k   11M|   0     0 |1510586062
  8  12  75   0   5   0| 720k   11M|   0    20k|1510586063
  8  12  73   2   6   0| 747k   11M|   0    40k|1510586064
  8  13  73   0   6   0| 764k   11M|   0     0 |1510586065
  9  13  73   0   6   0| 775k   11M|   0     0 |1510586066
  9  13  73   0   6   0| 792k   12M|   0     0 |1510586067
  8  12  75   0   5   0| 743k   11M|   0     0 |1510586068
  7  11  76   1   5   0| 734k   11M|   0    16k|1510586069
  8  13  73   0   6   0| 787k   12M|   0     0 |1510586070
  9  13  73   0   6   0| 804k   12M|   0     0 |1510586071
  9  14  72   0   6   0| 801k   12M|   0     0 |1510586072
  9  13  73   0   6   0| 790k   12M|   0     0 |1510586073
  9  13  72   1   6   0| 775k   11M|   0    16k|1510586074
  9  13  73   0   6   0| 776k   12M|   0     0 |1510586075
  9  14  71   0   6   0| 822k   12M|   0     0 |1510586076
  8  13  74   0   6   0| 765k   11M|   0     0 |1510586077
  8  12  73   0   6   0| 792k   12M|   0     0 |1510586078
  9  13  72   1   6   0| 786k   12M|   0    16k|1510586079
  9  13  71   0   6   0| 788k   12M|   0     0 |1510586080
  8  13  74   0   6   0| 816k   12M|   0     0 |1510586081
  9  13  73   0   6   0| 804k   12M|   0     0 |1510586082
  8  13  73   0   6   0| 814k   12M|   0  8192B|1510586083
  8  12  74   1   6   0| 774k   11M|   0    32k|1510586084
  8  13  74   0   5   0| 784k   12M|   0     0 |1510586085
  9  13  73   0   6   0| 793k   12M|   0     0 |1510586086
  9  13  74   0   6   0| 772k   11M|   0     0 |1510586087
  9  13  71   0   6   0| 830k   12M|   0     0 |1510586088
  8  13  72   1   6   0| 793k   12M|   0    16k|1510586089
  9  13  72   0   7   0| 786k   12M|   0     0 |1510586090
  8  13  73   0   5   0| 780k   12M|   0     0 |1510586091
  8  12  74   0   6   0| 798k   12M|   0     0 |1510586092
  8  13  74   0   6   0| 824k   12M|   0    20k|1510586093
  8  12  73   1   5   0| 812k   12M|   0    24k|1510586094
  8  13  73   0   6   0| 795k   12M|   0     0 |1510586095
  8  12  74   0   5   0| 771k   11M|   0     0 |1510586096
  8  12  74   0   6   0| 780k   12M|   0     0 |1510586097
  8  12  74   0   5   0| 791k   12M|   0    32k|1510586098
  7  12  76   1   5   0| 757k   11M|   0    16k|1510586099
  9  13  72   0   7   0| 791k   12M|   0     0 |1510586100
  8  13  73   0   6   0| 796k   12M|   0     0 |1510586101
  9  12  75   0   5   0| 741k   11M|   0     0 |1510586102
  8  12  75   0   6   0| 772k   11M|   0     0 |1510586103
  8  13  71   1   6   0| 799k   12M|   0    16k|1510586104
  8  13  73   0   6   0| 790k   12M|   0     0 |1510586105
  8  12  73   0   6   0| 778k   12M|   0     0 |1510586106
  8  13  74   0   6   0| 796k   12M|   0     0 |1510586107
  8  12  75   0   5   0| 744k   11M|   0     0 |1510586108
  8  13  72   2   6   0| 775k   11M|   0    16k|1510586109
  9  13  73   0   6   0| 787k   12M|   0     0 |1510586110
  8  12  74   0   7   0| 772k   11M|   0     0 |1510586111
  9  14  72   0   6   0| 801k   12M|   0     0 |1510586112
  8  12  74   0   6   0| 809k   12M|   0     0 |1510586113
  8  12  75   1   5   0| 758k   11M|   0    16k|1510586114
  8  13  73   0   6   0| 779k   12M|   0     0 |1510586115
  9  13  72   0   6   0| 808k   12M|   0     0 |1510586116
  9  13  73   0   6   0| 808k   12M|   0     0 |1510586117
  8  14  73   0   6   0| 804k   12M|   0     0 |1510586118
  8  13  74   0   6   0| 767k   11M|   0     0 |1510586119
  6  10  78   2   5   0| 605k 9103k|   0    16k|1510586120
 15  18  55   0  12   0| 668k   10M|   0     0 |1510586121
 12  16  64   0   9   0| 762k   11M|   0     0 |1510586122
  9  14  70   0   6   0| 798k   12M|   0    16k|1510586123
  9  14  73   0   6   0| 794k   12M|   0     0 |1510586124
  9  13  71   1   6   0| 795k   12M|   0    24k|1510586125
  8  13  72   0   6   0| 818k   12M|   0     0 |1510586126
  9  13  72   0   7   0| 810k   12M|   0     0 |1510586127
  8  12  74   0   6   0| 789k   12M|   0  8192B|1510586128
  9  13  73   0   6   0| 824k   12M|   0     0 |1510586129
  8  13  73   1   5   0| 761k   11M|   0    24k|1510586130
  8  13  74   0   6   0| 781k   12M|   0     0 |1510586131
  9  14  72   0   6   0| 802k   12M|   0     0 |1510586132
  8  13  73   0   6   0| 804k   12M|   0  8192B|1510586133
 10  14  71   0   7   0| 828k   12M|   0     0 |1510586134
  8  13  73   1   7   0| 799k   12M|   0    16k|1510586135
  9  13  73   0   6   0| 792k   12M|   0     0 |1510586136
  8  13  73   0   6   0| 794k   12M|   0     0 |1510586137
  8  13  73   0   6   0| 811k   12M|   0     0 |1510586138
  9  12  74   0   6   0| 761k   11M|   0     0 |1510586139
  8  13  72   2   6   0| 779k   12M|   0    16k|1510586140
  8  13  73   0   6   0| 791k   12M|   0     0 |1510586141
  8  13  74   0   6   0| 802k   12M|   0     0 |1510586142
  8  13  72   0   6   0| 807k   12M|   0     0 |1510586143
  9  13  73   0   6   0| 815k   12M|   0     0 |1510586144
  9  13  72   1   6   0| 780k   12M|   0    16k|1510586145
  8  13  74   0   6   0| 821k   12M|   0     0 |1510586146
  9  13  73   0   6   0| 796k   12M|   0     0 |1510586147
  8  13  75   0   6   0| 756k   11M|   0     0 |1510586148
  8  13  73   0   7   0| 766k   11M|   0     0 |1510586149
  6   9  80   1   4   0| 539k 8146k|   0    16k|1510586150
