[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   2  95   0   1   0|   0     0 |9247B   17M|1510584909
  4   2  93   0   1   0|1280k 1293k|   0     0 |1510584910
  2   1  97   0   1   0|1333k 1338k|   0     0 |1510584911
  7   6  85   0   2   0|1303k 1313k|   0     0 |1510584912
  1   1  97   0   0   0|1513k 1516k|   0  4096B|1510584913
  3   2  94   0   0   0|1438k 1441k|   0    52k|1510584914
  1   1  98   0   0   0|1463k 1463k|   0     0 |1510584915
  1   1  98   0   0   0|1416k 1420k|   0     0 |1510584916
  1   1  98   0   0   0|1534k 1534k|   0     0 |1510584917
  1   1  98   0   0   0|1558k 1558k|   0  8192B|1510584918
  1   1  98   0   0   0|1507k 1507k|   0     0 |1510584919
  1   1  97   1   0   0|1635k 1635k|   0    28k|1510584920
  2   1  97   0   1   0|1614k 1614k|   0     0 |1510584921
  1   1  98   0   0   0|1528k 1529k|   0     0 |1510584922
  1   1  98   0   0   0|1532k 1532k|   0     0 |1510584923
  1   1  98   0   0   0|1518k 1518k|   0     0 |1510584924
  1   1  97   1   0   0|1503k 1503k|   0    12k|1510584925
  1   1  98   0   0   0|1461k 1462k|   0     0 |1510584926
  1   1  98   0   0   0|1489k 1486k|   0     0 |1510584927
  1   1  98   0   0   0|1516k 1519k|   0     0 |1510584928
  1   1  98   0   0   0|1519k 1519k|   0     0 |1510584929
  1   1  96   2   0   0|1421k 1423k|   0    12k|1510584930
  1   1  98   0   0   0|1492k 1494k|   0     0 |1510584931
  1   1  98   0   0   0|1510k 1510k|   0     0 |1510584932
  1   1  98   0   0   0|1402k 1402k|   0     0 |1510584933
  1   1  98   0   0   0|1511k 1511k|   0     0 |1510584934
  1   1  98   0   0   0|1479k 1479k|   0    12k|1510584935
  2   2  96   0   0   0|1435k 1435k|   0     0 |1510584936
  1   1  98   0   0   0|1467k 1467k|   0     0 |1510584937
  2   1  97   0   1   0|1296k 1304k|   0    40k|1510584938
  1   1  97   0   0   0|1507k 1507k|   0     0 |1510584939
  1   1  97   0   0   0|1441k 1441k|   0    20k|1510584940
  1   1  98   0   0   0|1414k 1414k|   0     0 |1510584941
  1   1  98   0   0   0|1491k 1491k|   0     0 |1510584942
  1   1  99   0   0   0|1483k 1483k|   0    72k|1510584943
  1   1  98   0   0   0|1508k 1508k|   0     0 |1510584944
  1   1  98   0   0   0|1482k 1482k|   0     0 |1510584945
  1   1  98   1   0   0|1459k 1459k|   0    20k|1510584946
  1   1  99   0   0   0|1482k 1482k|   0     0 |1510584947
  1   1  98   0   1   0|1513k 1513k|   0     0 |1510584948
  0   1  98   0   0   0|1495k 1495k|   0     0 |1510584949
  1   1  98   0   0   0|1586k 1586k|   0     0 |1510584950
  0   1  98   0   0   0|1576k 1576k|   0    12k|1510584951
  1   1  98   0   0   0|1580k 1580k|   0     0 |1510584952
  1   1  98   0   0   0|1548k 1548k|   0     0 |1510584953
  0   1  98   0   0   0|1532k 1532k|   0     0 |1510584954
  0   1  99   0   0   0|1506k 1506k|   0     0 |1510584955
  1   1  98   0   0   0|1529k 1529k|   0    12k|1510584956
  0   1  98   0   0   0|1543k 1543k|   0     0 |1510584957
  1   1  98   0   0   0|1510k 1510k|   0     0 |1510584958
  1   1  99   0   0   0|1530k 1530k|   0     0 |1510584959
  1   1  98   0   0   0|1548k 1548k|   0     0 |1510584960
  1   1  98   0   0   0|1522k 1522k|   0    12k|1510584961
  1   1  99   0   0   0|1444k 1444k|   0     0 |1510584962
  1   1  98   0   0   0|1534k 1534k|   0     0 |1510584963
  0   1  98   0   0   0|1519k 1519k|   0     0 |1510584964
  0   1  99   0   0   0|1539k 1539k|   0     0 |1510584965
  1   1  98   0   0   0|1538k 1538k|   0    12k|1510584966
  1   1  98   0   0   0|1519k 1519k|   0     0 |1510584967
  1   1  98   0   0   0|1574k 1574k|   0    20k|1510584968
  1   1  99   0   0   0|1514k 1514k|   0     0 |1510584969
  0   1  99   0   0   0|1443k 1443k|   0     0 |1510584970
  1   1  97   0   0   0|1535k 1536k|   0    12k|1510584971
  1   1  98   0   0   0|1542k 1542k|   0     0 |1510584972
  1   1  98   0   1   0|1480k 1480k|   0    16k|1510584973
  1   1  99   0   0   0|1336k 1336k|   0     0 |1510584974
  0   1  99   0   0   0|1526k 1526k|   0     0 |1510584975
  1   1  98   0   0   0|1527k 1527k|   0    28k|1510584976
  0   1  98   0   0   0|1469k 1470k|   0     0 |1510584977
  1   1  98   0   0   0|1506k 1506k|   0    16k|1510584978
  0   1  99   0   0   0|1526k 1526k|   0     0 |1510584979
  1   1  98   0   0   0|1576k 1571k|   0     0 |1510584980
  1   1  98   0   0   0|1485k 1490k|   0    20k|1510584981
  1   1  98   0   0   0|1533k 1533k|   0     0 |1510584982
  0   1  98   0   0   0|1487k 1487k|   0     0 |1510584983
  0   1  99   0   0   0|1473k 1473k|   0     0 |1510584984
  1   1  99   0   0   0|1451k 1451k|   0     0 |1510584985
  1   1  98   1   0   0|1453k 1453k|   0    12k|1510584986
  1   1  98   0   0   0|1498k 1499k|   0     0 |1510584987
  1   1  98   0   0   0|1479k 1480k|   0     0 |1510584988
  0   1  99   0   0   0|1475k 1475k|   0     0 |1510584989
  1   1  99   0   0   0|1415k 1415k|   0     0 |1510584990
  1   1  98   0   0   0|1484k 1484k|   0    12k|1510584991
  1   1  99   0   0   0|1467k 1468k|   0     0 |1510584992
  1   1  98   0   0   0|1515k 1515k|   0     0 |1510584993
  1   1  99   0   0   0|1566k 1566k|   0     0 |1510584994
  1   1  98   0   0   0|1534k 1534k|   0     0 |1510584995
  1   1  98   0   0   0|1529k 1530k|   0  8192B|1510584996
  0   1  98   0   0   0|1540k 1540k|   0  4096B|1510584997
  1   1  99   0   0   0|1553k 1552k|   0    20k|1510584998
  1   1  98   0   0   0|1441k 1443k|   0     0 |1510584999
