[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  95   1   0   0|   0     0 |  73k  139M|1510572257
  6   4  89   0   1   0|3009k 3008k|   0     0 |1510572258
  8   7  83   0   1   0|3633k 3635k|   0     0 |1510572259
  3   2  93   1   1   0|4655k 4655k|   0    72k|1510572260
  3   3  93   0   1   0|4348k 4348k|   0     0 |1510572261
  2   2  95   0   1   0|4329k 4329k|   0     0 |1510572262
  2   2  95   0   1   0|4338k 4336k|   0     0 |1510572263
  1   2  96   0   1   0|4203k 4205k|   0     0 |1510572264
  2   2  96   0   1   0|4318k 4318k|   0     0 |1510572265
  2   2  96   0   1   0|4384k 4384k|   0    92k|1510572266
  2   2  96   0   1   0|4195k 4196k|   0     0 |1510572267
  1   2  96   0   1   0|4292k 4292k|   0     0 |1510572268
  2   2  95   0   1   0|4332k 4326k|   0     0 |1510572269
  2   2  96   0   1   0|4404k 4410k|   0     0 |1510572270
  2   2  96   0   1   0|4477k 4477k|   0    40k|1510572271
  1   2  96   0   1   0|4180k 4181k|   0     0 |1510572272
  2   2  96   0   1   0|4145k 4143k|   0     0 |1510572273
  1   2  96   0   1   0|4362k 4365k|   0     0 |1510572274
  1   2  96   0   1   0|4308k 4308k|   0     0 |1510572275
  1   2  96   0   1   0|4075k 4075k|   0    80k|1510572276
  2   2  95   0   1   0|3977k 3977k|   0     0 |1510572277
  1   2  96   0   1   0|4289k 4289k|   0     0 |1510572278
  2   2  95   0   1   0|4187k 4188k|   0     0 |1510572279
  1   2  96   0   1   0|4029k 4029k|   0     0 |1510572280
  1   2  96   0   1   0|4322k 4323k|   0     0 |1510572281
  1   2  96   0   1   0|4266k 4267k|   0    12k|1510572282
  2   3  94   0   1   0|4209k 4209k|   0     0 |1510572283
  1   2  96   0   1   0|4241k 4241k|   0     0 |1510572284
  1   2  97   0   1   0|4000k 4000k|   0     0 |1510572285
  1   2  96   0   1   0|3941k 3940k|   0    32k|1510572286
  1   2  96   0   1   0|4075k 4075k|   0     0 |1510572287
  1   2  96   1   1   0|3996k 3996k|   0    20k|1510572288
  1   2  96   0   1   0|4057k 4057k|   0     0 |1510572289
  1   2  96   0   1   0|4032k 4033k|   0     0 |1510572290
  1   2  96   0   1   0|4252k 4252k|   0  8192B|1510572291
  1   2  96   0   1   0|4156k 4156k|   0     0 |1510572292
