[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  3   5  87   2   4   0|   0     0 |  30k 7028k|1510769222
  3   5  88   0   4   0|6336k  420k|   0     0 |1510769223
  4   7  63  19   7   0|  11M  752k|   0    44k|1510769224
  5   8  80   0   7   0|  13M  850k|   0     0 |1510769225
  4   7  81   0   8   0|  12M  805k|   0     0 |1510769226
  5   7  81   0   7   0|  13M  861k|   0     0 |1510769227
  5   9  78   0   8   0|  13M  883k|   0     0 |1510769228
  5   8  80   0   7   0|  13M  870k|   0     0 |1510769229
  5   8  77   2   8   0|  13M  892k|   0    12k|1510769230
  5   7  80   0   8   0|  13M  869k|   0     0 |1510769231
  4   8  81   0   7   0|  13M  858k|   0     0 |1510769232
  5   8  79   0   8   0|  14M  912k|   0     0 |1510769233
  4   6  84   0   6   0|  11M  719k|   0     0 |1510769234
  4   8  78   2   8   0|  13M  889k|   0    12k|1510769235
  5   7  81   0   7   0|  12M  837k|   0     0 |1510769236
  4   8  80   0   8   0|  13M  848k|   0     0 |1510769237
  5   8  79   0   8   0|  12M  840k|   0     0 |1510769238
  5   8  80   0   7   0|  13M  853k|   0     0 |1510769239
  5   7  78   2   8   0|  13M  866k|   0    12k|1510769240
  5   9  78   0   8   0|  13M  881k|   0     0 |1510769241
  5   8  80   0   7   0|  13M  876k|   0     0 |1510769242
  5   8  79   0   8   0|  13M  860k|   0     0 |1510769243
  5   7  80   0   8   0|  13M  846k|   0     0 |1510769244
  5   8  80   0   7   0|  12M  843k|   0     0 |1510769245
  4   6  81   2   7   0|  10M  677k|   0    12k|1510769246
  5   8  80   0   7   0|  12M  831k|   0     0 |1510769247
  4   8  81   0   7   0|  12M  825k|   0     0 |1510769248
  5   8  79   0   8   0|  13M  874k|   0     0 |1510769249
  5   8  80   0   7   0|  12M  837k|   0     0 |1510769250
  5   7  78   3   7   0|  13M  849k|   0    12k|1510769251
  4   7  82   0   7   0|  12M  823k|   0     0 |1510769252
  5   7  81   0   7   0|  12M  815k|   0     0 |1510769253
  4   8  80   0   8   0|  13M  845k|   0  8192B|1510769254
  5   8  79   0   8   0|  12M  843k|   0     0 |1510769255
  5   8  80   0   7   0|  13M  864k|   0     0 |1510769256
  5   8  78   2   7   0|  13M  854k|   0    20k|1510769257
  5   8  79   0   8   0|  13M  860k|   0     0 |1510769258
  5   8  79   0   8   0|  13M  876k|   0    28k|1510769259
  5   7  81   0   7   0|  12M  843k|   0     0 |1510769260
  4   8  80   0   8   0|  13M  858k|   0     0 |1510769261
  5   7  78   2   8   0|  12M  830k|   0    12k|1510769262
  5   9  79   0   7   0|  13M  880k|   0     0 |1510769263
  5   7  80   0   8   0|  12M  833k|   0     0 |1510769264
  5   8  80   0   7   0|  13M  870k|   0     0 |1510769265
  4   8  81   0   7   0|  13M  862k|   0     0 |1510769266
  5   8  78   1   8   0|  13M  849k|   0    12k|1510769267
  5   7  80   0   8   0|  13M  873k|   0     0 |1510769268
  5   8  80   0   7   0|  12M  803k|   0     0 |1510769269
  5   8  79   0   8   0|  13M  867k|   0     0 |1510769270
  4   7  82   0   7   0|  12M  826k|   0     0 |1510769271
  5   8  80   0   7   0|  13M  848k|   0     0 |1510769272
  5   8  76   3   8   0|  13M  889k|   0    12k|1510769273
  5   8  80   0   7   0|  13M  881k|   0     0 |1510769274
  5   7  81   0   7   0|  12M  842k|   0     0 |1510769275
  8  11  71   0  10   0|  12M  838k|4096B    0 |1510769276
  5   7  81   0   7   0|  12M  832k|   0     0 |1510769277
  4   7  81   0   8   0|  11M  757k|   0     0 |1510769278
  5   7  79   2   7   0|  13M  857k|   0    20k|1510769279
  5   8  81   0   6   0|  13M  849k|   0     0 |1510769280
  5   7  81   0   7   0|  12M  825k|   0     0 |1510769281
  5   8  79   0   8   0|  13M  857k|   0     0 |1510769282
  5   8  80   0   7   0|  13M  876k|   0     0 |1510769283
  4   7  81   0   8   0|  13M  862k|   0     0 |1510769284
  5   7  78   2   8   0|  12M  831k|   0    12k|1510769285
  5   7  81   0   7   0|  11M  766k|   0     0 |1510769286
  5   7  81   0   7   0|  12M  790k|   0     0 |1510769287
  5   8  80   0   7   0|  13M  852k|   0     0 |1510769288
  4   8  80   0   8   0|  13M  853k|   0  4096B|1510769289
  5   7  81   0   7   0|  12M  841k|   0     0 |1510769290
  5   8  76   3   8   0|  12M  834k|   0    12k|1510769291
  5   8  80   0   7   0|  13M  846k|   0     0 |1510769292
  4   7  82   0   7   0|  12M  826k|   0     0 |1510769293
  5   7  81   0   7   0|  12M  826k|   0     0 |1510769294
  5   7  81   0   7   0|  12M  790k|   0     0 |1510769295
  5   8  79   0   8   0|  12M  832k|   0     0 |1510769296
  4   7  80   2   7   0|  12M  778k|   0    12k|1510769297
  5   8  79   0   8   0|  12M  843k|   0     0 |1510769298
  5   8  80   0   7   0|  12M  838k|   0  8192B|1510769299
  5   7  79   0   9   0|  12M  834k|   0     0 |1510769300
  5   8  79   0   8   0|  13M  845k|   0     0 |1510769301
  5   8  77   2   8   0|  13M  847k|   0    12k|1510769302
  5   8  80   0   7   0|  13M  853k|   0     0 |1510769303
  5   7  80   0   8   0|  13M  865k|   0     0 |1510769304
  5   8  79   0   8   0|  13M  844k|   0     0 |1510769305
  5   8  80   0   7   0|  13M  860k|   0     0 |1510769306
  5   8  80   0   7   0|  12M  832k|   0     0 |1510769307
  5   8  77   2   8   0|  13M  862k|   0    12k|1510769308
  5   8  80   0   7   0|  12M  824k|   0  8192B|1510769309
  5   8  79   0   8   0|  12M  843k|   0     0 |1510769310
  5   7  80   0   8   0|  12M  830k|   0     0 |1510769311
  5   8  79   0   8   0|  13M  857k|   0     0 |1510769312
