[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   4  91   0   3   0|   0     0 |  13k   26M|1510772822
  7   6  85   0   2   0|2128k 5443k|   0     0 |1510772823
 12  13  68   0   6   0|7343k   18M|   0     0 |1510772824
  5   7  81   0   7   0|8477k   21M|   0     0 |1510772825
  7  10  77   0   6   0|8364k   21M|   0     0 |1510772826
  4   6  83   0   7   0|9674k   24M|   0   592k|1510772827
  3   5  82   0  10   0|8612k   21M|   0     0 |1510772828
  2   7  83   0   8   0|7442k   19M|   0     0 |1510772829
  2   8  83   0   8   0|6623k   17M|   0     0 |1510772830
  3   6  84   0   7   0|9154k   23M|   0     0 |1510772831
  3   6  85   0   6   0|9081k   23M|   0     0 |1510772832
  3   5  85   0   7   0|9308k   23M|   0    28k|1510772833
  3   6  84   0   7   0|9636k   24M|   0     0 |1510772834
  3   5  85   0   7   0|9416k   24M|   0     0 |1510772835
  3   7  82   0   8   0|7630k   19M|   0     0 |1510772836
  3   6  84   0   7   0|9267k   23M|   0     0 |1510772837
  3   6  85   0   7   0|9434k   24M|   0    12k|1510772838
  3   6  85   0   7   0|9281k   23M|   0     0 |1510772839
  3   6  84   0   7   0|9379k   23M|   0     0 |1510772840
  3   6  85   0   6   0|9589k   24M|   0     0 |1510772841
  2   8  81   0   9   0|6802k   17M|   0     0 |1510772842
  3   6  84   0   8   0|9822k   25M|   0     0 |1510772843
  3   7  83   0   7   0|8466k   21M|   0    12k|1510772844
  3   5  86   0   6   0|9453k   24M|   0     0 |1510772845
  3   5  85   0   7   0|9368k   23M|   0     0 |1510772846
  3   5  85   0   7   0|8997k   22M|   0    16k|1510772847
  2   7  82   0   9   0|8140k   20M|   0     0 |1510772848
  3   5  85   0   6   0|9267k   23M|   0     0 |1510772849
  2   9  80   0  10   0|5393k   13M|   0    24k|1510772850
  3   6  84   0   7   0|9144k   23M|   0     0 |1510772851
  4   5  84   0   7   0|8758k   22M|   0    36k|1510772852
  3   5  85   0   7   0|8550k   21M|   0     0 |1510772853
  3   5  85   0   7   0|9241k   23M|   0     0 |1510772854
  3   5  84   0   8   0|9339k   23M|   0    20k|1510772855
  3   5  85   0   7   0|9315k   23M|   0     0 |1510772856
  3   5  83   0   8   0|8521k   21M|   0  4096B|1510772857
