Threads: 64, Sharded reads: false, Number of Memcached servers: 3.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
 15337      0      0       0  15337  15337   2367.67   113.10   2226.33      1
  2106      0      0       0   2106   2106   2164.33    53.24   2089.67      0
  2023      0      0       0   2023   2023   2239.98    67.59   2149.07      0
  1981      0      0       0   1981   1981   2335.09    93.79   2221.07      0
  1981      0      0       0   1981   1981   2310.18    51.94   2236.01      0
  1930      0      0       0   1930   1930   2373.53    51.26   2301.48      0
  1992      0      0       0   1992   1992   2323.54    52.68   2251.37      0
  2016      0      0       0   2016   2016   2291.00    55.74   2212.73      0
  1958      0      0       0   1958   1958   2380.28    51.64   2309.64      1
  2054      0      0       0   2054   2054   2255.81    51.82   2179.39      0
  2021      0      0       0   2021   2021   2270.08    51.47   2198.03      0
  2041      0      0       0   2041   2041   2283.38    54.30   2192.77      0
  2010      0      0       0   2010   2010   2253.63    51.51   2178.72      0
  1992      0      0       0   1992   1992   2237.42    39.53   2164.67      0
  2032      0      0       0   2032   2032   2253.26    43.57   2172.05      0
  1914      0      0       0   1914   1914   2336.61    60.02   2256.35      0
  1970      0      0       0   1970   1970   2327.29    60.76   2236.32      0
  1910      0      0       0   1910   1910   2378.25    57.33   2287.72      0
  1966      0      0       0   1966   1966   2309.28    49.71   2237.77      0
  1973      0      0       0   1973   1973   2293.37    51.65   2222.76      0
  1780      0      0       0   1780   1780   2467.58   103.14   2335.97      0
  1997      0      0       0   1997   1997   2271.25    62.23   2191.35      0
  2017      0      0       0   2017   2017   2266.26    57.98   2188.63      0
  1988      0      0       0   1988   1988   2269.62    76.70   2162.77      0
  2010      0      0       0   2010   2010   2258.43    56.74   2181.19      0
  1957      0      0       0   1957   1957   2310.66    57.31   2219.57      0
  1944      0      0       0   1944   1944   2352.64    65.27   2265.73      0
  1917      0      0       0   1917   1917   2404.37   129.21   2243.39      0
  2055      0      0       0   2055   2055   2218.15    48.95   2150.61      0
  1973      0      0       0   1973   1973   2331.46    60.85   2247.96      0
  2006      0      0       0   2006   2006   2279.53    63.67   2191.69      0
  1975      0      0       0   1975   1975   2309.34    54.09   2235.04      0
  1984      0      0       0   1984   1984   2281.56    57.65   2203.93      0
  2009      0      0       0   2009   2009   2277.42    54.66   2203.00      1
  2002      0      0       0   2002   2002   2258.06    51.61   2181.73      0
  2014      0      0       0   2014   2014   2258.48    52.07   2186.67      0
  2001      0      0       0   2001   2001   2298.87    69.58   2209.41      0
  2027      0      0       0   2027   2027   2274.20    61.90   2192.76      0
  1951      0      0       0   1951   1951   2339.75    66.41   2254.09      0
  2026      0      0       0   2026   2026   2293.47    45.27   2221.26      2
  2022      0      0       0   2022   2022   2279.47    58.92   2200.50      0
