[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   3  93   3   0   0|   0     0 | 111k   38M|1510764755
  1   2  95   0   1   0|  86k 1301k|   0     0 |1510764756
  2   3  95   0   1   0|  88k 1331k|   0     0 |1510764757
  2   3  93   2   2   0|  89k 1356k|   0    60k|1510764758
  1   2  95   0   1   0|  92k 1391k|   0     0 |1510764759
  2   2  95   0   1   0|  90k 1365k|   0     0 |1510764760
  1   2  95   0   1   0|  91k 1374k|   0     0 |1510764761
  2   2  95   0   1   0|  88k 1339k|   0     0 |1510764762
  1   2  95   1   2   0|  93k 1405k|   0    16k|1510764763
  2   3  95   0   1   0|  93k 1401k|   0     0 |1510764764
  1   2  95   0   1   0|  89k 1354k|   0     0 |1510764765
  2   2  96   0   1   0|  90k 1368k|   0     0 |1510764766
  1   2  96   0   1   0|  88k 1338k|   0     0 |1510764767
  2   2  93   1   1   0|  89k 1354k|   0    16k|1510764768
  2   2  95   0   1   0|  91k 1380k|   0     0 |1510764769
  2   3  95   0   1   0|  90k 1365k|   0     0 |1510764770
  1   2  96   0   2   0|  82k 1246k|   0     0 |1510764771
  1   2  95   0   1   0|  94k 1426k|   0     0 |1510764772
  2   3  94   1   1   0|  95k 1435k|   0    16k|1510764773
  2   2  95   0   2   0|  95k 1434k|   0     0 |1510764774
  2   2  95   0   1   0|  96k 1452k|   0     0 |1510764775
  1   2  95   0   2   0|  94k 1430k|   0     0 |1510764776
  2   2  95   0   1   0|  94k 1424k|   0     0 |1510764777
  2   2  95   0   2   0|  92k 1393k|   0    12k|1510764778
  2   3  94   1   1   0|  91k 1388k|   0    32k|1510764779
  2   2  95   0   2   0|  90k 1370k|   0     0 |1510764780
  2   2  95   0   1   0|  91k 1384k|   0     0 |1510764781
  1   2  95   0   1   0|  92k 1398k|   0     0 |1510764782
  1   2  96   0   1   0|  85k 1285k|   0     0 |1510764783
  2   2  95   1   1   0|  87k 1325k|   0    16k|1510764784
  1   2  96   0   1   0|  93k 1410k|   0     0 |1510764785
  2   2  96   0   1   0|  91k 1376k|   0     0 |1510764786
  2   2  95   0   2   0|  85k 1289k|   0     0 |1510764787
  2   3  95   0   1   0|  91k 1388k|   0    48k|1510764788
  2   2  94   2   1   0|  89k 1351k|   0    24k|1510764789
  1   2  95   0   1   0|  90k 1372k|   0     0 |1510764790
  2   2  95   0   1   0|  92k 1389k|   0     0 |1510764791
  2   2  95   0   2   0|  90k 1364k|   0     0 |1510764792
  2   3  95   0   1   0|  89k 1356k|   0     0 |1510764793
  1   2  95   0   1   0|  92k 1400k|   0     0 |1510764794
  1   2  94   2   1   0|  91k 1379k|   0    16k|1510764795
  2   2  95   0   1   0|  94k 1418k|   0     0 |1510764796
  1   2  95   0   1   0|  94k 1424k|   0     0 |1510764797
  2   2  95   0   1   0|  97k 1465k|   0     0 |1510764798
  2   3  95   0   2   0|  94k 1431k|   0     0 |1510764799
  1   2  94   1   1   0|  93k 1407k|   0    16k|1510764800
  2   2  96   0   1   0|  91k 1377k|   0     0 |1510764801
  2   2  96   0   1   0|  90k 1367k|   0     0 |1510764802
  2   2  95   0   2   0|  92k 1396k|   0     0 |1510764803
  2   2  96   0   1   0|  91k 1388k|   0     0 |1510764804
  2   2  94   1   1   0|  89k 1345k|   0    12k|1510764805
  2   2  95   1   2   0|  89k 1351k|   0  4096B|1510764806
  2   3  95   0   1   0|  93k 1410k|   0     0 |1510764807
