[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  92   1   1   0|   0     0 |  15k 5324k|1510775156
  4   4  90   0   2   0|1271k   98k|   0     0 |1510775157
  2   3  94   0   2   0|1296k   98k|   0     0 |1510775158
  3   5  90   0   3   0|2427k  185k|   0     0 |1510775159
  4   4  90   1   2   0|2602k  196k|   0    36k|1510775160
  3   4  92   0   2   0|2093k  158k|   0     0 |1510775161
  3   4  92   0   2   0|2044k  156k|   0     0 |1510775162
  3   4  91   0   2   0|2688k  203k|   0     0 |1510775163
  3   4  91   0   2   0|2653k  200k|   0     0 |1510775164
  3   4  90   2   2   0|2698k  203k|   0    12k|1510775165
  3   4  91   0   2   0|2548k  192k|   0     0 |1510775166
  3   4  90   0   2   0|2613k  196k|   0     0 |1510775167
  3   4  91   0   2   0|2686k  202k|   0     0 |1510775168
  3   4  90   0   3   0|2546k  192k|   0     0 |1510775169
  3   4  91   0   2   0|2704k  204k|   0     0 |1510775170
  3   5  89   1   3   0|2676k  202k|   0    12k|1510775171
  3   4  91   0   2   0|2652k  200k|   0     0 |1510775172
  3   4  91   0   2   0|2660k  201k|   0     0 |1510775173
  4   4  91   0   2   0|2637k  201k|   0     0 |1510775174
  3   4  91   0   3   0|2748k  208k|   0     0 |1510775175
  4   4  90   1   2   0|2711k  205k|   0    12k|1510775176
  3   4  91   0   2   0|2714k  205k|   0     0 |1510775177
  3   4  90   0   2   0|2742k  206k|   0  4096B|1510775178
  3   4  91   0   2   0|2741k  206k|   0     0 |1510775179
  3   4  91   0   2   0|2750k  207k|   0     0 |1510775180
  3   4  89   1   3   0|2702k  204k|   0    12k|1510775181
  3   4  91   0   2   0|2772k  209k|   0     0 |1510775182
  3   4  91   0   3   0|2696k  203k|   0  4096B|1510775183
  4   5  90   0   2   0|2764k  209k|   0     0 |1510775184
  4   4  91   0   2   0|2745k  207k|   0     0 |1510775185
  3   4  89   2   3   0|2848k  215k|   0    12k|1510775186
  4   4  90   0   2   0|2796k  211k|   0     0 |1510775187
  3   4  90   0   2   0|2780k  210k|   0    52k|1510775188
  4   4  90   0   2   0|2677k  202k|   0     0 |1510775189
  3   4  90   0   3   0|2741k  207k|   0     0 |1510775190
  4   4  91   0   2   0|2638k  200k|   0     0 |1510775191
  3   4  90   1   3   0|2629k  199k|   0    20k|1510775192
  3   4  90   0   2   0|2724k  204k|   0     0 |1510775193
  3   4  90   0   3   0|2760k  208k|   0     0 |1510775194
  3   4  90   0   2   0|2723k  205k|   0     0 |1510775195
  3   4  90   0   3   0|2723k  205k|   0     0 |1510775196
  3   4  90   1   2   0|2589k  195k|   0    12k|1510775197
  4   4  90   0   2   0|2670k  202k|   0     0 |1510775198
