[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  4   5  86   1   5   0|   0     0 |  15k 3438k|1510775593
  1   2  95   0   2   0| 122k 1110k|   0     0 |1510775594
  2   3  89   3   3   0| 272k 3383k|   0    36k|1510775595
  2   4  90   0   4   0| 298k 3805k|   0     0 |1510775596
  1   3  93   0   3   0| 302k 3914k|   0     0 |1510775597
  2   4  91   0   3   0| 309k 4025k|   0     0 |1510775598
  2   4  90   0   4   0| 318k 4193k|   0     0 |1510775599
  1   3  93   0   3   0| 310k 4053k|   0     0 |1510775600
  2   4  88   2   4   0| 314k 4120k|   0    12k|1510775601
  2   4  91   0   3   0| 304k 3915k|   0     0 |1510775602
  1   4  91   0   4   0| 312k 4091k|   0     0 |1510775603
  2   3  92   0   3   0| 305k 3995k|   0     0 |1510775604
  2   4  91   0   3   0| 312k 4054k|   0     0 |1510775605
  1   3  92   0   4   0| 312k 4037k|   0     0 |1510775606
  2   4  89   2   3   0| 308k 4036k|   0    12k|1510775607
  1   3  93   0   3   0| 316k 4122k|   0     0 |1510775608
  2   3  92   0   3   0| 312k 4094k|   0     0 |1510775609
  2   4  90   0   4   0| 322k 4170k|   0     0 |1510775610
  1   4  92   0   3   0| 314k 4084k|   0     0 |1510775611
  2   3  92   0   3   0| 316k 4105k|   0     0 |1510775612
  2   3  89   3   3   0| 316k 4116k|   0    12k|1510775613
  1   4  92   0   3   0| 312k 4038k|   0     0 |1510775614
  1   3  93   0   3   0| 315k 4117k|   0     0 |1510775615
  2   3  91   0   4   0| 310k 4026k|   0     0 |1510775616
  2   4  90   0   4   0| 322k 4224k|   0     0 |1510775617
  2   4  90   0   4   0| 317k 4189k|   0     0 |1510775618
  2   4  89   2   3   0| 322k 4232k|   0    12k|1510775619
  1   4  91   0   4   0| 326k 4267k|   0     0 |1510775620
  2   4  90   0   4   0| 325k 4243k|   0     0 |1510775621
  2   4  91   0   3   0| 310k 4073k|   0     0 |1510775622
  2   3  91   0   4   0| 311k 4085k|   0     0 |1510775623
  2   4  91   0   3   0| 313k 4080k|   0     0 |1510775624
  1   4  81  11   3   0| 297k 3793k|   0    44k|1510775625
  2   3  91   0   4   0| 315k 4068k|   0     0 |1510775626
  1   4  92   0   3   0| 314k 4064k|   0     0 |1510775627
  2   3  92   0   3   0| 311k 4028k|   0     0 |1510775628
  2   4  90   0   4   0| 308k 4010k|   0     0 |1510775629
  1   4  92   0   3   0| 323k 4244k|   0    32k|1510775630
  2   3  89   2   4   0| 308k 4048k|   0    12k|1510775631
  2   4  90   0   4   0| 310k 4050k|   0     0 |1510775632
  1   4  91   0   4   0| 308k 4013k|   0     0 |1510775633
  2   3  92   0   3   0| 312k 4109k|   0     0 |1510775634
  2   4  90   0   4   0| 318k 4187k|   0     0 |1510775635
  1   4  92   0   3   0| 311k 4098k|   0     0 |1510775636
  2   3  89   3   3   0| 307k 4035k|   0    12k|1510775637
  2   4  90   0   4   0| 318k 4170k|   0     0 |1510775638
  1   4  91   0   4   0| 322k 4219k|   0     0 |1510775639
  2   4  91   0   3   0| 327k 4261k|   0     0 |1510775640
  2   4  90   0   4   0| 325k 4268k|   0     0 |1510775641
  2   4  90   0   4   0| 321k 4224k|   0     0 |1510775642
  2   4  88   3   3   0| 321k 4229k|   0    12k|1510775643
