[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   2  95   1   1   0|   0     0 |  60k   72M|1510860349
  4   3  92   0   1   0|2484k 2559k|   0     0 |1510860350
  4   4  91   0   1   0|3400k 3490k|   0     0 |1510860351
  7   6  85   0   1   0|3833k 3890k|   0     0 |1510860352
  2   2  95   0   1   0|3505k 3563k|   0    52k|1510860353
  1   2  96   0   1   0|3633k 3687k|   0     0 |1510860354
  1   2  96   0   1   0|3416k 3474k|   0     0 |1510860355
  2   2  95   0   1   0|3555k 3609k|   0     0 |1510860356
  2   2  95   0   1   0|3581k 3636k|   0     0 |1510860357
  2   2  94   0   1   0|3541k 3597k|   0     0 |1510860358
  2   2  93   3   1   0|3565k 3622k|   0    12k|1510860359
  2   2  95   0   1   0|3725k 3781k|   0     0 |1510860360
  1   2  96   0   1   0|3291k 3346k|   0     0 |1510860361
  1   2  96   0   1   0|3626k 3683k|   0     0 |1510860362
  1   2  96   0   1   0|3733k 3788k|   0     0 |1510860363
  1   2  96   0   1   0|3683k 3736k|   0    12k|1510860364
  1   2  96   0   1   0|3678k 3735k|   0     0 |1510860365
  1   2  96   0   1   0|3735k 3788k|   0    52k|1510860366
  1   2  96   0   1   0|3543k 3599k|   0     0 |1510860367
  2   3  94   0   1   0|3596k 3651k|   0     0 |1510860368
  3   3  93   0   1   0|3681k 3734k|   0    12k|1510860369
  1   2  96   0   1   0|3172k 3228k|   0     0 |1510860370
  1   2  96   0   1   0|3549k 3604k|   0     0 |1510860371
  1   2  97   0   1   0|3515k 3572k|   0     0 |1510860372
  1   2  96   0   1   0|3758k 3811k|   0     0 |1510860373
  1   2  96   0   1   0|3595k 3651k|   0    12k|1510860374
  1   2  96   0   1   0|3656k 3715k|   0     0 |1510860375
  1   2  97   0   1   0|3580k 3636k|   0    16k|1510860376
  1   2  97   0   1   0|3472k 3529k|   0     0 |1510860377
  1   2  96   0   1   0|3488k 3542k|   0     0 |1510860378
  1   2  96   0   1   0|3569k 3626k|   0    40k|1510860379
  1   2  96   0   1   0|3590k 3647k|   0     0 |1510860380
  1   2  96   0   1   0|3599k 3656k|   0    48k|1510860381
  1   2  96   0   1   0|3455k 3510k|   0     0 |1510860382
  1   2  96   0   1   0|3812k 3866k|   0     0 |1510860383
  1   2  96   0   1   0|3620k 3674k|   0    20k|1510860384
  1   2  96   0   1   0|3503k 3558k|   0     0 |1510860385
  1   2  96   0   1   0|3624k 3681k|   0     0 |1510860386
  1   2  96   0   1   0|3737k 3792k|   0     0 |1510860387
  2   2  96   0   1   0|3818k 3874k|   0     0 |1510860388
  1   2  96   0   1   0|3872k 3927k|   0    12k|1510860389
  1   2  96   0   1   0|3933k 3986k|   0     0 |1510860390
  1   2  96   0   1   0|3955k 4009k|   0     0 |1510860391
  1   2  96   0   1   0|3812k 3867k|   0     0 |1510860392
  1   2  96   0   1   0|3848k 3901k|   0     0 |1510860393
  1   2  96   0   1   0|3798k 3851k|   0    12k|1510860394
  1   2  96   0   1   0|3653k 3705k|   0     0 |1510860395
  1   2  96   0   1   0|3799k 3855k|   0     0 |1510860396
  2   3  94   0   1   0|3830k 3882k|   0     0 |1510860397
  1   2  97   0   1   0|3601k 3659k|   0     0 |1510860398
  1   2  96   0   1   0|3884k 3941k|   0    12k|1510860399
  1   2  96   0   1   0|3499k 3557k|   0     0 |1510860400
  1   2  96   0   1   0|3840k 3896k|   0     0 |1510860401
  1   2  96   0   1   0|3678k 3730k|   0     0 |1510860402
  1   2  96   0   1   0|3837k 3894k|   0     0 |1510860403
  1   2  96   0   1   0|3672k 3728k|   0    12k|1510860404
  1   2  97   0   1   0|3832k 3886k|   0     0 |1510860405
  1   2  96   0   1   0|3854k 3909k|   0     0 |1510860406
  1   2  96   0   1   0|3563k 3619k|   0     0 |1510860407
  1   2  96   0   1   0|3649k 3704k|   0     0 |1510860408
  1   2  96   0   1   0|3461k 3516k|   0    12k|1510860409
  1   2  96   0   1   0|3635k 3690k|   0     0 |1510860410
  1   2  97   0   1   0|3378k 3436k|   0    52k|1510860411
  1   2  96   0   1   0|3846k 3900k|   0     0 |1510860412
  1   2  97   0   1   0|3799k 3855k|   0     0 |1510860413
  1   2  96   0   1   0|3482k 3539k|   0    12k|1510860414
  1   2  97   0   1   0|3432k 3491k|   0     0 |1510860415
  1   2  97   0   1   0|3594k 3653k|   0    20k|1510860416
  1   2  96   0   1   0|3432k 3490k|   0     0 |1510860417
  1   2  96   0   1   0|3501k 3557k|   0     0 |1510860418
  1   2  96   0   1   0|3688k 3745k|   0    24k|1510860419
  1   2  96   0   1   0|3760k 3817k|   0  4096B|1510860420
  1   2  96   0   1   0|3723k 3776k|   0     0 |1510860421
  1   2  97   0   1   0|3330k 3389k|   0     0 |1510860422
  1   2  96   0   1   0|3648k 3702k|   0     0 |1510860423
  1   2  96   0   1   0|3718k 3773k|   0     0 |1510860424
  1   2  96   0   1   0|3763k 3818k|   0    12k|1510860425
  1   2  96   0   1   0|3679k 3735k|   0     0 |1510860426
  1   2  96   0   1   0|3791k 3847k|   0     0 |1510860427
  1   2  96   0   1   0|3577k 3633k|   0     0 |1510860428
  1   2  96   0   1   0|3516k 3573k|   0     0 |1510860429
  1   2  96   0   1   0|3070k 3127k|   0    12k|1510860430
  1   2  97   0   1   0|3517k 3575k|   0     0 |1510860431
  1   2  96   0   1   0|3633k 3691k|   0     0 |1510860432
  1   2  97   0   1   0|3624k 3681k|   0     0 |1510860433
  1   2  97   0   1   0|3687k 3746k|   0     0 |1510860434
  0   1  98   1   0   0|1215k 1188k|   0    12k|1510860435
  0   0 100   0   0   0|  27k 2958B|   0     0 |1510860436
  0   0 100   0   0   0|  27k 2202B|   0     0 |1510860437
  0   0 100   0   0   0|  27k 2454B|   0     0 |1510860438
  0   0 100   0   0   0|   0     0 |   0     0 |1510860439
