Threads: 32, Sharded reads: false, Number of Memcached servers: 3.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
     0  15740      0       0  15740      0   1781.99    58.26   1704.91      0
     0   1896      0       0   1896      0   1834.71    32.00   1774.41      0
     0   1927      0       0   1927      0   1759.61    37.84   1706.78      0
     0   1666      0       0   1666      0   1830.24    50.52   1763.23      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0     79      0       0     79      0 325159.14    25.85 325117.57      0
     0   1430      0       0   1430      0  38605.75    16.83  38569.60      0
     0   1910      0       0   1910      0   1724.45    14.34   1694.12      0
     0   1941      0       0   1941      0   1771.66    38.16   1716.33      0
     0   2063      0       0   2063      0   1668.56    20.32   1633.77      0
     0   2003      0       0   2003      0   1753.60    13.11   1707.13      0
     0   1944      0       0   1944      0   1736.45    50.55   1671.21      0
     0   1953      0       0   1953      0   1743.94    33.42   1688.18      0
     0   1915      0       0   1915      0   1781.69    37.35   1726.31      0
     0   2000      0       0   2000      0   1668.90    28.23   1625.78      0
     0   1980      0       0   1980      0   1713.87    33.90   1664.10      0
     0   1765      0       0   1765      0   2068.66    32.93   2021.15      1
     0   1958      0       0   1958      0   1805.22    34.73   1739.13      0
     0   2015      0       0   2015      0   1721.09    17.62   1690.22      0
     0   1968      0       0   1968      0   1732.40    43.54   1672.11      0
     0   1977      0       0   1977      0   1768.49    46.33   1705.71      1
     0   1830      0       0   1830      0   1931.52    97.02   1811.93      0
     0   1947      0       0   1947      0   1760.10    34.19   1710.91      0
     0   2001      0       0   2001      0   1747.10    33.24   1696.86      0
     0   1955      0       0   1955      0   1774.02    33.31   1723.47      0
     0   1798      0       0   1798      0   1938.69    55.99   1854.92      0
     0   1782      0       0   1782      0   1904.89    77.25   1811.03      0
     0   1851      0       0   1851      0   1869.08    44.78   1809.16      0
     0   1837      0       0   1837      0   1878.55    47.19   1815.61      0
     0   1874      0       0   1874      0   1860.26    35.80   1808.21      1
     0   1909      0       0   1909      0   1808.63    48.18   1743.05      0
     0   1878      0       0   1878      0   1858.68    42.99   1789.00      0
     0   2043      0       0   2043      0   1700.29    42.58   1640.98      0
     0   1958      0       0   1958      0   1770.70    50.12   1697.28      0
     0   1925      0       0   1925      0   1772.98    29.64   1728.02      0
     0   1896      0       0   1896      0   1791.42    30.77   1744.63      0
     0    962      0       0    962      0   1785.41    45.75   1718.41      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0    470      0       0    470      0 167742.19    20.60 167652.24      0
     0   1951      0       0   1951      0   1749.26    27.46   1707.34      0
     0   1803      0       0   1803      0   1883.35    28.64   1821.03      0
     0   2012      0       0   2012      0   1708.75    16.67   1677.95      0
     0   1986      0       0   1986      0   1714.42    17.25   1682.87      0
     0   2025      0       0   2025      0   1697.40    18.21   1665.95      0
     0   1858      0       0   1858      0   1853.12    33.12   1806.20      0
     0   1954      0       0   1954      0   1776.46    27.25   1733.83      0
     0   1972      0       0   1972      0   1749.91    12.89   1720.88      0
     0   1932      0       0   1932      0   1755.53    19.72   1715.85      0
     0   1965      0       0   1965      0   1723.51    30.30   1676.56      0
     0   1857      0       0   1857      0   1808.47    29.20   1764.40      1
     0   1857      0       0   1857      0   1794.61    31.30   1749.76      0
     0   1973      0       0   1973      0   1722.91    27.42   1679.58      0
     0   1973      0       0   1973      0   1716.27    17.64   1683.97      0
     0   1920      0       0   1920      0   1759.00    14.84   1729.36      0
     0   1865      0       0   1865      0   1815.02    17.03   1769.70      0
     0   1812      0       0   1812      0   1856.42    19.53   1820.32      0
     0   1816      0       0   1816      0   1901.06    25.84   1848.49      0
     0   1800      0       0   1800      0   1875.40    40.03   1806.48      0
     0   1949      0       0   1949      0   1775.49    24.41   1736.21      0
     0   1905      0       0   1905      0   1840.43    29.09   1783.72      0
     0    461      0       0    461      0   1828.36    31.30   1782.43      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
