[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  2   3  93   2   1   0|   0     0 |  66k   20M|1510860010
  2   3  93   0   2   0|4803k  251k|   0     0 |1510860011
  2   2  94   0   2   0|4445k  232k|   0     0 |1510860012
  3   3  93   0   2   0|5397k  282k|   0     0 |1510860013
  2   3  85   8   2   0|5269k  275k|   0     0 |1510860014
  3   4  86   6   2   0|5266k  275k|   0    36k|1510860015
  3   3  92   0   2   0|5686k  297k|   0     0 |1510860016
  2   3  92   0   2   0|5821k  304k|   0     0 |1510860017
  3   3  93   0   2   0|5496k  287k|   0     0 |1510860018
  2   3  92   1   3   0|5594k  292k|   0    12k|1510860019
  3   4  92   0   2   0|5791k  303k|   0     0 |1510860020
  3   3  93   0   2   0|5561k  291k|   0     0 |1510860021
  3   3  93   0   2   0|5548k  290k|   0     0 |1510860022
  2   3  93   0   3   0|5436k  284k|   0     0 |1510860023
  3   4  92   0   2   0|5699k  298k|   0     0 |1510860024
  3   3  91   2   2   0|5515k  288k|   0    12k|1510860025
  3   3  92   0   3   0|5683k  297k|   0     0 |1510860026
  2   3  93   0   2   0|5346k  281k|   0     0 |1510860027
  3   3  93   0   2   0|5620k  294k|   0     0 |1510860028
  3   4  92   0   2   0|5617k  294k|   0     0 |1510860029
  2   3  89   5   2   0|5400k  282k|   0    12k|1510860030
  3   3  93   0   2   0|5509k  288k|   0     0 |1510860031
  3   4  92   0   2   0|5565k  291k|   0     0 |1510860032
  2   3  92   0   2   0|5558k  290k|   0     0 |1510860033
  2   3  93   0   2   0|5525k  289k|   0     0 |1510860034
  3   3  91   2   2   0|5666k  296k|   0    12k|1510860035
  3   3  92   0   3   0|5644k  295k|   0     0 |1510860036
  3   3  93   0   2   0|5352k  280k|   0     0 |1510860037
  2   3  93   0   2   0|5387k  281k|   0     0 |1510860038
  2   3  93   0   2   0|5017k  262k|   0     0 |1510860039
  3   3  91   2   2   0|5459k  285k|   0    12k|1510860040
  2   3  89   3   2   0|5811k  304k|   0    60k|1510860041
  3   3  92   0   2   0|5896k  308k|   0     0 |1510860042
  2   3  92   0   2   0|5676k  297k|   0     0 |1510860043
  2   3  93   0   2   0|5361k  280k|   0     0 |1510860044
  2   3  90   3   2   0|5601k  293k|   0    20k|1510860045
  2   3  92   0   2   0|5561k  291k|   0     0 |1510860046
  3   3  92   0   3   0|5519k  288k|   0     0 |1510860047
  2   3  93   0   2   0|5459k  286k|   0     0 |1510860048
  2   3  93   0   2   0|5506k  288k|   0     0 |1510860049
  3   3  92   1   2   0|5269k  275k|   0    12k|1510860050
  2   4  93   0   2   0|5348k  279k|   0     0 |1510860051
  3   3  93   0   2   0|5467k  287k|   0     0 |1510860052
  2   3  93   0   2   0|5792k  303k|   0     0 |1510860053
  2   3  93   0   2   0|5144k  269k|   0     0 |1510860054
  2   2  93   0   2   0|5443k  284k|   0     0 |1510860055
  2   3  88   5   2   0|5916k  309k|   0    12k|1510860056
  3   3  93   0   2   0|5450k  285k|   0     0 |1510860057
  2   3  93   0   2   0|5522k  289k|   0     0 |1510860058
  2   3  93   0   2   0|5423k  283k|   0     0 |1510860059
  2   3  93   0   2   0|5374k  281k|   0     0 |1510860060
  3   3  89   4   2   0|5610k  293k|   0    12k|1510860061
  2   3  93   0   2   0|5532k  289k|   0     0 |1510860062
  3   4  92   0   2   0|5587k  292k|   0     0 |1510860063
