[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   3  92   1   2   0|   0     0 |  48k 9937k|1510860109
  0   2  96   0   2   0| 191k 2526k|   0     0 |1510860110
  1   3  93   0   3   0| 294k 4284k|   0     0 |1510860111
  2   3  92   0   3   0| 305k 4688k|   0     0 |1510860112
  1   3  92   0   4   0| 293k 4461k|   0  4096B|1510860113
  1   4  88   3   4   0| 307k 4738k|   0    36k|1510860114
  1   3  93   0   3   0| 315k 4896k|   0     0 |1510860115
  2   4  90   0   4   0| 315k 4869k|   0     0 |1510860116
  1   3  93   0   3   0| 300k 4609k|   0     0 |1510860117
  1   4  91   0   4   0| 303k 4662k|   0     0 |1510860118
  2   3  92   0   3   0| 314k 4829k|   0     0 |1510860119
  1   3  89   3   4   0| 315k 4901k|   0    12k|1510860120
  1   4  92   0   3   0| 321k 5049k|   0     0 |1510860121
  1   3  92   0   4   0| 321k 5003k|   0     0 |1510860122
  2   4  90   0   4   0| 319k 4974k|   0     0 |1510860123
  1   3  93   0   3   0| 305k 4711k|   0     0 |1510860124
  1   3  93   0   3   0| 302k 4678k|   0     0 |1510860125
  2   4  79  11   4   0| 319k 4964k|   0    12k|1510860126
  2   4  89   0   5   0| 315k 4884k|   0     0 |1510860127
  2   3  92   0   3   0| 312k 4804k|   0     0 |1510860128
  1   4  91   0   4   0| 306k 4760k|   0     0 |1510860129
  1   4  91   0   4   0| 318k 4944k|   0     0 |1510860130
  2   3  92   0   3   0| 318k 4970k|   0     0 |1510860131
  1   4  89   2   4   0| 310k 4796k|   0    16k|1510860132
  1   3  93   0   3   0| 297k 4550k|   0     0 |1510860133
  1   4  91   0   4   0| 305k 4695k|   0     0 |1510860134
  2   3  92   0   3   0| 305k 4708k|   0     0 |1510860135
  1   4  91   0   4   0| 318k 4918k|   0     0 |1510860136
  2   3  92   0   3   0| 308k 4760k|   0     0 |1510860137
  1   3  88   4   4   0| 302k 4629k|   0    12k|1510860138
  1   4  92   0   3   0| 316k 4898k|   0     0 |1510860139
  2   3  92   0   3   0| 297k 4551k|   0     0 |1510860140
  1   4  91   0   4   0| 312k 4813k|   0     0 |1510860141
  1   3  92   0   4   0| 307k 4750k|   0     0 |1510860142
  2   4  91   0   3   0| 306k 4731k|   0    12k|1510860143
  1   3  90   2   4   0| 329k 5088k|   0    24k|1510860144
  1   3  93   0   3   0| 310k 4806k|   0     0 |1510860145
  1   3  93   0   3   0| 298k 4543k|   0     0 |1510860146
  1   4  92   0   3   0| 311k 4859k|   0     0 |1510860147
  2   3  91   0   4   0| 320k 4957k|   0    28k|1510860148
  1   4  92   0   3   0| 306k 4695k|   0     0 |1510860149
  1   3  90   3   3   0| 302k 4645k|   0    12k|1510860150
  1   3  92   0   4   0| 319k 4997k|   0     0 |1510860151
  2   4  91   0   3   0| 322k 5059k|   0     0 |1510860152
  1   3  92   0   4   0| 325k 5072k|   0     0 |1510860153
  1   3  92   0   4   0| 322k 4997k|   0     0 |1510860154
  2   4  91   0   3   0| 308k 4737k|   0     0 |1510860155
  1   3  90   2   4   0| 327k 5086k|   0    12k|1510860156
  1   4  91   0   4   0| 318k 4951k|   0     0 |1510860157
  2   4  90   0   4   0| 328k 5193k|   0     0 |1510860158
  1   3  93   0   3   0| 321k 5029k|   0     0 |1510860159
  1   4  91   0   4   0| 317k 4931k|   0     0 |1510860160
  2   3  91   0   4   0| 330k 5194k|   0     0 |1510860161
  1   4  90   2   3   0| 327k 5115k|   0    12k|1510860162
  1   3  92   0   4   0| 322k 4990k|   0     0 |1510860163
  2   3  91   0   4   0| 307k 4724k|   0     0 |1510860164
  1   4  92   0   3   0| 290k 4407k|   0     0 |1510860165
  2   3  92   0   3   0| 306k 4727k|   0     0 |1510860166
  1   4  91   0   4   0| 327k 5102k|   0     0 |1510860167
  1   4  89   2   4   0| 310k 4780k|   0    12k|1510860168
  2   3  91   0   4   0| 316k 4908k|   0     0 |1510860169
  1   3  93   0   3   0| 303k 4642k|   0     0 |1510860170
  1   4  92   0   3   0| 299k 4606k|   0     0 |1510860171
  2   3  91   0   4   0| 305k 4685k|   0     0 |1510860172
  1   3  93   0   3   0| 326k 5085k|   0     0 |1510860173
  1   4  89   2   4   0| 302k 4658k|   0    12k|1510860174
  1   3  93   0   3   0| 316k 4882k|   0     0 |1510860175
  2   4  91   0   3   0| 315k 4885k|   0     0 |1510860176
  1   3  92   0   4   0| 341k 5308k|   0     0 |1510860177
  1   4  91   0   4   0| 326k 5088k|   0  8192B|1510860178
  2   4  90   0   4   0| 315k 4895k|   0     0 |1510860179
  1   4  89   2   4   0| 325k 5108k|   0    20k|1510860180
  2   3  92   0   3   0| 326k 5092k|   0     0 |1510860181
  1   4  91   0   4   0| 331k 5230k|   0     0 |1510860182
  1   4  91   0   4   0| 339k 5328k|   0  8192B|1510860183
  2   3  92   0   3   0| 324k 5049k|   0     0 |1510860184
  1   4  91   0   4   0| 325k 5065k|   0     0 |1510860185
  1   3  90   3   3   0| 322k 5006k|   0    12k|1510860186
  2   4  90   0   4   0| 325k 5115k|   0     0 |1510860187
  1   3  92   0   4   0| 320k 5010k|   0     0 |1510860188
  1   4  91   0   4   0| 317k 4938k|   0     0 |1510860189
  2   4  91   0   3   0| 322k 5037k|   0     0 |1510860190
  1   3  92   0   4   0| 313k 4898k|   0     0 |1510860191
  1   4  89   3   3   0| 327k 5108k|   0    12k|1510860192
  2   3  91   0   4   0| 319k 4990k|   0     0 |1510860193
  1   4  91   0   4   0| 321k 5030k|   0     0 |1510860194
  2   3  91   0   4   0| 314k 4888k|   0     0 |1510860195
  1   4  91   0   4   0| 323k 5069k|   0     0 |1510860196
  1   4  91   0   4   0| 328k 5088k|   0     0 |1510860197
  1   3  91   2   3   0| 320k 4990k|   0    12k|1510860198
  2   4  90   0   4   0| 320k 5000k|   0     0 |1510860199
