[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  96   1   0   0|   0     0 |  55k  105M|1510858436
  6   4  88   0   1   0|3907k 4006k|   0   112k|1510858437
 12   9  76   0   3   0|6598k 6753k|   0     0 |1510858438
  9   9  81   0   1   0|8840k 9064k|   0   128k|1510858439
  3   3  93   0   1   0|8619k 8862k|   0     0 |1510858440
  3   3  94   0   1   0|9299k 9541k|   0     0 |1510858441
  3   2  93   0   2   0|9219k 9467k|   0     0 |1510858442
  1   2  96   0   1   0|9375k 9618k|   0    28k|1510858443
  3   3  93   0   1   0|9752k   10M|   0     0 |1510858444
  1   2  96   0   1   0|9674k 9964k|   0     0 |1510858445
  1   2  96   0   1   0|9754k   10M|   0     0 |1510858446
  1   2  96   0   1   0|9665k 9931k|   0     0 |1510858447
  2   2  96   0   1   0|9543k 9812k|   0     0 |1510858448
  1   2  95   0   1   0|9928k   10M|   0    12k|1510858449
  1   2  96   0   1   0|9694k 9968k|   0     0 |1510858450
  1   2  96   0   1   0|9839k   10M|   0     0 |1510858451
  1   2  96   0   1   0|9553k 9812k|   0     0 |1510858452
  1   2  96   0   1   0|9126k 9393k|   0     0 |1510858453
  1   2  96   0   1   0|9644k 9889k|   0     0 |1510858454
  1   2  96   0   1   0|9330k 9610k|   0    12k|1510858455
  1   2  96   0   1   0|9517k 9778k|   0     0 |1510858456
  1   2  96   0   1   0|9646k 9916k|   0     0 |1510858457
  1   2  96   0   1   0|9636k 9895k|   0     0 |1510858458
  1   1  96   0   1   0|9927k   10M|   0  4096B|1510858459
  2   2  95   0   1   0|  10M   10M|   0    12k|1510858460
  1   2  96   0   1   0|  10M   10M|   0     0 |1510858461
  1   2  96   0   1   0|9941k   10M|   0     0 |1510858462
  2   2  95   0   1   0|9480k 9755k|   0     0 |1510858463
  1   2  96   0   1   0|  10M   10M|   0    12k|1510858464
  1   2  96   0   1   0|9821k   10M|   0    28k|1510858465
  1   2  96   0   1   0|  10M   10M|   0     0 |1510858466
  1   2  96   0   1   0|  10M   10M|   0     0 |1510858467
  1   2  96   0   1   0|9624k 9883k|   0     0 |1510858468
  2   2  96   0   1   0|9878k   10M|   0    40k|1510858469
  1   2  96   0   1   0|9283k 9514k|   0    20k|1510858470
  1   2  96   0   1   0|  10M   10M|   0     0 |1510858471
  1   2  96   0   1   0|9905k   10M|   0     0 |1510858472
  1   2  96   0   1   0|9526k 9779k|   0     0 |1510858473
  1   2  96   0   1   0|9697k 9978k|   0    28k|1510858474
  1   2  96   0   1   0|9857k   10M|   0    12k|1510858475
  1   2  96   0   1   0|9800k   10M|   0     0 |1510858476
  1   2  96   0   1   0|9910k   10M|   0     0 |1510858477
  1   2  96   0   1   0|9691k 9964k|   0     0 |1510858478
  1   2  96   0   1   0|9830k   10M|   0  8192B|1510858479
  1   2  95   0   1   0|9654k 9917k|   0    24k|1510858480
  1   2  96   0   1   0|9915k   10M|   0     0 |1510858481
  2   2  96   0   1   0|9888k   10M|   0     0 |1510858482
  1   2  96   0   1   0|  10M   10M|   0     0 |1510858483
  1   2  96   0   1   0|9606k 9869k|   0     0 |1510858484
