PING MIDDLEWARE 1
mw1 > client1
PING 10.0.0.9 (10.0.0.9) 56(84) bytes of data.
64 bytes from 10.0.0.9: icmp_seq=1 ttl=64 time=1.14 ms
64 bytes from 10.0.0.9: icmp_seq=2 ttl=64 time=0.705 ms
64 bytes from 10.0.0.9: icmp_seq=3 ttl=64 time=0.953 ms
64 bytes from 10.0.0.9: icmp_seq=4 ttl=64 time=0.741 ms
64 bytes from 10.0.0.9: icmp_seq=5 ttl=64 time=0.639 ms
64 bytes from 10.0.0.9: icmp_seq=6 ttl=64 time=0.743 ms
64 bytes from 10.0.0.9: icmp_seq=7 ttl=64 time=0.728 ms
64 bytes from 10.0.0.9: icmp_seq=8 ttl=64 time=0.884 ms
64 bytes from 10.0.0.9: icmp_seq=9 ttl=64 time=0.901 ms
64 bytes from 10.0.0.9: icmp_seq=10 ttl=64 time=0.789 ms
64 bytes from 10.0.0.9: icmp_seq=11 ttl=64 time=0.714 ms
64 bytes from 10.0.0.9: icmp_seq=12 ttl=64 time=0.698 ms
64 bytes from 10.0.0.9: icmp_seq=13 ttl=64 time=0.695 ms
64 bytes from 10.0.0.9: icmp_seq=14 ttl=64 time=0.637 ms
64 bytes from 10.0.0.9: icmp_seq=15 ttl=64 time=0.774 ms
64 bytes from 10.0.0.9: icmp_seq=16 ttl=64 time=0.791 ms
64 bytes from 10.0.0.9: icmp_seq=17 ttl=64 time=2.09 ms
64 bytes from 10.0.0.9: icmp_seq=18 ttl=64 time=0.760 ms
64 bytes from 10.0.0.9: icmp_seq=19 ttl=64 time=0.905 ms
64 bytes from 10.0.0.9: icmp_seq=20 ttl=64 time=0.763 ms
64 bytes from 10.0.0.9: icmp_seq=21 ttl=64 time=0.779 ms
64 bytes from 10.0.0.9: icmp_seq=22 ttl=64 time=0.727 ms
64 bytes from 10.0.0.9: icmp_seq=23 ttl=64 time=0.746 ms
64 bytes from 10.0.0.9: icmp_seq=24 ttl=64 time=0.739 ms
64 bytes from 10.0.0.9: icmp_seq=25 ttl=64 time=0.965 ms
64 bytes from 10.0.0.9: icmp_seq=26 ttl=64 time=1.08 ms
64 bytes from 10.0.0.9: icmp_seq=27 ttl=64 time=0.700 ms
64 bytes from 10.0.0.9: icmp_seq=28 ttl=64 time=0.813 ms
64 bytes from 10.0.0.9: icmp_seq=29 ttl=64 time=0.889 ms
64 bytes from 10.0.0.9: icmp_seq=30 ttl=64 time=0.984 ms
64 bytes from 10.0.0.9: icmp_seq=31 ttl=64 time=0.775 ms
mw1 > client2
PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=0.870 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=0.889 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=0.673 ms
64 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=0.713 ms
64 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=0.756 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=0.982 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=1.00 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=0.802 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=0.617 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=0.776 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=0.804 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=0.788 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=0.778 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=0.720 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=0.804 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=0.647 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=0.663 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=1.10 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=0.803 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=0.774 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=0.714 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=0.683 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=0.746 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=0.663 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=0.633 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=0.620 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=0.754 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=0.675 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=0.831 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=0.693 ms
mw1 > client3
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=1.59 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=1.07 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=0.984 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=1.10 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=1.02 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=1.06 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=1.05 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=1.30 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=1.02 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=1.29 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=1.09 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=1.07 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=2.18 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=0.985 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=1.05 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=1.32 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=1.32 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=1.61 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=0.982 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=1.07 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=0.937 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=1.04 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=1.26 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=1.04 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=0.996 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=1.06 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=1.30 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=1.01 ms
mw1 > server1
PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=0.880 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=0.849 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=1.08 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=0.980 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=1.00 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=1.00 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=0.702 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=1.01 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=0.656 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=1.05 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=1.01 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.876 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.706 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=1.02 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=0.734 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=1.02 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=0.765 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=0.773 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=0.719 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=1.03 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.811 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=1.01 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.978 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=1.04 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=0.765 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=1.00 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=1.02 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.872 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=3.84 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.928 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=0.794 ms
mw1 > server2
PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=2.41 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=3.10 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=2.38 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=3.40 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=3.42 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=2.57 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=2.68 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=2.32 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=2.44 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=2.52 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=3.09 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=2.14 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=2.33 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=3.11 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=3.25 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=2.39 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=8.93 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=3.40 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=2.29 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=3.41 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=3.42 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=3.38 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=3.41 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=2.78 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=2.11 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=2.81 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=2.35 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=2.18 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=2.27 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=2.29 ms
mw1 > server3
PING 10.0.0.11 (10.0.0.11) 56(84) bytes of data.
64 bytes from 10.0.0.11: icmp_seq=1 ttl=64 time=2.19 ms
64 bytes from 10.0.0.11: icmp_seq=2 ttl=64 time=2.60 ms
64 bytes from 10.0.0.11: icmp_seq=3 ttl=64 time=2.37 ms
64 bytes from 10.0.0.11: icmp_seq=4 ttl=64 time=2.30 ms
64 bytes from 10.0.0.11: icmp_seq=5 ttl=64 time=2.31 ms
64 bytes from 10.0.0.11: icmp_seq=6 ttl=64 time=2.27 ms
64 bytes from 10.0.0.11: icmp_seq=7 ttl=64 time=2.49 ms
64 bytes from 10.0.0.11: icmp_seq=8 ttl=64 time=3.16 ms
64 bytes from 10.0.0.11: icmp_seq=9 ttl=64 time=2.57 ms
64 bytes from 10.0.0.11: icmp_seq=10 ttl=64 time=3.40 ms
64 bytes from 10.0.0.11: icmp_seq=11 ttl=64 time=2.86 ms
64 bytes from 10.0.0.11: icmp_seq=12 ttl=64 time=3.87 ms
64 bytes from 10.0.0.11: icmp_seq=13 ttl=64 time=2.34 ms
64 bytes from 10.0.0.11: icmp_seq=14 ttl=64 time=2.24 ms
64 bytes from 10.0.0.11: icmp_seq=15 ttl=64 time=2.91 ms
64 bytes from 10.0.0.11: icmp_seq=16 ttl=64 time=2.33 ms
64 bytes from 10.0.0.11: icmp_seq=17 ttl=64 time=3.40 ms
64 bytes from 10.0.0.11: icmp_seq=18 ttl=64 time=2.94 ms
64 bytes from 10.0.0.11: icmp_seq=19 ttl=64 time=2.38 ms
64 bytes from 10.0.0.11: icmp_seq=20 ttl=64 time=2.25 ms
64 bytes from 10.0.0.11: icmp_seq=21 ttl=64 time=3.40 ms
64 bytes from 10.0.0.11: icmp_seq=22 ttl=64 time=2.47 ms
64 bytes from 10.0.0.11: icmp_seq=23 ttl=64 time=2.54 ms
64 bytes from 10.0.0.11: icmp_seq=24 ttl=64 time=2.31 ms
64 bytes from 10.0.0.11: icmp_seq=25 ttl=64 time=4.73 ms
64 bytes from 10.0.0.11: icmp_seq=26 ttl=64 time=2.17 ms
64 bytes from 10.0.0.11: icmp_seq=27 ttl=64 time=3.05 ms
64 bytes from 10.0.0.11: icmp_seq=28 ttl=64 time=2.30 ms
64 bytes from 10.0.0.11: icmp_seq=29 ttl=64 time=2.24 ms
64 bytes from 10.0.0.11: icmp_seq=30 ttl=64 time=3.16 ms
64 bytes from 10.0.0.11: icmp_seq=31 ttl=64 time=2.30 ms
