[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  96   0   1   0|   0     0 |2866B  757k|1511019148
 10  11  74   0   5   0|6145k  477k|   0     0 |1511019149
  9  11  75   0   7   0|7859k  586k|   0     0 |1511019150
  8  11  75   0   7   0|7647k  571k|   0     0 |1511019151
  9  10  75   2   6   0|7716k  574k|   0    36k|1511019152
  8  10  74   0   7   0|7773k  582k|   0    28k|1511019153
  8   9  78   0   6   0|7908k  590k|   0     0 |1511019154
  8  10  75   0   6   0|7605k  567k|   0     0 |1511019155
 10  12  70   0   8   0|7687k  574k|   0     0 |1511019156
  8   9  78   0   6   0|7817k  584k|   0     0 |1511019157
  8  10  75   0   6   0|7936k  593k|   0    20k|1511019158
  8  10  76   0   7   0|7563k  565k|   0     0 |1511019159
  8  11  76   0   6   0|7753k  578k|   0     0 |1511019160
  8  10  74   0   9   0|7578k  566k|   0     0 |1511019161
  9  11  74   0   6   0|7679k  573k|   0     0 |1511019162
  9  10  74   0   6   0|7698k  576k|   0    12k|1511019163
 10  11  74   0   6   0|7851k  586k|   0     0 |1511019164
  9  11  74   0   7   0|7517k  561k|   0     0 |1511019165
  9   9  76   0   6   0|7403k  552k|   0     0 |1511019166
  9  11  75   0   6   0|7764k  580k|   0     0 |1511019167
  9  10  72   0   8   0|7500k  560k|   0    32k|1511019168
  9  11  72   1   7   0|7676k  572k|   0    12k|1511019169
  8  10  76   0   6   0|7709k  574k|   0     0 |1511019170
  8  10  77   0   6   0|7753k  579k|   0     0 |1511019171
  9  10  74   0   6   0|7641k  570k|   0     0 |1511019172
  9   9  76   0   6   0|7710k  576k|   0  8192B|1511019173
  8  11  73   1   7   0|7743k  579k|   0    12k|1511019174
  9  11  75   0   6   0|8031k  600k|   0     0 |1511019175
  9  10  75   0   6   0|7888k  589k|   0     0 |1511019176
  8  10  76   0   6   0|7693k  574k|   0     0 |1511019177
  8  10  76   0   6   0|7686k  574k|   0     0 |1511019178
  8  10  74   3   6   0|7982k  596k|   0    12k|1511019179
  8  10  78   0   5   0|7712k  576k|   0     0 |1511019180
  8   9  78   0   5   0|7843k  585k|   0     0 |1511019181
  8  10  76   0   6   0|7883k  589k|   0     0 |1511019182
  9  10  75   0   6   0|7862k  587k|   0    20k|1511019183
  8  10  76   0   6   0|7792k  581k|   0     0 |1511019184
  8  11  74   0   6   0|7760k  579k|   0    20k|1511019185
  8  10  78   0   5   0|7813k  583k|   0     0 |1511019186
  7  10  75   0   7   0|7810k  581k|   0     0 |1511019187
  8  11  75   0   6   0|7674k  575k|   0     0 |1511019188
  8  10  76   0   6   0|7995k  596k|   0     0 |1511019189
  8  10  77   1   5   0|7827k  585k|   0    12k|1511019190
  8   9  78   0   6   0|7889k  588k|   0     0 |1511019191
  8  10  76   0   7   0|7886k  589k|   0     0 |1511019192
  9  10  75   0   6   0|7752k  579k|   0     0 |1511019193
  8  10  77   0   6   0|7760k  579k|   0     0 |1511019194
  9  10  74   0   7   0|8040k  600k|   0     0 |1511019195
  8  10  76   1   6   0|7865k  587k|   0    12k|1511019196
  8   9  77   0   7   0|7340k  547k|   0     0 |1511019197
  9  11  75   0   7   0|8167k  609k|   0     0 |1511019198
  9  11  73   0   8   0|7984k  599k|   0     0 |1511019199
  8  10  78   0   6   0|7871k  588k|   0     0 |1511019200
  8   9  76   1   5   0|7744k  578k|   0    12k|1511019201
  8  10  76   0   6   0|8099k  605k|   0     0 |1511019202
  9  10  76   0   5   0|8056k  601k|   0  8192B|1511019203
  7   9  78   0   6   0|7282k  543k|   0     0 |1511019204
  8  10  76   0   7   0|7959k  594k|   0     0 |1511019205
  8  10  73   1   7   0|7805k  583k|   0    12k|1511019206
  8  10  77   0   6   0|7887k  588k|   0     0 |1511019207
  9  10  74   0   7   0|7826k  585k|   0     0 |1511019208
  8  10  78   0   5   0|8015k  598k|   0     0 |1511019209
  8  10  75   0   7   0|7860k  587k|   0     0 |1511019210
  8  10  75   1   6   0|7900k  589k|   0    12k|1511019211
  9  11  76   0   6   0|8083k  604k|   0     0 |1511019212
  8  10  75   0   7   0|7933k  592k|   0     0 |1511019213
  8   9  76   0   6   0|8091k  604k|   0     0 |1511019214
  8  10  78   0   6   0|7442k  555k|   0     0 |1511019215
  8  10  76   2   5   0|8146k  608k|   0    12k|1511019216
  8   9  77   0   6   0|7427k  554k|   0     0 |1511019217
  8  10  77   0   6   0|8098k  604k|   0    24k|1511019218
  8  11  74   0   6   0|7888k  589k|   0     0 |1511019219
  9  11  75   0   6   0|8058k  602k|   0     0 |1511019220
  9  10  73   1   6   0|7606k  567k|   0    20k|1511019221
  8  10  76   0   6   0|7968k  595k|   0     0 |1511019222
  9  10  76   0   6   0|8098k  605k|   0     0 |1511019223
  8  10  78   0   5   0|7746k  579k|   0     0 |1511019224
  8  10  76   0   6   0|8307k  620k|   0     0 |1511019225
  9  10  76   1   5   0|7822k  584k|   0    12k|1511019226
  9  11  75   0   6   0|7775k  580k|   0     0 |1511019227
  8  10  77   0   6   0|7735k  578k|   0     0 |1511019228
  8  10  75   0   6   0|7826k  584k|   0     0 |1511019229
  9  10  76   0   6   0|7900k  589k|   0     0 |1511019230
  8  10  76   0   6   0|7821k  584k|   0     0 |1511019231
  9  11  74   2   6   0|7804k  583k|   0    12k|1511019232
  8  10  77   0   6   0|7755k  579k|   0     0 |1511019233
  8  10  78   0   6   0|7777k  580k|   0     0 |1511019234
  9  10  76   0   6   0|7800k  582k|   0     0 |1511019235
  8   9  77   0   5   0|7576k  565k|   0     0 |1511019236
  8  10  76   1   6   0|8136k  607k|   0    12k|1511019237
 10  11  73   0   7   0|9067k  677k|   0     0 |1511019238
