Threads: 8, Sharded reads: false, Number of Memcached servers: 2.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
   400      0      0       0    400    400 2510402.78 2234109.27 276037.11  88
  2469      0      0       0   2469   2469  37166.08 33968.14   3141.96     88
  2575      0      0       0   2575   2575  35692.41 32640.07   3015.79     88
  2817      0      0       0   2817   2817  32309.40 29517.88   2757.38     84
  2251      0      0       0   2251   2251  40745.56 37238.34   3451.01     76
  3150      0      0       0   3150   3150  29029.36 26538.24   2459.81     88
  2903      0      0       0   2903   2903  31469.19 28761.10   2652.57     80
  2764      0      0       0   2764   2764  32841.54 29999.62   2810.02     80
  2738      0      0       0   2738   2738  33449.68 30574.70   2837.04     80
  2980      0      0       0   2980   2980  30619.07 27988.88   2594.84     86
  2838      0      0       0   2838   2838  31828.28 29064.06   2730.49     82
  2927      0      0       0   2927   2927  31247.73 28558.24   2657.40     77
  2898      0      0       0   2898   2898  31259.22 28552.41   2671.59     83
  2978      0      0       0   2978   2978  30773.84 28129.01   2609.13     82
  3133      0      0       0   3133   3133  28980.89 26471.92   2478.98     80
  3016      0      0       0   3016   3016  30231.61 27626.13   2572.00     88
  2726      0      0       0   2726   2726  33519.27 30629.23   2854.91     83
  2825      0      0       0   2825   2825  32115.34 29337.23   2743.14     88
  2779      0      0       0   2779   2779  32735.73 29902.88   2802.58     84
  2703      0      0       0   2703   2703  33727.99 30817.34   2874.21     81
  2806      0      0       0   2806   2806  32364.67 29568.15   2765.28     88
  2874      0      0       0   2874   2874  31698.38 28960.36   2705.95     80
  2952      0      0       0   2952   2952  30784.94 28123.11   2620.92     88
  2935      0      0       0   2935   2935  31096.87 28415.94   2649.25     80
  2895      0      0       0   2895   2895  31412.11 28706.40   2664.96     88
  2638      0      0       0   2638   2638  34576.44 31593.64   2947.61     88
  2805      0      0       0   2805   2805  32864.37 30033.72   2796.84     80
  3033      0      0       0   3033   3033  30158.45 27561.74   2556.05     80
  2908      0      0       0   2908   2908  31295.22 28596.61   2670.27     88
  2939      0      0       0   2939   2939  31075.31 28393.62   2649.92     80
  2836      0      0       0   2836   2836  31970.26 29199.95   2739.60     87
  2815      0      0       0   2815   2815  31903.31 29112.10   2754.86     84
  2838      0      0       0   2838   2838  32025.34 29251.38   2740.88     81
  2876      0      0       0   2876   2876  31586.71 28853.28   2701.80     84
  2922      0      0       0   2922   2922  31040.91 28352.73   2650.09     88
  2919      0      0       0   2919   2919  31268.76 28574.12   2658.94     87
  3004      0      0       0   3004   3004  30403.75 27786.17   2583.82     87
  2842      0      0       0   2842   2842  31909.70 29143.40   2736.78     88
  2908      0      0       0   2908   2908  31367.70 28660.18   2671.70     80
  3044      0      0       0   3044   3044  29834.08 27249.21   2552.11     80
  2734      0      0       0   2734   2734  33235.32 30365.71   2837.98     88
  2935      0      0       0   2935   2935  31151.89 28467.71   2650.22     80
  2971      0      0       0   2971   2971  30593.02 27946.31   2613.60     83
  2958      0      0       0   2958   2958  30705.25 28051.09   2623.44     77
  2745      0      0       0   2745   2745  33223.02 30340.71   2848.50     81
  2774      0      0       0   2774   2774  32778.47 29944.24   2802.22     86
  2751      0      0       0   2751   2751  32937.52 30080.35   2820.02     88
  3029      0      0       0   3029   3029  30133.58 27534.74   2568.47     81
  2823      0      0       0   2823   2823  31893.37 29108.47   2736.45     86
  2998      0      0       0   2998   2998  30625.86 28001.12   2592.40     80
  2944      0      0       0   2944   2944  30970.87 28304.28   2631.46     82
  2836      0      0       0   2836   2836  32055.78 29281.59   2745.05     80
  2857      0      0       0   2857   2857  31763.73 29012.95   2714.53     80
  3045      0      0       0   3045   3045  29882.92 27297.22   2557.91     88
  3005      0      0       0   3005   3005  30286.71 27676.36   2577.27     88
  2623      0      0       0   2623   2623  34736.21 31734.38   2963.14     85
  2924      0      0       0   2924   2924  31078.70 28390.65   2653.56     88
  2920      0      0       0   2920   2920  31211.03 28513.22   2666.64     85
  2908      0      0       0   2908   2908  31549.77 28837.08   2681.86     85
  2948      0      0       0   2948   2948  30812.65 28145.97   2637.47     85
  2823      0      0       0   2823   2823  32348.97 29559.94   2750.69     80
  2969      0      0       0   2969   2969  30705.15 28057.85   2619.20     82
  3006      0      0       0   3006   3006  30395.08 27779.88   2584.92     80
  2863      0      0       0   2863   2863  31559.08 28813.84   2708.49     86
  2923      0      0       0   2923   2923  31308.63 28616.50   2647.28     83
  2959      0      0       0   2959   2959  30865.37 28207.04   2620.79     88
  3007      0      0       0   3007   3007  30388.72 27771.46   2585.97     81
  2911      0      0       0   2911   2911  31089.65 28390.36   2664.67     80
  2835      0      0       0   2835   2835  31878.17 29109.39   2731.12     88
  2858      0      0       0   2858   2858  30778.85 28047.76   2700.92     85
  2593      0      0       0   2593   2593  36466.36 33407.66   3008.29     84
  2820      0      0       0   2820   2820  32354.30 29551.67   2771.28     88
  2924      0      0       0   2924   2924  31483.00 28787.78   2659.00     84
  2928      0      0       0   2928   2928  31097.34 28416.40   2649.84     88
  2778      0      0       0   2778   2778  32582.33 29745.47   2801.86     80
  2745      0      0       0   2745   2745  33144.95 30285.00   2826.04     80
  2486      0      0       0   2486   2486  20082.87 16996.59   3052.68     16
  2711      0      0       0   2711   2711  10108.12  7212.18   2863.78     19
  2676      0      0       0   2676   2676  10313.85  7376.10   2906.15     16
  2893      0      0       0   2893   2893   9585.00  6873.32   2679.17     24
