[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  5   9  77   0   8   0|   0     0 |2843B  521k|1511017162
  5  10  76   0   9   0|9350k  618k|   0     0 |1511017163
  8  13  68   0  11   0|  13M  893k|   0     0 |1511017164
  7  13  68   0  12   0|  14M  942k|   0     0 |1511017165
  7  13  50  19  11   0|  13M  861k|   0    36k|1511017166
  7  14   0  67  12   0|  14M  938k|   0     0 |1511017167
  7  12   0  70  11   0|  13M  869k|   0     0 |1511017168
  7  14   0  68  11   0|  13M  882k|   0     0 |1511017169
  7  13   0  68  12   0|  13M  908k|   0     0 |1511017170
  7  13   0  68  12   0|  13M  872k|   0     0 |1511017171
  8  14   0  66  12   0|  14M  915k|   0     0 |1511017172
  7  13   0  69  11   0|  14M  938k|   0    12k|1511017173
  7  12  69   0  12   0|  13M  871k|   0  4096B|1511017174
  7  14  67   0  11   0|  14M  937k|   0     0 |1511017175
  8  13  68   0  11   0|  14M  929k|   0    28k|1511017176
  7  14  67   0  12   0|  13M  901k|   0     0 |1511017177
  7  13  69   0  11   0|  14M  952k|   0     0 |1511017178
  7  14  65   2  12   0|  14M  940k|   0    12k|1511017179
  8  14  66   0  12   0|  14M  964k|   0     0 |1511017180
  7  14  67   0  12   0|  14M  946k|   0     0 |1511017181
  8  14  66   0  12   0|  15M  986k|   0     0 |1511017182
  7  13  68   0  12   0|  14M  948k|   0     0 |1511017183
  8  14  64   2  12   0|  14M  963k|   0    12k|1511017184
  8  14  67   0  11   0|  14M  944k|   0     0 |1511017185
  7  12  70   0  11   0|  12M  822k|   0     0 |1511017186
  7  14  68   0  11   0|  13M  898k|   0     0 |1511017187
  8  12  69   0  11   0|  13M  903k|   0     0 |1511017188
  6  13  70   0  11   0|  13M  863k|   0     0 |1511017189
  8  14  64   2  12   0|  14M  953k|   0    12k|1511017190
  7  14  68   0  11   0|  14M  926k|   0  4096B|1511017191
  8  13  67   0  12   0|  14M  916k|   0     0 |1511017192
  7  14  67   0  12   0|  14M  934k|   0     0 |1511017193
  8  14  66   0  12   0|  15M  997k|   0     0 |1511017194
  8  14  67   0  11   0|  14M  939k|   0     0 |1511017195
  7  13  67   2  11   0|  13M  885k|   0    20k|1511017196
  7  13  69   0  11   0|  14M  912k|   0     0 |1511017197
  7  12  70   0  11   0|  13M  874k|   0     0 |1511017198
  8  13  67   0  12   0|  14M  932k|   0     0 |1511017199
  7  13  70   0  11   0|  12M  810k|   0     0 |1511017200
  7  13  67   0  12   0|  14M  911k|   0     0 |1511017201
  8  15  63   2  12   0|  14M  932k|   0    20k|1511017202
  7  13  68   0  12   0|  13M  902k|   0     0 |1511017203
  7  14  67   0  12   0|  14M  943k|   0     0 |1511017204
  8  14  66   0  12   0|  15M  986k|   0     0 |1511017205
  8  14  67   0  11   0|  14M  949k|   0     0 |1511017206
  7  14  65   2  12   0|  13M  905k|   0    12k|1511017207
  8  13  67   0  12   0|  14M  938k|   0     0 |1511017208
  7  14  68   0  11   0|  14M  935k|   0     0 |1511017209
  8  14  65   0  13   0|  14M  950k|   0     0 |1511017210
  7  13  69   0  11   0|  13M  902k|   0     0 |1511017211
  8  14  66   0  12   0|  14M  928k|   0     0 |1511017212
  7  13  67   2  11   0|  14M  933k|   0    12k|1511017213
  8  13  67   0  12   0|  14M  953k|   0     0 |1511017214
  7  14  67   0  12   0|  14M  953k|   0     0 |1511017215
  8  14  67   0  11   0|  13M  887k|   0  8192B|1511017216
  7  13  68   0  12   0|  14M  922k|   0     0 |1511017217
  7  13  69   0  11   0|  13M  882k|   0     0 |1511017218
  8  13  65   2  12   0|  14M  922k|   0    12k|1511017219
  8  15  65   0  12   0|  14M  959k|   0     0 |1511017220
  7  14  67   0  12   0|  14M  945k|   0     0 |1511017221
 10  15  60   0  15   0|  13M  880k|   0     0 |1511017222
  7  14  66   0  13   0|  14M  938k|   0     0 |1511017223
  8  14  66   1  11   0|  14M  943k|   0    12k|1511017224
  7  13  69   0  11   0|  13M  888k|   0     0 |1511017225
  8  14  67   0  11   0|  14M  941k|   0     0 |1511017226
  7  13  68   0  12   0|  13M  906k|   0     0 |1511017227
  6  12  72   0  10   0|  12M  798k|   0     0 |1511017228
  8  13  68   0  11   0|  14M  922k|   0     0 |1511017229
  7  13  67   2  11   0|  13M  903k|   0    12k|1511017230
  8  13  68   0  11   0|  13M  871k|   0  8192B|1511017231
  7  14  68   0  11   0|  13M  896k|   0     0 |1511017232
  7  13  68   0  12   0|  13M  915k|   0     0 |1511017233
  7  13  69   0  11   0|  13M  899k|   0     0 |1511017234
  8  14  66   0  12   0|  14M  969k|   0     0 |1511017235
  8  13  65   2  12   0|  14M  940k|   0    20k|1511017236
  7  13  69   0  11   0|  13M  905k|   0     0 |1511017237
  7  14  68   0  11   0|  14M  918k|   0     0 |1511017238
  8  14  65   0  13   0|  14M  942k|   0     0 |1511017239
  8  13  67   0  12   0|  14M  945k|   0     0 |1511017240
  7  13  67   1  11   0|  14M  916k|   0    12k|1511017241
  8  14  67   0  11   0|  14M  923k|   0     0 |1511017242
  7  13  69   0  11   0|  13M  907k|   0     0 |1511017243
  8  14  66   0  12   0|  14M  952k|   0     0 |1511017244
  8  14  66   0  12   0|  14M  927k|   0     0 |1511017245
  8  14  65   0  13   0|  13M  907k|   0     0 |1511017246
  7  14  65   2  12   0|  14M  941k|   0    12k|1511017247
  8  13  68   0  11   0|  13M  885k|   0     0 |1511017248
  7  13  68   0  11   0|  14M  920k|   0     0 |1511017249
  7  12  71   0  10   0|  13M  861k|   0     0 |1511017250
  8  14  67   0  12   0|  14M  917k|   0     0 |1511017251
  7  13  67   0  12   0|  13M  907k|   0     0 |1511017252
