[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  95   0   1   0|   0     0 |3463B 3228k|1511013182
  4   3  92   0   0   0|2298B 3720B|   0  4096B|1511013183
  0   0 100   0   0   0|   0     0 |   0     0 |1511013184
 13   8  77   0   3   0|3689k 6682k|   0   164k|1511013185
  6   5  87   0   3   0|4932k 8944k|   0     0 |1511013186
  6   5  85   0   2   0|4859k 8855k|   0   108k|1511013187
  3   3  92   0   3   0|5020k 9138k|   0     0 |1511013188
  3   3  91   0   3   0|5086k 9286k|   0     0 |1511013189
  3   3  91   0   3   0|5429k 9892k|   0     0 |1511013190
  9   7  82   0   2   0|5374k 9781k|   0     0 |1511013191
  4   4  89   0   3   0|5091k 9276k|   0     0 |1511013192
  2   3  91   0   3   0|4941k 8995k|   0    16k|1511013193
  2   3  93   0   3   0|5002k 9111k|   0     0 |1511013194
  2   3  93   0   3   0|4933k 8995k|   0     0 |1511013195
  2   3  93   0   3   0|5124k 9337k|   0     0 |1511013196
  2   3  93   0   3   0|5089k 9258k|   0     0 |1511013197
  2   3  93   0   3   0|5035k 9189k|   0    16k|1511013198
  2   3  93   0   3   0|4881k 8861k|   0     0 |1511013199
  3   4  91   0   3   0|4981k 9092k|   0     0 |1511013200
  3   3  92   0   3   0|5011k 9117k|   0     0 |1511013201
  1   3  94   0   2   0|5134k 9381k|   0     0 |1511013202
  1   2  93   0   2   0|5033k 9135k|   0    16k|1511013203
  1   3  93   0   3   0|4930k 9010k|   0     0 |1511013204
  1   2  93   0   3   0|5028k 9149k|   0     0 |1511013205
  1   3  93   0   3   0|5143k 9351k|   0     0 |1511013206
  1   3  94   0   2   0|5418k 9896k|   0     0 |1511013207
  1   3  94   0   2   0|5452k 9918k|   0    16k|1511013208
  2   3  94   0   2   0|5395k 9829k|   0     0 |1511013209
  1   3  94   0   2   0|5065k 9208k|   0    24k|1511013210
  1   3  93   0   3   0|5212k 9492k|   0     0 |1511013211
  2   3  94   0   3   0|5201k 9486k|   0     0 |1511013212
  1   3  93   0   3   0|5038k 9212k|   0    24k|1511013213
  1   3  93   0   3   0|5024k 9147k|   0     0 |1511013214
  1   3  93   0   3   0|5223k 9499k|   0    52k|1511013215
  1   3  93   0   3   0|5017k 9138k|   0     0 |1511013216
  2   3  93   0   3   0|5119k 9322k|   0     0 |1511013217
  1   3  93   0   3   0|5060k 9233k|   0    36k|1511013218
  2   3  93   0   3   0|5154k 9396k|   0     0 |1511013219
  1   3  93   0   3   0|5171k 9399k|   0    60k|1511013220
  1   3  93   0   3   0|5102k 9294k|   0     0 |1511013221
  2   3  93   0   3   0|5005k 9111k|   0     0 |1511013222
  1   3  93   1   3   0|5325k 9733k|   0    16k|1511013223
  2   3  93   0   3   0|5035k 9152k|   0     0 |1511013224
  1   3  94   0   3   0|4962k 9028k|   0  4096B|1511013225
  1   3  94   0   3   0|4998k 9135k|   0     0 |1511013226
  1   3  93   0   3   0|5068k 9212k|   0     0 |1511013227
  1   2  93   0   2   0|5097k 9312k|   0    16k|1511013228
  1   3  94   0   3   0|4975k 9073k|   0     0 |1511013229
  1   3  93   0   3   0|5138k 9312k|   0     0 |1511013230
  2   3  93   0   3   0|5009k 9118k|   0     0 |1511013231
  1   3  93   0   3   0|5142k 9384k|   0     0 |1511013232
  1   3  93   0   3   0|5217k 9495k|   0    16k|1511013233
  2   3  93   0   3   0|5320k 9697k|   0     0 |1511013234
  1   3  93   0   3   0|5269k 9602k|   0     0 |1511013235
  1   3  93   0   3   0|5175k 9436k|   0     0 |1511013236
  1   3  93   0   3   0|5063k 9208k|   0     0 |1511013237
  1   3  92   0   3   0|5427k 9900k|   0    16k|1511013238
  2   3  93   0   3   0|5222k 9518k|   0     0 |1511013239
  1   3  94   0   2   0|5404k 9825k|   0     0 |1511013240
  1   3  93   0   3   0|5215k 9496k|   0     0 |1511013241
  2   3  93   0   3   0|5250k 9577k|   0     0 |1511013242
  2   3  92   1   3   0|4998k 9107k|   0    16k|1511013243
  1   3  94   0   3   0|5094k 9258k|   0     0 |1511013244
  1   3  93   0   3   0|5082k 9301k|   0    20k|1511013245
  1   3  94   0   2   0|5173k 9395k|   0     0 |1511013246
  2   3  93   0   3   0|5281k 9599k|   0     0 |1511013247
  1   3  93   1   3   0|4971k 9063k|   0    16k|1511013248
  2   3  93   0   3   0|5101k 9306k|   0     0 |1511013249
  1   3  93   0   3   0|5079k 9255k|   0    16k|1511013250
  1   3  93   0   3   0|5170k 9426k|   0     0 |1511013251
  1   3  93   0   3   0|5133k 9337k|   0     0 |1511013252
  1   3  93   0   3   0|5211k 9482k|   0    24k|1511013253
  1   3  93   0   3   0|5347k 9748k|   0     0 |1511013254
  2   3  93   0   3   0|5108k 9325k|   0     0 |1511013255
  1   3  93   0   3   0|5318k 9666k|   0     0 |1511013256
  1   3  93   0   3   0|5098k 9300k|   0     0 |1511013257
  1   3  92   0   3   0|5022k 9125k|   0    16k|1511013258
  1   3  93   0   3   0|5103k 9312k|   0     0 |1511013259
  2   3  93   0   3   0|5222k 9510k|   0  8192B|1511013260
  2   3  93   0   3   0|5103k 9309k|   0     0 |1511013261
  1   3  94   0   2   0|4889k 8898k|   0     0 |1511013262
  1   3  93   0   3   0|5113k 9314k|   0     0 |1511013263
  1   3  93   0   3   0|5301k 9667k|   0    28k|1511013264
  1   3  93   0   3   0|4998k 9107k|   0     0 |1511013265
  1   3  93   0   3   0|5167k 9406k|   0     0 |1511013266
  1   3  94   0   3   0|5254k 9587k|   0     0 |1511013267
  2   3  93   0   3   0|5251k 9570k|   0     0 |1511013268
  1   3  93   0   3   0|5206k 9442k|   0    16k|1511013269
  1   2  94   0   2   0|5012k 9147k|   0     0 |1511013270
  1   3  93   0   3   0|5060k 9226k|   0     0 |1511013271
  1   3  93   0   3   0|4972k 9065k|   0     0 |1511013272
