PING MIDDLEWARE 1
mw1 > client1
PING 10.0.0.9 (10.0.0.9) 56(84) bytes of data.
64 bytes from 10.0.0.9: icmp_seq=1 ttl=64 time=1.12 ms
64 bytes from 10.0.0.9: icmp_seq=2 ttl=64 time=1.25 ms
64 bytes from 10.0.0.9: icmp_seq=3 ttl=64 time=0.893 ms
64 bytes from 10.0.0.9: icmp_seq=4 ttl=64 time=0.783 ms
64 bytes from 10.0.0.9: icmp_seq=5 ttl=64 time=1.02 ms
64 bytes from 10.0.0.9: icmp_seq=6 ttl=64 time=0.810 ms
64 bytes from 10.0.0.9: icmp_seq=7 ttl=64 time=0.810 ms
64 bytes from 10.0.0.9: icmp_seq=8 ttl=64 time=1.00 ms
64 bytes from 10.0.0.9: icmp_seq=9 ttl=64 time=1.04 ms
64 bytes from 10.0.0.9: icmp_seq=10 ttl=64 time=0.710 ms
64 bytes from 10.0.0.9: icmp_seq=11 ttl=64 time=0.738 ms
64 bytes from 10.0.0.9: icmp_seq=12 ttl=64 time=0.885 ms
64 bytes from 10.0.0.9: icmp_seq=13 ttl=64 time=0.767 ms
64 bytes from 10.0.0.9: icmp_seq=14 ttl=64 time=0.755 ms
64 bytes from 10.0.0.9: icmp_seq=15 ttl=64 time=0.732 ms
64 bytes from 10.0.0.9: icmp_seq=16 ttl=64 time=0.800 ms
64 bytes from 10.0.0.9: icmp_seq=17 ttl=64 time=1.03 ms
64 bytes from 10.0.0.9: icmp_seq=18 ttl=64 time=0.836 ms
64 bytes from 10.0.0.9: icmp_seq=19 ttl=64 time=0.776 ms
64 bytes from 10.0.0.9: icmp_seq=20 ttl=64 time=1.18 ms
64 bytes from 10.0.0.9: icmp_seq=21 ttl=64 time=0.747 ms
64 bytes from 10.0.0.9: icmp_seq=22 ttl=64 time=0.752 ms
64 bytes from 10.0.0.9: icmp_seq=23 ttl=64 time=0.755 ms
64 bytes from 10.0.0.9: icmp_seq=24 ttl=64 time=0.997 ms
64 bytes from 10.0.0.9: icmp_seq=25 ttl=64 time=0.921 ms
64 bytes from 10.0.0.9: icmp_seq=26 ttl=64 time=1.01 ms
64 bytes from 10.0.0.9: icmp_seq=27 ttl=64 time=1.04 ms
64 bytes from 10.0.0.9: icmp_seq=28 ttl=64 time=0.843 ms
64 bytes from 10.0.0.9: icmp_seq=29 ttl=64 time=0.796 ms
64 bytes from 10.0.0.9: icmp_seq=30 ttl=64 time=0.709 ms
mw1 > client2
PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=1.90 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=0.859 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=0.894 ms
64 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=0.803 ms
64 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=0.840 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=0.799 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=0.736 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=0.747 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=0.771 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=1.09 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=1.01 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=1.02 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=0.950 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=0.778 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=1.06 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=1.03 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=0.785 ms
