[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  3   5  89   0   3   0|   0     0 |3783B 3378k|1511009646
  5   3  92   0   0   0|  14k   26k|   0   120k|1511009647
  1   0  99   0   0   0|  35k   35k|   0     0 |1511009648
  7   4  88   0   1   0|2009k 2095k|   0     0 |1511009649
  7   4  87   0   2   0|2678k 2811k|   0     0 |1511009650
  8   5  85   0   2   0|2812k 2950k|   0  4096B|1511009651
  9   7  82   0   2   0|2713k 2846k|   0     0 |1511009652
  2   4  92   0   2   0|2761k 2888k|   0    12k|1511009653
  3   4  91   0   2   0|2760k 2878k|   0     0 |1511009654
  2   4  92   0   2   0|2913k 3034k|   0     0 |1511009655
  2   4  92   0   2   0|2664k 2777k|   0    76k|1511009656
  2   4  92   0   2   0|2427k 2538k|   0     0 |1511009657
  2   3  92   0   2   0|2831k 2951k|   0     0 |1511009658
  2   4  92   0   2   0|2909k 3032k|   0    16k|1511009659
  2   4  92   0   2   0|2867k 2988k|   0     0 |1511009660
  3   4  91   0   2   0|2765k 2882k|   0    52k|1511009661
  3   4  92   0   2   0|2667k 2783k|   0     0 |1511009662
  2   3  93   0   2   0|2681k 2794k|   0     0 |1511009663
  2   4  92   1   2   0|2844k 2962k|   0    28k|1511009664
  3   3  92   0   2   0|2750k 2870k|   0     0 |1511009665
  2   4  92   0   2   0|2931k 3052k|   0     0 |1511009666
  3   4  91   0   2   0|2911k 3033k|   0     0 |1511009667
  2   3  93   0   2   0|2692k 2807k|   0     0 |1511009668
  3   4  91   0   2   0|2762k 2883k|   0    16k|1511009669
  2   4  92   0   2   0|2909k 3029k|   0     0 |1511009670
  2   3  93   0   2   0|2515k 2623k|   0  4096B|1511009671
  3   4  92   0   2   0|2565k 2681k|   0     0 |1511009672
  2   4  92   0   2   0|2949k 3072k|   0     0 |1511009673
  7   4  86   0   3   0|2545k 2653k|   0    16k|1511009674
  3   4  92   0   2   0|2859k 2979k|   0     0 |1511009675
  4   4  89   0   2   0|2892k 3012k|   0    12k|1511009676
  2   3  93   0   2   0|2621k 2733k|   0     0 |1511009677
  2   3  93   0   2   0|2933k 3057k|   0     0 |1511009678
  2   3  93   0   2   0|2855k 2975k|   0     0 |1511009679
  2   4  92   0   2   0|2765k 2882k|   0    32k|1511009680
  2   4  92   0   2   0|2896k 3018k|   0    40k|1511009681
  2   3  93   0   2   0|2828k 2943k|   0     0 |1511009682
  2   3  93   0   2   0|2799k 2917k|   0     0 |1511009683
  2   3  93   0   2   0|2736k 2855k|   0     0 |1511009684
  2   4  92   0   2   0|2924k 3045k|   0    28k|1511009685
  2   3  93   0   2   0|2720k 2834k|   0     0 |1511009686
  2   3  94   0   2   0|2459k 2567k|   0     0 |1511009687
  2   3  93   0   2   0|2808k 2928k|   0     0 |1511009688
  2   3  93   0   2   0|2792k 2910k|   0     0 |1511009689
  2   3  92   0   2   0|2815k 2936k|   0    16k|1511009690
  3   4  92   0   2   0|2806k 2925k|   0    32k|1511009691
  2   3  93   0   2   0|2715k 2829k|   0     0 |1511009692
  2   4  93   0   2   0|2898k 3019k|   0     0 |1511009693
  2   3  93   0   2   0|2684k 2798k|   0     0 |1511009694
  2   3  92   1   2   0|2826k 2945k|   0    16k|1511009695
  2   4  92   0   2   0|2867k 2988k|   0  4096B|1511009696
  2   4  92   0   2   0|2911k 3033k|   0     0 |1511009697
  2   3  93   0   2   0|2763k 2878k|   0     0 |1511009698
  2   3  93   0   2   0|2738k 2856k|   0     0 |1511009699
  2   4  92   0   2   0|2887k 3011k|   0    16k|1511009700
  2   3  93   0   2   0|2629k 2742k|   0     0 |1511009701
  2   3  93   0   2   0|2457k 2565k|   0     0 |1511009702
  2   4  92   0   2   0|2742k 2855k|   0     0 |1511009703
  2   3  93   0   2   0|2707k 2823k|   0     0 |1511009704
  2   3  93   0   2   0|2679k 2793k|   0    16k|1511009705
  2   4  93   0   2   0|2890k 3012k|   0     0 |1511009706
  2   4  93   0   2   0|2690k 2804k|   0     0 |1511009707
  2   3  93   0   2   0|2696k 2813k|   0     0 |1511009708
  2   3  93   0   2   0|2708k 2823k|   0     0 |1511009709
  3   3  92   1   2   0|2587k 2698k|   0    16k|1511009710
  2   3  93   0   2   0|2785k 2903k|   0    20k|1511009711
  2   3  92   0   2   0|2854k 2973k|   0     0 |1511009712
  2   3  93   0   2   0|2799k 2917k|   0     0 |1511009713
  2   3  93   0   2   0|2705k 2820k|   0     0 |1511009714
  2   3  93   0   2   0|2794k 2913k|   0    20k|1511009715
  3   4  92   0   2   0|2618k 2729k|   0    16k|1511009716
  2   3  93   0   2   0|2644k 2760k|   0     0 |1511009717
  2   3  93   0   2   0|2944k 3066k|   0     0 |1511009718
  2   4  93   0   2   0|2794k 2913k|   0     0 |1511009719
  3   4  91   1   2   0|2804k 2921k|   0    28k|1511009720
  2   3  93   0   2   0|2830k 2949k|   0     0 |1511009721
  2   3  92   0   2   0|2472k 2580k|   0     0 |1511009722
  2   4  93   0   2   0|2537k 2646k|   0     0 |1511009723
  2   3  93   0   2   0|2667k 2785k|   0     0 |1511009724
  2   3  93   0   2   0|2756k 2870k|   0    16k|1511009725
  2   4  92   0   2   0|3006k 3129k|   0    12k|1511009726
  2   3  93   0   2   0|2934k 3056k|   0     0 |1511009727
  2   3  93   0   2   0|2757k 2875k|   0     0 |1511009728
  2   3  93   0   2   0|2810k 2927k|   0     0 |1511009729
  2   3  93   0   2   0|2888k 3007k|   0    16k|1511009730
  2   3  93   0   2   0|2788k 2905k|   0  8192B|1511009731
  2   3  94   0   2   0|2546k 2657k|   0     0 |1511009732
  2   3  93   0   2   0|2791k 2908k|   0     0 |1511009733
  2   3  93   0   2   0|2791k 2907k|   0     0 |1511009734
  2   3  93   0   2   0|2809k 2928k|   0    28k|1511009735
  2   3  93   0   2   0|2801k 2920k|   0     0 |1511009736
