[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  96   0   2   0|   0     0 |3125B  570k|1511009646
  1   2  94   0   3   0| 139k 1110k|   0  8192B|1511009647
  1   3  93   0   3   0| 218k 1755k|   0     0 |1511009648
  2   3  90   0   5   0| 233k 1895k|   0     0 |1511009649
  1   4  91   0   4   0| 227k 1846k|   0     0 |1511009650
  2   3  89   2   4   0| 225k 1899k|   0    40k|1511009651
  1   4  91   0   4   0| 218k 1857k|   0    28k|1511009652
  2   3  91   0   4   0| 222k 1882k|   0     0 |1511009653
  1   4  91   0   4   0| 221k 1901k|   0     0 |1511009654
  2   3  91   0   4   0| 204k 1734k|   0     0 |1511009655
  1   4  91   0   4   0| 221k 1893k|   0     0 |1511009656
  2   3  90   1   4   0| 223k 1900k|   0    12k|1511009657
  1   3  92   0   4   0| 213k 1844k|   0     0 |1511009658
  2   3  92   0   3   0| 214k 1840k|   0     0 |1511009659
  1   3  92   0   4   0| 211k 1790k|   0     0 |1511009660
  1   3  93   0   3   0| 212k 1820k|   0     0 |1511009661
  1   4  91   0   4   0| 213k 1833k|   0     0 |1511009662
  1   3  91   2   3   0| 217k 1853k|   0    12k|1511009663
  2   3  92   0   3   0| 222k 1901k|   0     0 |1511009664
  1   2  93   0   4   0| 218k 1883k|   0     0 |1511009665
  1   4  91   0   4   0| 216k 1861k|   0     0 |1511009666
  2   3  92   0   3   0| 211k 1789k|   0     0 |1511009667
  1   4  91   0   4   0| 218k 1877k|   0     0 |1511009668
  2   3  88   3   4   0| 212k 1818k|   0    12k|1511009669
  1   3  92   0   4   0| 205k 1728k|   0     0 |1511009670
  1   4  91   0   4   0| 220k 1888k|   0     0 |1511009671
  2   4  89   0   5   0| 209k 1798k|   0     0 |1511009672
  1   4  91   0   4   0| 216k 1857k|   0     0 |1511009673
  2   3  92   0   3   0| 216k 1906k|   0     0 |1511009674
  1   3  90   2   4   0| 208k 1768k|   0    12k|1511009675
  2   3  91   0   4   0| 219k 1875k|   0     0 |1511009676
  1   3  93   0   3   0| 220k 1894k|   0    12k|1511009677
  1   3  92   0   4   0| 213k 1837k|   0     0 |1511009678
  2   4  90   0   4   0| 223k 1916k|   0     0 |1511009679
  1   4  90   1   4   0| 217k 1894k|   0    20k|1511009680
  2   3  91   0   4   0| 219k 1875k|   0     0 |1511009681
  1   3  93   0   3   0| 214k 1830k|   0     0 |1511009682
  2   4  89   0   5   0| 221k 1947k|   0     0 |1511009683
  1   3  92   0   4   0| 222k 1919k|   0     0 |1511009684
  1   4  92   0   3   0| 202k 1730k|   0     0 |1511009685
  2   4  85   4   5   0| 216k 1852k|   0    12k|1511009686
  2   4  89   0   5   0| 217k 1841k|   0  8192B|1511009687
  1   3  92   0   4   0| 220k 1889k|   0     0 |1511009688
  2   4  90   0   4   0| 217k 1876k|   0     0 |1511009689
  1   3  92   0   4   0| 216k 1842k|   0     0 |1511009690
  1   3  93   0   3   0| 219k 1894k|   0     0 |1511009691
  1   3  91   1   4   0| 212k 1812k|   0    12k|1511009692
  2   3  92   0   3   0| 217k 1855k|   0     0 |1511009693
  1   4  90   0   5   0| 221k 1899k|   0     0 |1511009694
  2   4  90   0   4   0| 218k 1889k|   0     0 |1511009695
  2   4  89   0   5   0| 220k 1904k|   0     0 |1511009696
  1   3  92   0   4   0| 215k 1845k|   0     0 |1511009697
  1   4  89   3   3   0| 224k 1931k|   0    12k|1511009698
  2   3  90   0   5   0| 215k 1839k|   0     0 |1511009699
  1   3  93   0   3   0| 198k 1669k|   0     0 |1511009700
  2   5  88   0   5   0| 212k 1807k|   0     0 |1511009701
  1   3  92   0   4   0| 211k 1790k|   0     0 |1511009702
  1   3  91   2   3   0| 212k 1824k|   0    12k|1511009703
  2   4  90   0   4   0| 221k 1903k|   0     0 |1511009704
  2   3  91   0   4   0| 214k 1800k|   0     0 |1511009705
  1   3  92   0   4   0| 214k 1846k|   0     0 |1511009706
  1   3  93   0   3   0| 216k 1839k|   0     0 |1511009707
  1   3  93   0   3   0| 204k 1730k|   0     0 |1511009708
  2   4  88   1   5   0| 212k 1816k|   0    12k|1511009709
  1   2  95   0   2   0| 213k 1841k|   0     0 |1511009710
  2   4  89   0   5   0| 220k 1892k|   0     0 |1511009711
  1   3  93   0   3   0| 215k 1843k|   0  4096B|1511009712
  1   3  92   0   4   0| 216k 1850k|   0     0 |1511009713
  2   4  89   0   5   0| 216k 1855k|   0     0 |1511009714
  1   4  88   3   4   0| 210k 1786k|   0    12k|1511009715
  2   4  89   0   5   0| 222k 1901k|   0     0 |1511009716
  2   4  90   0   4   0| 216k 1871k|   0     0 |1511009717
  1   3  92   0   4   0| 218k 1872k|   0     0 |1511009718
  1   3  93   0   3   0| 215k 1849k|   0     0 |1511009719
  1   3  93   0   3   0| 205k 1736k|   0     0 |1511009720
  1   2  91   2   4   0| 201k 1712k|   0    12k|1511009721
  2   3  92   0   3   0| 216k 1841k|   0     0 |1511009722
  1   3  92   0   4   0| 212k 1834k|   0     0 |1511009723
  2   4  90   0   4   0| 224k 1937k|   0     0 |1511009724
  1   4  91   0   4   0| 223k 1937k|   0     0 |1511009725
  2   3  91   0   4   0| 216k 1876k|   0     0 |1511009726
