[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  3   5  89   0   3   0|   0     0 |3874B 3459k|1511007856
  5   2  92   0   0   0|  14k   26k|   0  4096B|1511007857
  0   0 100   0   0   0|   0     0 |   0     0 |1511007858
 14   6  79   0   2   0|6017k 6257k|   0     0 |1511007859
 22   9  67   0   3   0|9586k 9852k|   0     0 |1511007860
  7   5  86   0   3   0|9676k 9945k|   0   128k|1511007861
  4   5  88   0   3   0|9588k 9855k|   0    88k|1511007862
  6   5  86   0   3   0|9753k 9990k|   0     0 |1511007863
  4   5  89   0   2   0|9341k 9612k|   0     0 |1511007864
  6   5  87   0   3   0|  10M   10M|   0     0 |1511007865
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007866
  3   5  90   0   3   0|  10M   11M|   0     0 |1511007867
  3   4  89   1   3   0|9839k   10M|   0    16k|1511007868
  3   4  90   0   3   0|  11M   11M|   0     0 |1511007869
  3   4  90   0   3   0|  11M   11M|   0     0 |1511007870
  3   4  90   0   3   0|8959k 9190k|   0     0 |1511007871
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007872
  3   4  90   0   3   0|  10M   10M|   0    16k|1511007873
  3   5  89   1   3   0|  10M   11M|   0     0 |1511007874
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007875
  3   4  90   0   3   0|9994k   10M|   0    72k|1511007876
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007877
  3   4  90   0   3   0|  10M   10M|   0    16k|1511007878
  3   4  90   0   3   0|9943k   10M|   0     0 |1511007879
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007880
  3   4  90   0   2   0|  10M   10M|   0  4096B|1511007881
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007882
  3   4  90   0   2   0|9650k 9904k|   0    16k|1511007883
  3   4  90   0   3   0|  11M   11M|   0     0 |1511007884
  3   5  90   0   2   0|  10M   10M|   0     0 |1511007885
  3   4  92   0   2   0|8546k 8756k|   0  8192B|1511007886
  3   4  90   0   2   0|  10M   11M|   0     0 |1511007887
  3   5  90   0   3   0|  10M   11M|   0    12k|1511007888
  3   4  90   0   3   0|9972k   10M|   0  4096B|1511007889
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007890
  3   4  90   0   3   0|  10M   10M|   0    40k|1511007891
  4   4  89   0   2   0|  10M   10M|   0     0 |1511007892
  3   4  90   0   3   0|  10M   10M|   0    20k|1511007893
  3   4  90   0   3   0|9805k   10M|   0  4096B|1511007894
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007895
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007896
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007897
  3   4  91   0   2   0|9656k 9929k|   0     0 |1511007898
  4   5  88   0   3   0|  10M   11M|   0    16k|1511007899
  4   4  89   0   2   0|  10M   10M|   0     0 |1511007900
  4   4  90   0   2   0|8385k 8613k|   0  4096B|1511007901
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007902
  4   5  89   0   3   0|  10M   10M|   0     0 |1511007903
  4   4  90   0   2   0|9581k 9827k|   0    16k|1511007904
  3   4  90   0   2   0|  10M   11M|   0     0 |1511007905
  4   4  90   0   2   0|9552k 9791k|   0     0 |1511007906
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007907
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007908
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007909
  3   5  89   0   3   0|  10M   11M|   0    16k|1511007910
  4   4  89   0   3   0|  10M   11M|   0  8192B|1511007911
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007912
  3   4  90   0   3   0|9898k   10M|   0     0 |1511007913
  3   5  90   0   3   0|  11M   11M|   0     0 |1511007914
  3   4  90   0   3   0|  10M   11M|   0    16k|1511007915
  3   4  91   0   2   0|8750k 8966k|   0     0 |1511007916
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007917
  3   5  90   0   3   0|  11M   11M|   0     0 |1511007918
  3   4  90   0   3   0|  11M   11M|   0     0 |1511007919
  3   4  90   0   3   0|  10M   10M|   0    16k|1511007920
  3   4  90   0   2   0|9966k   10M|   0    20k|1511007921
  3   4  89   0   4   0|7988k 8187k|   0     0 |1511007922
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007923
  3   4  90   0   2   0|9632k 9896k|   0     0 |1511007924
  3   4  90   0   3   0|  10M   11M|   0    16k|1511007925
  4   4  90   0   2   0|  10M   10M|   0    16k|1511007926
  3   4  90   0   3   0|  11M   11M|   0     0 |1511007927
  3   4  90   0   3   0|  10M   10M|   0     0 |1511007928
  4   4  89   0   3   0|  11M   11M|   0     0 |1511007929
  3   4  90   0   3   0|  11M   11M|   0    24k|1511007930
  3   4  91   0   2   0|8940k 9177k|   0     0 |1511007931
  3   4  90   0   3   0|  11M   11M|   0     0 |1511007932
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007933
  3   4  90   0   3   0|  10M   11M|   0     0 |1511007934
  3   4  90   0   3   0|  10M   11M|   0    16k|1511007935
  3   4  90   0   3   0|  10M   10M|   0  8192B|1511007936
  3   5  90   0   3   0|  10M   11M|   0     0 |1511007937
  4   5  89   0   3   0|  10M   10M|   0     0 |1511007938
  3   4  90   0   3   0|9748k 9992k|   0     0 |1511007939
  3   4  89   1   3   0|  10M   11M|   0    28k|1511007940
