[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   1  97   0   1   0|   0     0 |3259B  877k|1511007420
  2   3  92   0   2   0|  12M  318k|   0     0 |1511007421
  3   3  91   0   2   0|  11M  308k|   0     0 |1511007422
  3   4  91   0   3   0|  13M  351k|   0     0 |1511007423
  3   4  87   5   3   0|  11M  309k|   0    64k|1511007424
  3   4  91   0   3   0|  13M  364k|   0     0 |1511007425
  3   3  91   0   2   0|  13M  348k|   0     0 |1511007426
  3   3  92   0   3   0|  12M  334k|   0     0 |1511007427
  3   4  91   0   3   0|  13M  365k|   0     0 |1511007428
  3   4  89   2   3   0|  13M  346k|   0    16k|1511007429
  3   4  90   0   3   0|  12M  341k|   0     0 |1511007430
  3   4  91   0   3   0|  12M  336k|   0     0 |1511007431
  3   4  91   0   3   0|  13M  359k|   0     0 |1511007432
  2   3  91   0   3   0|  13M  347k|   0     0 |1511007433
  3   4  90   2   3   0|  12M  331k|   0    16k|1511007434
  3   4  91   0   3   0|  13M  361k|   0     0 |1511007435
  3   4  90   0   3   0|  13M  350k|   0     0 |1511007436
  3   4  91   0   3   0|  13M  351k|   0     0 |1511007437
  3   4  91   0   3   0|  13M  346k|   0     0 |1511007438
  3   3  90   0   3   0|  12M  330k|   0    12k|1511007439
  3   5  89   1   3   0|  13M  350k|   0  4096B|1511007440
  3   4  91   0   3   0|  12M  338k|   0     0 |1511007441
  3   3  91   0   2   0|  12M  330k|   0     0 |1511007442
  3   3  92   0   3   0|  12M  340k|   0     0 |1511007443
  3   4  90   0   3   0|  13M  358k|   0     0 |1511007444
  3   3  91   1   2   0|  12M  340k|   0    16k|1511007445
  3   3  91   0   3   0|  12M  336k|   0     0 |1511007446
  3   4  92   0   3   0|  13M  341k|   0     0 |1511007447
  3   4  91   0   3   0|  13M  349k|   0     0 |1511007448
  3   4  91   0   3   0|  11M  315k|   0     0 |1511007449
  3   4  90   1   3   0|  12M  342k|   0    24k|1511007450
  2   4  91   0   3   0|  13M  357k|   0     0 |1511007451
  3   4  91   0   3   0|  13M  353k|   0     0 |1511007452
  3   4  91   0   3   0|  13M  345k|   0     0 |1511007453
  3   4  91   0   3   0|  12M  337k|   0     0 |1511007454
  3   4  89   2   3   0|  13M  349k|   0    84k|1511007455
  3   3  92   0   3   0|  13M  350k|   0     0 |1511007456
  3   4  91   0   3   0|  12M  340k|   0     0 |1511007457
  2   3  91   0   3   0|  13M  348k|   0     0 |1511007458
  3   4  91   0   3   0|  13M  349k|   0     0 |1511007459
  3   3  91   2   3   0|  12M  330k|   0    24k|1511007460
  3   4  91   0   3   0|  12M  325k|   0     0 |1511007461
  3   4  91   0   3   0|  13M  359k|   0     0 |1511007462
  3   3  91   0   3   0|  13M  355k|   0     0 |1511007463
  3   4  91   0   3   0|  11M  315k|   0     0 |1511007464
  3   4  90   1   3   0|  12M  341k|   0    16k|1511007465
  3   4  91   0   3   0|  13M  347k|   0     0 |1511007466
  3   4  92   0   3   0|  13M  347k|   0     0 |1511007467
  3   4  91   0   3   0|  13M  343k|   0     0 |1511007468
  3   4  91   0   3   0|  12M  339k|   0     0 |1511007469
  3   3  91   0   3   0|  13M  349k|   0     0 |1511007470
  3   4  89   2   3   0|  13M  348k|   0    16k|1511007471
  3   4  91   0   3   0|  12M  335k|   0     0 |1511007472
  3   4  91   0   3   0|  13M  352k|   0     0 |1511007473
  3   4  91   0   2   0|  13M  352k|   0     0 |1511007474
  3   3  92   0   3   0|  12M  331k|   0     0 |1511007475
  3   4  90   1   3   0|  12M  317k|   0    16k|1511007476
  3   4  91   0   3   0|  13M  348k|   0     0 |1511007477
  3   4  92   0   3   0|  13M  355k|   0     0 |1511007478
  3   4  91   0   3   0|  12M  318k|   0     0 |1511007479
  3   3  91   0   3   0|  12M  340k|   0     0 |1511007480
  3   4  90   1   3   0|  13M  355k|   0    16k|1511007481
  3   3  92   0   3   0|  12M  343k|   0     0 |1511007482
  3   4  91   0   3   0|  13M  346k|   0     0 |1511007483
  3   3  92   0   3   0|  11M  311k|   0     0 |1511007484
  3   4  91   0   3   0|  13M  363k|   0  8192B|1511007485
  3   4  90   0   3   0|  13M  361k|   0     0 |1511007486
  3   4  90   1   3   0|  12M  358k|   0    24k|1511007487
  3   4  91   0   3   0|  13M  384k|   0     0 |1511007488
  3   4  91   0   3   0|  13M  385k|   0     0 |1511007489
  3   3  91   0   3   0|  13M  381k|   0     0 |1511007490
  3   4  91   0   3   0|  12M  357k|   0    16k|1511007491
  3   4  90   2   3   0|  13M  390k|   0    24k|1511007492
  3   4  91   0   3   0|  13M  386k|   0     0 |1511007493
  3   4  92   0   3   0|  12M  349k|   0     0 |1511007494
  3   4  91   0   3   0|  13M  394k|   0     0 |1511007495
  3   4  91   0   3   0|  13M  387k|   0     0 |1511007496
  3   4  90   1   3   0|  12M  372k|   0    16k|1511007497
  3   4  91   0   3   0|  12M  375k|   0     0 |1511007498
  3   4  91   0   3   0|  12M  351k|   0     0 |1511007499
  3   4  91   0   3   0|  12M  371k|   0     0 |1511007500
  3   4  91   0   3   0|  12M  371k|   0     0 |1511007501
  2   3  90   1   3   0|  12M  356k|   0    16k|1511007502
  3   4  91   0   3   0|  12M  362k|   0     0 |1511007503
  3   3  91   0   3   0|  12M  367k|   0     0 |1511007504
  3   4  91   0   3   0|  13M  388k|   0     0 |1511007505
  3   3  92   0   3   0|  12M  363k|   0     0 |1511007506
  3   4  90   1   4   0|  12M  363k|   0    16k|1511007507
  3   4  91   0   3   0|  13M  381k|   0     0 |1511007508
  3   4  92   0   3   0|  11M  339k|   0     0 |1511007509
  3   3  92   0   3   0|  11M  325k|   0     0 |1511007510
