[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   1  97   0   1   0|   0     0 |3265B  879k|1511007284
  2   3  93   0   1   0|9050k  252k|   0     0 |1511007285
  2   3  93   0   3   0|  10M  287k|   0     0 |1511007286
  3   3  93   0   2   0|  10M  297k|   0     0 |1511007287
  2   3  92   1   3   0|  10M  290k|   0    40k|1511007288
  3   3  92   0   2   0|  11M  304k|   0    24k|1511007289
  2   3  93   0   2   0|9963k  278k|   0     0 |1511007290
  3   3  92   0   3   0|  11M  302k|   0     0 |1511007291
  2   3  93   0   2   0|  11M  301k|   0     0 |1511007292
  2   3  91   1   2   0|  11M  310k|   0    20k|1511007293
  3   4  92   0   2   0|  10M  298k|   0     0 |1511007294
  2   3  93   0   3   0|  11M  299k|   0     0 |1511007295
  3   3  93   0   2   0|  10M  288k|   0     0 |1511007296
  3   3  92   0   3   0|  11M  302k|   0     0 |1511007297
  2   4  91   1   2   0|  11M  308k|   0    12k|1511007298
  3   3  93   0   2   0|  10M  293k|   0     0 |1511007299
  3   3  93   0   3   0|9904k  277k|   0     0 |1511007300
  2   4  92   0   3   0|  11M  307k|   0     0 |1511007301
  3   3  93   0   2   0|  11M  299k|   0     0 |1511007302
  2   3  93   0   2   0|  10M  287k|   0     0 |1511007303
  2   3  91   1   2   0|  10M  293k|   0    12k|1511007304
  2   3  93   0   2   0|  10M  284k|   0     0 |1511007305
  3   4  92   0   3   0|  11M  315k|   0     0 |1511007306
  3   3  93   0   2   0|  10M  292k|   0     0 |1511007307
  2   3  92   0   2   0|  11M  297k|   0     0 |1511007308
  2   4  91   1   3   0|  11M  315k|   0    20k|1511007309
  3   4  92   0   2   0|  11M  315k|   0     0 |1511007310
  2   3  92   0   3   0|  11M  297k|   0     0 |1511007311
  3   3  92   0   2   0|  11M  311k|   0     0 |1511007312
  3   3  92   0   3   0|  11M  323k|   0     0 |1511007313
  2   3  91   1   2   0|  11M  305k|   0    12k|1511007314
  3   3  93   0   2   0|  10M  294k|   0     0 |1511007315
  3   4  92   0   3   0|  11M  316k|   0     0 |1511007316
  2   3  93   0   2   0|  10M  293k|   0     0 |1511007317
  2   3  92   0   2   0|  11M  310k|   0     0 |1511007318
  3   3  91   1   2   0|  11M  310k|   0    60k|1511007319
  3   4  92   0   3   0|9147k  254k|   0     0 |1511007320
  2   3  93   0   3   0|9976k  279k|   0     0 |1511007321
  3   3  93   0   2   0|  10M  297k|   0     0 |1511007322
  2   3  92   0   2   0|  10M  296k|   0     0 |1511007323
  3   3  93   0   2   0|  11M  311k|   0     0 |1511007324
  2   3  92   1   2   0|  10M  281k|   0    12k|1511007325
  2   3  92   0   2   0|  10M  296k|   0     0 |1511007326
  2   3  93   0   2   0|  10M  294k|   0     0 |1511007327
  3   3  93   0   2   0|  11M  307k|   0     0 |1511007328
  3   3  93   0   3   0|  11M  299k|   0     0 |1511007329
  2   3  91   2   3   0|  10M  293k|   0    12k|1511007330
  3   3  93   0   2   0|  11M  309k|   0     0 |1511007331
  2   3  93   0   2   0|  10M  300k|   0     0 |1511007332
  2   3  92   0   2   0|  11M  300k|   0     0 |1511007333
  3   3  92   0   3   0|  11M  307k|   0     0 |1511007334
  3   4  91   1   2   0|  10M  295k|   0  8192B|1511007335
  2   3  92   1   3   0|  11M  306k|   0  4096B|1511007336
  3   4  92   0   2   0|  11M  300k|   0     0 |1511007337
  2   3  92   0   2   0|  11M  297k|   0     0 |1511007338
  3   3  92   0   3   0|  11M  309k|   0     0 |1511007339
  2   4  92   0   2   0|  11M  304k|   0     0 |1511007340
  3   3  91   1   3   0|  10M  293k|   0    12k|1511007341
  3   3  92   0   3   0|  10M  295k|   0     0 |1511007342
  2   3  93   0   3   0|  11M  309k|   0     0 |1511007343
  3   3  93   0   2   0|  10M  292k|   0     0 |1511007344
  3   4  92   0   2   0|  10M  287k|   0     0 |1511007345
  2   3  91   1   2   0|  10M  294k|   0    12k|1511007346
  3   3  93   0   2   0|  11M  302k|   0     0 |1511007347
  3   3  93   0   2   0|  11M  302k|   0     0 |1511007348
  2   3  92   0   3   0|  11M  304k|   0  8192B|1511007349
  3   4  92   0   2   0|  10M  293k|   0     0 |1511007350
  3   3  92   1   3   0|  11M  314k|   0    20k|1511007351
  2   3  92   0   2   0|  11M  303k|   0     0 |1511007352
  2   3  93   0   2   0|  10M  291k|   0     0 |1511007353
  2   3  92   0   2   0|  11M  301k|   0    16k|1511007354
  3   3  92   0   3   0|  11M  308k|   0     0 |1511007355
  2   3  91   1   2   0|  10M  294k|   0    20k|1511007356
  2   3  93   0   3   0|  10M  296k|   0     0 |1511007357
  3   3  93   0   2   0|  10M  286k|   0     0 |1511007358
  2   3  93   0   2   0|  10M  289k|   0     0 |1511007359
  2   3  92   0   2   0|  10M  285k|   0     0 |1511007360
  2   3  92   1   2   0|  10M  286k|   0    12k|1511007361
  3   3  93   0   3   0|  10M  299k|   0     0 |1511007362
  2   3  93   0   2   0|  10M  297k|   0     0 |1511007363
  3   3  93   0   2   0|  11M  300k|   0     0 |1511007364
  2   3  93   0   3   0|  10M  287k|   0     0 |1511007365
  2   3  92   0   2   0|  11M  308k|   0     0 |1511007366
  3   3  91   2   2   0|  10M  294k|   0    12k|1511007367
  2   3  93   0   3   0|  11M  301k|   0     0 |1511007368
  3   4  92   0   2   0|  11M  318k|   0     0 |1511007369
  2   3  92   0   2   0|  10M  298k|   0     0 |1511007370
  3   3  93   0   2   0|  10M  292k|   0     0 |1511007371
  2   3  91   1   3   0|  11M  303k|   0    12k|1511007372
  3   3  92   0   3   0|  11M  309k|   0     0 |1511007373
  2   3  94   0   2   0|9316k  254k|   0     0 |1511007374
