[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   2  96   0   1   0|   0     0 |3236B  589k|1511007184
  1   4  92   0   3   0| 470k 5350k|   0     0 |1511007185
  2   6  86   0   6   0| 670k 9555k|   0     0 |1511007186
  2   5  87   0   6   0| 630k   10M|   0     0 |1511007187
  3   6  86   0   5   0| 617k 9511k|   0     0 |1511007188
  2   6  84   2   6   0| 653k   10M|   0    44k|1511007189
  2   6  86   0   6   0| 653k   10M|   0     0 |1511007190
  3   6  85   0   6   0| 624k   10M|   0     0 |1511007191
  2   6  87   0   5   0| 645k   10M|   0     0 |1511007192
  2   6  86   0   6   0| 649k   10M|   0     0 |1511007193
  3   7  82   2   6   0| 662k   10M|   0    48k|1511007194
  2   5  88   0   5   0| 599k 9321k|   0     0 |1511007195
  2   6  86   0   6   0| 648k   10M|   0     0 |1511007196
  2   6  87   0   5   0| 643k   10M|   0     0 |1511007197
  3   6  85   0   6   0| 661k   10M|   0     0 |1511007198
  2   6  86   0   6   0| 651k   10M|   0     0 |1511007199
  3   6  82   3   6   0| 632k 9931k|   0    12k|1511007200
  2   6  86   0   6   0| 631k 9929k|   0     0 |1511007201
  2   6  87   0   5   0| 637k   10M|   0     0 |1511007202
  3   6  85   0   6   0| 621k 9896k|   0     0 |1511007203
  2   6  87   0   5   0| 622k 9882k|   0     0 |1511007204
  3   6  85   0   6   0| 639k   10M|   0     0 |1511007205
  2   5  85   2   6   0| 621k 9823k|   0    12k|1511007206
  2   7  86   0   5   0| 629k   10M|   0     0 |1511007207
  3   6  85   0   6   0| 655k   10M|   0     0 |1511007208
  2   6  86   0   6   0| 651k   10M|   0     0 |1511007209
  2   6  86   0   6   0| 603k 9735k|   0     0 |1511007210
  3   7  83   1   6   0| 663k   10M|   0    12k|1511007211
  2   6  87   0   5   0| 651k   10M|   0     0 |1511007212
  3   7  84   0   6   0| 649k   10M|   0     0 |1511007213
  2   6  86   0   6   0| 640k   10M|   0    12k|1511007214
  3   6  86   0   5   0| 634k   10M|   0     0 |1511007215
  2   6  82   4   6   0| 666k   10M|   0    28k|1511007216
  3   6  85   0   6   0| 647k   10M|   0     0 |1511007217
  2   6  87   0   5   0| 633k 9922k|   0     0 |1511007218
  3   7  83   0   7   0| 670k   11M|   0  4096B|1511007219
  2   6  86   0   6   0| 663k   10M|   0     0 |1511007220
  3   7  84   0   6   0| 656k   10M|   0     0 |1511007221
  2   5  86   2   5   0| 639k 9997k|   0    20k|1511007222
  2   7  85   0   6   0| 657k   10M|   0     0 |1511007223
  3   6  85   0   6   0| 655k   10M|   0     0 |1511007224
  2   5  88   0   5   0| 594k 9334k|   0     0 |1511007225
  2   6  86   0   6   0| 659k   10M|   0     0 |1511007226
  3   7  85   0   5   0| 662k   10M|   0     0 |1511007227
  2   6  85   1   6   0| 645k   10M|   0    12k|1511007228
  3   6  86   0   5   0| 644k   10M|   0     0 |1511007229
  2   5  88   0   5   0| 617k 9832k|   0     0 |1511007230
  2   6  85   0   7   0| 648k   10M|   0     0 |1511007231
  3   6  86   0   5   0| 663k   10M|   0     0 |1511007232
  2   7  83   2   6   0| 638k   10M|   0    12k|1511007233
  3   6  85   0   6   0| 658k   10M|   0    20k|1511007234
  2   6  86   0   6   0| 653k   10M|   0     0 |1511007235
  3   6  85   0   6   0| 670k   10M|   0     0 |1511007236
  2   7  86   0   5   0| 631k 9968k|   0     0 |1511007237
  2   6  86   0   6   0| 674k   10M|   0     0 |1511007238
  3   6  81   5   5   0| 643k   10M|   0    12k|1511007239
  2   5  88   0   5   0| 594k 9448k|   0     0 |1511007240
  2   6  86   0   6   0| 668k   10M|   0     0 |1511007241
  3   7  85   0   5   0| 647k   10M|   0     0 |1511007242
  2   6  86   0   6   0| 649k   10M|   0     0 |1511007243
  2   6  86   0   6   0| 662k   10M|   0     0 |1511007244
  3   6  84   2   5   0| 632k 9957k|   0    12k|1511007245
  2   6  86   0   6   0| 661k   10M|   0     0 |1511007246
  2   6  86   0   6   0| 650k   10M|   0     0 |1511007247
  3   6  85   0   6   0| 632k   10M|   0     0 |1511007248
  2   7  86   0   5   0| 653k   10M|   0     0 |1511007249
  2   6  86   0   6   0| 665k   10M|   0     0 |1511007250
  3   6  83   2   6   0| 646k   10M|   0    12k|1511007251
  2   6  87   0   5   0| 638k   10M|   0     0 |1511007252
  3   6  85   0   6   0| 660k   10M|   0     0 |1511007253
  2   6  86   0   6   0| 649k   10M|   0  8192B|1511007254
  3   6  85   0   6   0| 605k 9432k|   0     0 |1511007255
  2   7  85   0   6   0| 673k   11M|   0     0 |1511007256
  2   6  85   2   5   0| 651k   10M|   0    20k|1511007257
  3   6  85   0   6   0| 660k   10M|   0     0 |1511007258
  2   6  87   0   5   0| 669k   10M|   0     0 |1511007259
  2   6  86   0   6   0| 642k   10M|   0     0 |1511007260
  3   6  85   0   6   0| 631k 9980k|   0     0 |1511007261
  2   6  87   0   5   0| 646k   10M|   0     0 |1511007262
  2   6  84   2   6   0| 639k   10M|   0    12k|1511007263
  3   6  85   0   6   0| 678k   11M|   0     0 |1511007264
  3   7  84   0   6   0| 658k   10M|   0     0 |1511007265
  2   6  86   0   6   0| 648k   10M|   0     0 |1511007266
  2   6  87   0   5   0| 592k 9721k|   0     0 |1511007267
  3   6  85   0   6   0| 658k   10M|   0     0 |1511007268
  2   6  84   2   6   0| 660k   10M|   0    24k|1511007269
  3   6  86   0   5   0| 605k 9947k|   0     0 |1511007270
  2   6  86   0   6   0| 661k   11M|   0     0 |1511007271
  2   7  85   0   6   0| 650k   10M|   0     0 |1511007272
  3   6  85   0   6   0| 668k   10M|   0     0 |1511007273
  3   6  85   0   6   0| 660k   10M|   0     0 |1511007274
