PING MIDDLEWARE 1
mw1 > client1
PING 10.0.0.9 (10.0.0.9) 56(84) bytes of data.
64 bytes from 10.0.0.9: icmp_seq=1 ttl=64 time=0.808 ms
64 bytes from 10.0.0.9: icmp_seq=2 ttl=64 time=0.778 ms
64 bytes from 10.0.0.9: icmp_seq=3 ttl=64 time=0.725 ms
64 bytes from 10.0.0.9: icmp_seq=4 ttl=64 time=0.752 ms
64 bytes from 10.0.0.9: icmp_seq=5 ttl=64 time=0.918 ms
64 bytes from 10.0.0.9: icmp_seq=6 ttl=64 time=2.19 ms
64 bytes from 10.0.0.9: icmp_seq=7 ttl=64 time=0.965 ms
64 bytes from 10.0.0.9: icmp_seq=8 ttl=64 time=0.864 ms
64 bytes from 10.0.0.9: icmp_seq=9 ttl=64 time=0.825 ms
64 bytes from 10.0.0.9: icmp_seq=10 ttl=64 time=0.698 ms
64 bytes from 10.0.0.9: icmp_seq=11 ttl=64 time=1.61 ms
64 bytes from 10.0.0.9: icmp_seq=12 ttl=64 time=0.764 ms
64 bytes from 10.0.0.9: icmp_seq=13 ttl=64 time=0.786 ms
64 bytes from 10.0.0.9: icmp_seq=14 ttl=64 time=0.895 ms
64 bytes from 10.0.0.9: icmp_seq=15 ttl=64 time=0.826 ms
64 bytes from 10.0.0.9: icmp_seq=16 ttl=64 time=0.760 ms
64 bytes from 10.0.0.9: icmp_seq=17 ttl=64 time=0.769 ms
64 bytes from 10.0.0.9: icmp_seq=18 ttl=64 time=1.01 ms
64 bytes from 10.0.0.9: icmp_seq=19 ttl=64 time=0.720 ms
64 bytes from 10.0.0.9: icmp_seq=20 ttl=64 time=0.807 ms
64 bytes from 10.0.0.9: icmp_seq=21 ttl=64 time=0.766 ms
64 bytes from 10.0.0.9: icmp_seq=22 ttl=64 time=0.757 ms
64 bytes from 10.0.0.9: icmp_seq=23 ttl=64 time=0.889 ms
64 bytes from 10.0.0.9: icmp_seq=24 ttl=64 time=0.743 ms
64 bytes from 10.0.0.9: icmp_seq=25 ttl=64 time=1.04 ms
64 bytes from 10.0.0.9: icmp_seq=26 ttl=64 time=0.744 ms
64 bytes from 10.0.0.9: icmp_seq=27 ttl=64 time=0.808 ms
64 bytes from 10.0.0.9: icmp_seq=28 ttl=64 time=0.750 ms
64 bytes from 10.0.0.9: icmp_seq=29 ttl=64 time=1.04 ms
64 bytes from 10.0.0.9: icmp_seq=30 ttl=64 time=0.767 ms
64 bytes from 10.0.0.9: icmp_seq=31 ttl=64 time=0.775 ms
mw1 > client2
PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=0.886 ms
