[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   1  97   0   1   0|   0     0 |3477B  634k|1511001961
  3   7  80   0  10   0|9086k  602k|   0     0 |1511001962
 10  11  54   0  25   0|  13M  895k|   0     0 |1511001963
  7  10  67   0  16   0|  14M  955k|   0     0 |1511001964
  5   8  74   4   9   0|  13M  862k|   0    36k|1511001965
  6   8  73   0  13   0|  14M  919k|   0     0 |1511001966
  6   9  69   0  16   0|  14M  968k|   0     0 |1511001967
  6   9  76   0   9   0|  14M  946k|   0     0 |1511001968
  7  11  59   0  23   0|  13M  912k|   0     0 |1511001969
  9  10  59   0  22   0|  14M  946k|   0  4096B|1511001970
  8  12  55   1  24   0|  14M  950k|   0    12k|1511001971
  7  10  66   0  17   0|  14M  954k|   0     0 |1511001972
  5  11  68   0  16   0|  14M  965k|   0     0 |1511001973
  6  10  68   0  16   0|  14M  941k|   0     0 |1511001974
  7  10  63   0  19   0|  14M  935k|   0     0 |1511001975
  9  13  48   0  31   0|  13M  899k|   0  4096B|1511001976
 10  14  47   0  29   0|  13M  904k|   0     0 |1511001977
  7  11  68   1  13   0|  13M  906k|   0    12k|1511001978
  8  10  66   0  16   0|  15M  979k|   0     0 |1511001979
  5  12  64   0  19   0|  14M  951k|   0     0 |1511001980
  9  12  52   0  27   0|  13M  898k|   0    28k|1511001981
 10  10  59   0  21   0|  14M  940k|   0     0 |1511001982
  7   9  64   3  17   0|  14M  966k|   0    12k|1511001983
  8  11  57   0  24   0|  14M  935k|   0     0 |1511001984
  9  10  55   0  26   0|  14M  927k|   0     0 |1511001985
  7  11  65   0  17   0|  14M  935k|   0     0 |1511001986
  8  11  61   0  20   0|  14M  920k|   0     0 |1511001987
  7   9  67   0  17   0|  14M  960k|   0     0 |1511001988
  5   7  79   0   9   0|  15M 1024k|   0     0 |1511001989
  4   7  81   2   6   0|  13M  896k|   0    12k|1511001990
  5   9  73   0  13   0|  14M  951k|   0     0 |1511001991
  8  14  53   0  25   0|  14M  915k|   0     0 |1511001992
  7  11  60   0  22   0|  14M  921k|   0     0 |1511001993
  6   9  69   0  16   0|  14M  948k|   0     0 |1511001994
  8  11  54   1  26   0|  14M  920k|   0    12k|1511001995
  6  10  58   0  26   0|  13M  907k|   0     0 |1511001996
  6  10  65   0  19   0|  13M  862k|   0     0 |1511001997
  7   9  74   0  10   0|  15M 1001k|   0  8192B|1511001998
  7   9  67   0  17   0|  14M  942k|   0     0 |1511001999
  9  13  52   0  26   0|  14M  929k|   0     0 |1511002000
  8  10  58   0  24   0|  13M  896k|   0     0 |1511002001
  8  12  60   1  19   0|  14M  941k|   0    20k|1511002002
  9  10  56   0  25   0|  14M  935k|   0     0 |1511002003
  7  12  61   0  20   0|  14M  952k|   0     0 |1511002004
  6  10  70   0  14   0|  14M  931k|   0     0 |1511002005
  8  13  56   0  23   0|  13M  908k|   0     0 |1511002006
 11  11  49   3  26   0|  13M  881k|   0    12k|1511002007
  8  12  54   0  26   0|  14M  926k|   0     0 |1511002008
  8   9  66   0  17   0|  14M  977k|   0     0 |1511002009
  7  10  64   0  19   0|  15M 1000k|   0     0 |1511002010
  7  12  60   0  21   0|  14M  958k|   0     0 |1511002011
  7  11  63   0  19   0|  14M  935k|   0     0 |1511002012
  6  10  71   0  13   0|  14M  927k|   0     0 |1511002013
  8  12  57   2  21   0|  14M  909k|   0    12k|1511002014
  8  11  60   0  21   0|  14M  921k|   0     0 |1511002015
  7  10  60   0  23   0|  13M  890k|   0     0 |1511002016
  7  12  61   0  19   0|  13M  870k|   0     0 |1511002017
  8  12  57   0  23   0|  14M  931k|   0     0 |1511002018
  8  11  58   2  22   0|  14M  928k|   0    12k|1511002019
