Threads: 64, Sharded reads: false, Number of Memcached servers: 3.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
 68891      0      0       0  68891  68891   6142.04   768.51   5343.69     14
  8458      0      0       0   8458   8458   5722.86   758.57   4941.15      8
  8224      0      0       0   8224   8224   6045.06  1023.34   4991.77      9
  8394      0      0       0   8394   8394   6033.81   836.77   5170.54      6
  8429      0      0       0   8429   8429   5557.20   658.05   4873.47      0
  8670      0      0       0   8670   8670   5717.72   568.24   5120.32      8
  8186      0      0       0   8186   8186   5818.60   576.70   5219.60      8
  8151      0      0       0   8151   8151   5839.03   639.38   5176.99      0
  3428      0      0       0   3428   3428   6060.96   693.28   5336.83      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
     0      0      0       0      0      0       NaN      NaN       NaN      8
   471      0      0       0    471    471 1861556.15 226119.42 1635361.73      0
  7645      0      0       0   7645   7645  17360.02   632.15  16702.88      5
  7421      0      0       0   7421   7421   6579.75   707.42   5839.07      0
  7902      0      0       0   7902   7902   6287.85   673.79   5590.90      6
  8480      0      0       0   8480   8480   5965.85   677.28   5266.90      0
  7912      0      0       0   7912   7912   6350.61   603.04   5717.91      4
  7818      0      0       0   7818   7818   6363.33   734.53   5602.79     12
  7896      0      0       0   7896   7896   6640.72   702.26   5908.65      0
  8075      0      0       0   8075   8075   6098.13   679.26   5392.28      2
  8223      0      0       0   8223   8223   5741.07   665.45   5052.15      9
