[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  3   5  89   0   3   0|   0     0 |3988B 3560k|1511005745
  5   3  92   0   0   0|  14k   26k|   0  4096B|1511005746
  0   0 100   0   0   0|   0     0 |   0     0 |1511005747
 24  12  58   0   6   0|6068k   15M|   0   116k|1511005748
 12  11  70   0   8   0|8549k   22M|   0     0 |1511005749
  8  11  73   0   8   0|8744k   22M|   0   140k|1511005750
  7  10  74   0   8   0|8982k   22M|   0     0 |1511005751
  6  10  74   0   9   0|9288k   23M|   0     0 |1511005752
  5  10  76   0   9   0|8862k   22M|   0    20k|1511005753
  4   9  79   0   8   0|9244k   23M|   0     0 |1511005754
  5  10  77   0   8   0|9352k   23M|   0     0 |1511005755
 10  34  50   0   6   0|5855k   15M|   0     0 |1511005756
  4  11  76   0   9   0|9120k   23M|   0     0 |1511005757
  4  10  77   1   8   0|9185k   23M|   0     0 |1511005758
  4  10  77   0   8   0|9223k   23M|   0    16k|1511005759
  5  11  75   0   9   0|9209k   23M|   0    80k|1511005760
  4  10  77   1   8   0|8814k   22M|   0     0 |1511005761
  4  10  76   0   9   0|8603k   22M|   0     0 |1511005762
  4  10  78   0   8   0|8895k   22M|   0     0 |1511005763
  4  10  76   1   9   0|8735k   22M|   0    28k|1511005764
  4  10  77   0   9   0|9198k   23M|   0     0 |1511005765
  4  10  77   0   8   0|9151k   23M|   0     0 |1511005766
  4  10  79   0   8   0|8987k   22M|   0     0 |1511005767
  4  11  77   0   9   0|8921k   22M|   0     0 |1511005768
  4  11  77   0   8   0|9116k   23M|   0    16k|1511005769
  4  10  78   0   9   0|9365k   23M|   0    32k|1511005770
  4  10  77   0   9   0|8585k   22M|   0     0 |1511005771
  5  11  76   0   8   0|8887k   22M|   0     0 |1511005772
  4   9  79   0   8   0|8841k   22M|   0     0 |1511005773
  4   9  78   0   9   0|9033k   22M|   0    24k|1511005774
  4   9  79   0   8   0|9340k   23M|   0    16k|1511005775
  4  10  77   0   9   0|8889k   22M|   0     0 |1511005776
  4  10  78   0   8   0|8968k   22M|   0     0 |1511005777
  4   9  79   0   8   0|9043k   23M|   0     0 |1511005778
  4  11  77   0   9   0|8919k   22M|   0     0 |1511005779
  4  11  76   0   9   0|9095k   23M|   0    72k|1511005780
  4  10  79   0   8   0|8799k   22M|   0     0 |1511005781
  4  11  77   0   9   0|9328k   23M|   0     0 |1511005782
  4  10  77   0   9   0|9045k   23M|   0     0 |1511005783
  4   9  79   0   8   0|9003k   23M|   0     0 |1511005784
  4   9  78   0   9   0|9343k   23M|   0    80k|1511005785
  4  10  78   0   9   0|8588k   21M|   0     0 |1511005786
  4  10  78   0   9   0|9105k   23M|   0     0 |1511005787
  4   9  80   0   8   0|8278k   21M|   0     0 |1511005788
  4   9  78   0   8   0|9145k   23M|   0     0 |1511005789
  4  10  77   0   9   0|9028k   23M|   0    16k|1511005790
  4  10  78   0   9   0|9194k   23M|   0     0 |1511005791
  4  10  78   0   8   0|9139k   23M|   0     0 |1511005792
  4  10  78   0   9   0|9251k   23M|   0     0 |1511005793
  4  10  77   0   9   0|9240k   23M|   0     0 |1511005794
  4  11  75   0   9   0|8921k   22M|   0    24k|1511005795
  4  11  75   0   9   0|9381k   24M|   0     0 |1511005796
  4  10  76   0  10   0|9677k   24M|   0     0 |1511005797
  4  10  78   0   9   0|9154k   23M|   0     0 |1511005798
  4  10  78   0   8   0|9153k   23M|   0     0 |1511005799
  4  10  77   0   9   0|9244k   23M|   0    28k|1511005800
  4  10  76   0  10   0|8892k   22M|   0     0 |1511005801
  4  10  78   0   9   0|8972k   22M|   0     0 |1511005802
  4  10  77   0   8   0|9218k   23M|   0     0 |1511005803
  4  10  77   0   9   0|9135k   23M|   0     0 |1511005804
  4  10  77   0   9   0|9284k   23M|   0    16k|1511005805
  4  12  75   0   9   0|9094k   23M|   0     0 |1511005806
  4  11  76   0   9   0|9069k   23M|   0     0 |1511005807
  4  10  77   0   9   0|9197k   23M|   0     0 |1511005808
  4  10  79   0   8   0|8262k   21M|   0     0 |1511005809
  4  10  77   0   9   0|9350k   23M|   0    36k|1511005810
  4  10  77   0   9   0|9131k   23M|   0     0 |1511005811
  4  10  77   0   9   0|9322k   23M|   0     0 |1511005812
  4  10  77   0   9   0|8971k   23M|   0     0 |1511005813
  4  10  78   0   9   0|9165k   23M|   0     0 |1511005814
  4  10  76   1   9   0|9171k   23M|   0    36k|1511005815
  4  10  77   0   9   0|8837k   22M|   0     0 |1511005816
  4  15  74   0   8   0|8521k   21M|   0     0 |1511005817
  4  10  78   0   9   0|9176k   23M|   0     0 |1511005818
  4  10  78   0   9   0|9030k   23M|   0     0 |1511005819
  4  10  76   0  10   0|9510k   24M|   0    36k|1511005820
  4  10  77   0   9   0|9283k   23M|   0     0 |1511005821
  4  12  73   1  10   0|7723k   19M|   0     0 |1511005822
  6  11  75   0   9   0|8484k   21M|   0     0 |1511005823
  4  11  77   0   9   0|9060k   23M|   0     0 |1511005824
  4  10  77   0   9   0|9489k   24M|   0    20k|1511005825
  4  12  76   0   9   0|8986k   22M|   0     0 |1511005826
  4  10  78   0   9   0|9209k   23M|   0     0 |1511005827
  4  10  77   0   9   0|9153k   23M|   0     0 |1511005828
  3  10  79   0   8   0|9034k   23M|   0     0 |1511005829
  4  10  77   1   9   0|9080k   23M|   0    36k|1511005830
  4  10  78   0   8   0|8803k   22M|   0     0 |1511005831
