[7l----total-cpu-usage---- -net/total- -dsk/total- --epoch---
usr sys idl wai hiq siq| recv  send| read  writ|  epoch   
  1   1  98   0   0   0|   0     0 |3846B 1034k|1510996164
  2   4  93   0   2   0| 240k 1994k|   0     0 |1510996165
  2   3  92   0   2   0| 238k 2074k|   0     0 |1510996166
  3   4  92   0   2   0| 205k 2270k|   0     0 |1510996167
  2   4  91   2   2   0| 209k 2003k|   0    40k|1510996168
  3   4  92   0   2   0| 199k 2249k|   0     0 |1510996169
  3   4  92   0   2   0| 203k 2290k|   0     0 |1510996170
  3   4  92   0   2   0| 193k 2311k|   0     0 |1510996171
  3   4  92   0   2   0| 209k 2207k|   0     0 |1510996172
  3   4  90   2   2   0| 201k 2242k|   0    16k|1510996173
  2   3  92   0   2   0| 205k 2156k|   0     0 |1510996174
  3   4  92   0   2   0| 199k 2298k|   0     0 |1510996175
  3   4  92   0   2   0| 203k 2220k|   0     0 |1510996176
  3   4  92   0   2   0| 205k 2223k|   0     0 |1510996177
  3   4  91   0   3   0| 197k 2250k|   0     0 |1510996178
  2   4  90   1   2   0| 197k 2307k|   0    16k|1510996179
  3   4  91   0   2   0| 198k 2233k|   0     0 |1510996180
  3   4  92   0   2   0| 207k 2279k|   0     0 |1510996181
  3   4  92   0   2   0| 201k 2278k|   0     0 |1510996182
  3   3  93   0   2   0| 198k 2236k|   0     0 |1510996183
  3   4  91   1   2   0| 201k 2230k|   0    16k|1510996184
  3   4  92   0   3   0| 203k 2264k|   0     0 |1510996185
  3   4  93   0   2   0| 211k 2246k|   0     0 |1510996186
  2   4  92   0   2   0| 202k 2258k|   0     0 |1510996187
  3   4  92   0   2   0| 205k 2297k|   0    32k|1510996188
  2   3  90   1   2   0| 204k 2222k|   0    16k|1510996189
  3   4  92   0   2   0| 199k 2299k|   0     0 |1510996190
  3   4  92   0   2   0| 205k 2199k|   0     0 |1510996191
  3   4  92   0   2   0| 198k 2286k|   0     0 |1510996192
  2   3  92   0   2   0| 195k 2333k|   0  8192B|1510996193
  3   4  92   0   2   0| 202k 2260k|   0     0 |1510996194
  3   4  90   2   2   0| 213k 2170k|   0    16k|1510996195
  3   4  92   0   2   0| 205k 2225k|   0     0 |1510996196
  3   4  92   0   2   0| 202k 2319k|   0     0 |1510996197
  3   4  92   0   3   0| 202k 2168k|   0    20k|1510996198
  3   4  92   0   2   0| 209k 2160k|   0     0 |1510996199
  2   3  89   2   2   0| 216k 2068k|   0    24k|1510996200
  3   4  92   0   2   0| 211k 2205k|   0     0 |1510996201
  3   4  92   0   2   0| 204k 2198k|   0     0 |1510996202
  3   3  93   0   2   0| 220k 2034k|   0     0 |1510996203
  2   4  92   0   3   0| 203k 2192k|   0     0 |1510996204
  2   4  92   0   2   0| 198k 2338k|   0     0 |1510996205
  3   4  91   1   2   0| 201k 2274k|   0    16k|1510996206
  3   4  92   0   3   0| 207k 2267k|   0     0 |1510996207
  2   4  92   0   3   0| 205k 2289k|   0     0 |1510996208
  3   4  92   0   2   0| 200k 2303k|   0     0 |1510996209
  3   4  92   0   2   0| 205k 2166k|   0     0 |1510996210
  2   4  90   2   2   0| 209k 2223k|   0    16k|1510996211
  3   3  91   0   2   0| 202k 2267k|   0     0 |1510996212
  2   3  93   0   2   0| 197k 2161k|   0     0 |1510996213
  2   4  92   0   2   0| 209k 2210k|   0     0 |1510996214
  3   4  92   0   2   0| 197k 2304k|   0     0 |1510996215
  3   4  92   0   2   0| 205k 2254k|   0     0 |1510996216
  3   4  91   2   2   0| 198k 2315k|   0    16k|1510996217
  3   4  92   0   3   0| 206k 2250k|   0     0 |1510996218
  4   5  89   0   4   0| 197k 2039k|   0     0 |1510996219
  3   4  92   0   3   0| 200k 2261k|   0     0 |1510996220
  3   4  93   0   2   0| 207k 2181k|   0     0 |1510996221
  3   4  90   2   3   0| 204k 2248k|   0    16k|1510996222
  3   4  92   0   2   0| 203k 2206k|   0  8192B|1510996223
  3   4  92   0   2   0| 206k 2188k|   0     0 |1510996224
  3   3  92   0   2   0| 209k 2225k|   0     0 |1510996225
  2   4  91   0   2   0| 205k 2210k|   0     0 |1510996226
  3   4  91   1   2   0| 199k 2309k|   0    16k|1510996227
  3   4  92   0   2   0| 206k 2125k|   0     0 |1510996228
  3   3  92   0   2   0| 197k 2173k|   0     0 |1510996229
  2   4  92   0   3   0| 197k 2284k|   0     0 |1510996230
  3   4  91   0   2   0| 199k 2303k|   0     0 |1510996231
  2   3  91   1   2   0| 201k 2148k|   0    16k|1510996232
  3   4  91   0   3   0| 198k 2320k|   0    24k|1510996233
  3   3  91   0   2   0| 199k 2293k|   0     0 |1510996234
  3   4  92   0   2   0| 196k 2339k|   0     0 |1510996235
  3   4  92   0   2   0| 208k 2221k|   0     0 |1510996236
  3   4  92   0   2   0| 199k 2221k|   0     0 |1510996237
  3   4  89   3   3   0| 210k 2192k|   0    24k|1510996238
  3   4  92   0   3   0| 205k 2180k|   0     0 |1510996239
