Operation,Clients,Throughput,Latency
read,1,8995.86249999975,1.069208333333375
read,2,11130.80416666375,1.529166666666375
read,4,11135.68749999875,2.8503749999995
read,8,11131.18333333,5.06101388888825
read,16,11133.18333333625,9.84948611111125
read,24,11130.7208333375,13.165222222225
read,32,11138.70833333875,17.2737638888925
write,1,9205.09583333325,1.074930555555375
write,2,14301.62916666875,1.250513888888625
write,4,17190.7291666675,1.892208333332875
write,8,22368.62916666875,2.70984722222175
write,16,29989.80416667,3.749611111110875
write,24,32727.96666666625,5.152736111111875
write,32,34111.475,6.2376527777782504
