Operation,Clients,Average Throughtput,Std Throughput,Average Response Time,Std Response Time
read,1,8995.8625,638.6129859846266,1.0692083333333333,0.8196334272990798
read,2,11130.804166666667,97.34856915035085,1.5291666666666666,1.0160720271688386
read,4,11135.6875,73.91756016561166,2.8503750000000005,1.6735162812895807
read,8,11131.183333333332,72.90654111803944,5.06101388888889,2.227355891999755
read,16,11133.183333333332,80.21863255979187,9.84948611111111,3.940277397141873
read,24,11130.720833333333,89.41699350423343,13.165222222222221,1.8051977050846533
read,32,11138.708333333334,79.40931469801843,17.273763888888887,0.8750854517075122
write,1,9205.095833333333,573.126647397817,1.0749305555555555,0.8344463377480028
write,2,14301.629166666668,551.8469786532088,1.250513888888889,0.8784115372283646
write,4,17190.729166666668,556.7816718500073,1.892208333333333,1.1648216352443153
write,8,22368.629166666666,489.43872728360293,2.7098472222222223,1.4453104267789096
write,16,29989.804166666665,492.0045829115794,3.7496111111111117,1.6391860369872964
write,24,32727.966666666667,511.23894033452245,5.152736111111111,2.240213490056417
write,32,34111.475,497.5350194777193,6.237652777777777,2.1758049789103264
