  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
     0   7438      0       0   7438   7366   2470.87    26.32   2416.93      0
     0    872      0       0    872    872   2495.14    14.98   2463.25      0
     0    868      0       0    868    848   2566.62    30.97   2477.63      0
     0    886      0       0    886    874   2421.85    21.92   2381.15      0
     0    881      0       0    881    877   2436.30    13.42   2382.26      0
     0    908      0       0    908    908   2317.70    12.34   2287.41      0
     0    902      0       0    902    894   2367.42    29.60   2289.62      0
     0    904      0       0    904    896   2352.36    15.75   2317.67      0
     0    894      0       0    894    874   2398.31    12.47   2356.39      0
     0    882      0       0    882    874   2442.44    12.00   2411.44      0
     0    894      0       0    894    893   2407.94    10.94   2378.73      0
     0    884      0       0    884    877   2428.42    12.39   2395.37      0
     0    904      0       0    904    900   2363.86    14.78   2329.97      0
     0    910      0       0    910    906   2363.50    27.94   2313.22      3
     0    898      0       0    898    890   2387.19    39.97   2327.52      0
     0    920      0       0    920    916   2339.58    17.27   2297.82      0
     0    872      0       0    872    864   2423.86    19.74   2384.09      0
     0    879      0       0    879    879   2437.82    20.69   2392.87      0
     0    852      0       0    852    852   2527.51    19.81   2488.74      0
     0    886      0       0    886    882   2392.09    34.89   2330.67      0
     0    912      0       0    912    912   2368.08    15.79   2330.31      0
     0    878      0       0    878    870   2475.75    10.88   2446.21      0
     0    856      0       0    856    856   2540.63    16.51   2505.25      0
     0    867      0       0    867    859   2465.24    14.70   2432.39      0
     0    862      0       0    862    857   2449.59    18.62   2410.30      0
     0    860      0       0    860    849   2478.61    29.22   2427.89      0
     0    886      0       0    886    878   2425.23    32.31   2373.01      0
     0    880      0       0    880    864   2453.75    14.13   2418.20      0
     0    886      0       0    886    882   2443.09    12.75   2412.01      0
     0    872      0       0    872    868   2460.73    13.48   2421.06      0
     0    869      0       0    869    861   2471.72    27.94   2422.66      0
     0    868      0       0    868    864   2474.07    32.94   2420.97      0
     0    855      0       0    855    847   2511.85    29.64   2447.22      2
     0    879      0       0    879    879   2467.52    22.43   2424.00      0
     0    865      0       0    865    840   2460.08    11.14   2430.94      0
     0    862      0       0    862    843   2478.87    16.08   2434.86      0
     0    858      0       0    858    840   2513.70    18.63   2473.39      0
     0    832      0       0    832    830   2542.23    11.06   2513.41      0
     0    850      0       0    850    846   2537.32    11.86   2504.49      0
     0    872      0       0    872    857   2446.61    11.63   2417.35      0
     0    864      0       0    864    861   2501.11    54.36   2418.36      0
     0    890      0       0    890    880   2435.78    34.95   2373.15      0
     0    884      0       0    884    878   2415.67    15.70   2376.40      0
     0    888      0       0    888    877   2475.95    43.11   2410.96      0
     0    876      0       0    876    855   2430.43    20.17   2386.55      0
     0    872      0       0    872    868   2483.30    24.09   2438.66      0
     0    865      0       0    865    853   2480.88    43.83   2413.51      0
     0    874      0       0    874    872   2447.30    62.57   2360.23      0
     0    882      0       0    882    874   2433.40    32.98   2374.27      0
     0    870      0       0    870    866   2470.88    15.70   2430.50      0
     0    882      0       0    882    866   2432.24    24.15   2388.17      0
     0    880      0       0    880    880   2415.30    12.63   2380.95      0
     0    861      0       0    861    857   2503.67    11.06   2470.31      0
     0    849      0       0    849    845   2515.93    11.14   2483.23      0
     0    865      0       0    865    865   2466.65    19.44   2427.53      0
     0    830      0       0    830    830   2592.88    19.85   2550.97      0
     0    873      0       0    873    865   2416.56    12.79   2381.15      0
     0    840      0       0    840    820   2521.90    12.08   2488.02      0
     0    848      0       0    848    840   2539.81    12.55   2498.38      0
     0    856      0       0    856    846   2516.90    14.37   2483.32      0
     0    850      0       0    850    848   2509.16    11.25   2473.41      0
     0    858      0       0    858    850   2476.50    14.77   2440.01      0
     0    872      0       0    872    868   2457.08    21.04   2410.49      0
     0    867      0       0    867    861   2507.24    21.23   2466.31      0
     0    950      0       0    950    944   2270.43    15.48   2234.58      0
     0    928      0       0    928    928   2354.08    51.92   2273.06      0
     0    911      0       0    911    907   2331.75    12.31   2297.79      0
     0    892      0       0    892    892   2403.03    20.15   2360.77      0
     0    876      0       0    876    876   2464.97    33.78   2409.26      0
     0    882      0       0    882    870   2390.24    13.76   2356.05      0
     0    895      0       0    895    891   2403.14    10.98   2372.94      0
     0    889      0       0    889    889   2401.44    11.69   2338.01      0
     0    884      0       0    884    878   2429.11    12.70   2392.02      0
     0    887      0       0    887    881   2460.88    36.87   2398.26      0
     0    860      0       0    860    856   2462.86    24.72   2416.84      0
     0    836      0       0    836    824   2451.32    15.44   2412.80      0
     0    860      0       0    860    847   2484.63    15.18   2443.97      0
     0    881      0       0    881    874   2452.20    18.10   2412.10      0
     0    888      0       0    888    882   2429.16    11.69   2395.52      0
     0    860      0       0    860    856   2446.63    11.13   2411.29      0
     0    857      0       0    857    845   2520.34    15.02   2471.62      0
     0    880      0       0    880    870   2433.20    34.89   2377.26      0
     0    108      0       0    108    108   2635.30    26.93   2558.70      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
