Throughput,Latency
1707,4.67
1718,4.66
1736,4.59
1722,4.63
1759,4.55
1746,4.57
1728,4.62
1681,4.75
1684,4.75
1730,4.6
1707,4.69
1720,4.65
1724,4.64
1763,4.54
1755,4.54
1729,4.63
1727,4.62
1727,4.62
1758,4.55
1759,4.5
1773,4.54
1758,4.54
1794,4.45
1724,4.64
1743,4.58
1777,4.5
1769,4.5
1788,4.48
1769,4.5
1769,4.53
1767,4.52
1775,4.5
1782,4.47
1748,4.58
1695,4.72
1678,4.75
1695,4.71
1759,4.53
1783,4.5
1748,4.56
1745,4.58
1770,4.51
1739,4.58
1762,4.5
1732,4.66
1753,4.55
1765,4.53
1767,4.51
1746,4.58
1726,4.63
1757,4.55
1767,4.52
1745,4.57
1724,4.63
1829,4.37
1790,4.46
1746,4.57
1725,4.64
1735,4.59
1769,4.53
1747,4.57
1795,4.44
1779,4.5
1746,4.58
1743,4.58
1598,5.01
1735,4.61
1741,4.59
1731,4.61
1721,4.64
1750,4.56
1722,4.64
1726,4.63
1765,4.54
1774,4.5
1723,4.63
1700,4.71
1711,4.66
1707,4.68
1738,4.59
