[RUN #1 1%,   0 secs]  2 threads:        1589 ops,    1591 (avg:    1591) ops/sec, 1.59MB/sec (avg: 1.59MB/sec),  5.01 (avg:  5.01) msec latency
[RUN #1 2%,   2 secs]  2 threads:        3308 ops,    1712 (avg:    1652) ops/sec, 1.74MB/sec (avg: 1.67MB/sec),  4.67 (avg:  4.83) msec latency
[RUN #1 3%,   3 secs]  2 threads:        4949 ops,    1634 (avg:    1646) ops/sec, 1.66MB/sec (avg: 1.66MB/sec),  4.89 (avg:  4.85) msec latency
[RUN #1 4%,   4 secs]  2 threads:        6634 ops,    1678 (avg:    1654) ops/sec, 1.71MB/sec (avg: 1.68MB/sec),  4.77 (avg:  4.83) msec latency
[RUN #1 6%,   5 secs]  2 threads:        8358 ops,    1717 (avg:    1666) ops/sec, 1.72MB/sec (avg: 1.69MB/sec),  4.64 (avg:  4.79) msec latency
[RUN #1 7%,   6 secs]  2 threads:       10111 ops,    1746 (avg:    1680) ops/sec, 1.79MB/sec (avg: 1.70MB/sec),  4.57 (avg:  4.75) msec latency
[RUN #1 8%,   7 secs]  2 threads:       11851 ops,    1733 (avg:    1687) ops/sec, 1.78MB/sec (avg: 1.71MB/sec),  4.61 (avg:  4.73) msec latency
[RUN #1 9%,   8 secs]  2 threads:       13575 ops,    1717 (avg:    1691) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.67 (avg:  4.72) msec latency
[RUN #1 10%,   9 secs]  2 threads:       15331 ops,    1748 (avg:    1697) ops/sec, 1.78MB/sec (avg: 1.73MB/sec),  4.56 (avg:  4.71) msec latency
[RUN #1 11%,  10 secs]  2 threads:       17096 ops,    1757 (avg:    1703) ops/sec, 1.80MB/sec (avg: 1.73MB/sec),  4.55 (avg:  4.69) msec latency
[RUN #1 12%,  11 secs]  2 threads:       18852 ops,    1749 (avg:    1707) ops/sec, 1.76MB/sec (avg: 1.74MB/sec),  4.57 (avg:  4.68) msec latency
[RUN #1 13%,  12 secs]  2 threads:       20578 ops,    1719 (avg:    1708) ops/sec, 1.74MB/sec (avg: 1.74MB/sec),  4.65 (avg:  4.68) msec latency
[RUN #1 14%,  13 secs]  2 threads:       22306 ops,    1721 (avg:    1709) ops/sec, 1.76MB/sec (avg: 1.74MB/sec),  4.64 (avg:  4.67) msec latency
[RUN #1 16%,  14 secs]  2 threads:       24066 ops,    1752 (avg:    1712) ops/sec, 1.79MB/sec (avg: 1.74MB/sec),  4.57 (avg:  4.67) msec latency
[RUN #1 17%,  15 secs]  2 threads:       25812 ops,    1739 (avg:    1714) ops/sec, 1.78MB/sec (avg: 1.74MB/sec),  4.59 (avg:  4.66) msec latency
[RUN #1 18%,  16 secs]  2 threads:       27520 ops,    1701 (avg:    1713) ops/sec, 1.72MB/sec (avg: 1.74MB/sec),  4.71 (avg:  4.66) msec latency
[RUN #1 19%,  17 secs]  2 threads:       29285 ops,    1757 (avg:    1716) ops/sec, 1.76MB/sec (avg: 1.74MB/sec),  4.55 (avg:  4.66) msec latency
[RUN #1 20%,  18 secs]  2 threads:       31024 ops,    1732 (avg:    1717) ops/sec, 1.77MB/sec (avg: 1.74MB/sec),  4.62 (avg:  4.65) msec latency
[RUN #1 21%,  19 secs]  2 threads:       32767 ops,    1735 (avg:    1718) ops/sec, 1.77MB/sec (avg: 1.75MB/sec),  4.60 (avg:  4.65) msec latency
[RUN #1 22%,  20 secs]  2 threads:       34476 ops,    1702 (avg:    1717) ops/sec, 1.74MB/sec (avg: 1.75MB/sec),  4.69 (avg:  4.65) msec latency
[RUN #1 23%,  21 secs]  2 threads:       36238 ops,    1755 (avg:    1719) ops/sec, 1.79MB/sec (avg: 1.75MB/sec),  4.56 (avg:  4.65) msec latency
[RUN #1 25%,  22 secs]  2 threads:       37959 ops,    1714 (avg:    1718) ops/sec, 1.75MB/sec (avg: 1.75MB/sec),  4.65 (avg:  4.65) msec latency
[RUN #1 26%,  23 secs]  2 threads:       39703 ops,    1737 (avg:    1719) ops/sec, 1.76MB/sec (avg: 1.75MB/sec),  4.61 (avg:  4.65) msec latency
