  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
  6277      0      0       0   6277   6277   7933.91  5419.63   2496.55     42
  6221      0      0       0   6221   6221   7941.48  5420.76   2503.35     32
  6283      0      0       0   6283   6283   7882.14  5386.35   2480.60     32
  6353      0      0       0   6353   6353   7745.64  5279.79   2450.08     32
  6284      0      0       0   6284   6284   7905.57  5414.58   2475.33     32
  6466      0      0       0   6466   6466   7676.61  5251.30   2409.29     32
  6516      0      0       0   6516   6516   7587.31  5180.44   2391.00     32
  6361      0      0       0   6361   6361   7765.41  5302.62   2443.12     32
  6557      0      0       0   6557   6557   7458.70  5070.36   2371.98     32
  6482      0      0       0   6482   6482   7636.33  5215.15   2404.81     32
  6433      0      0       0   6433   6433   7678.83  5240.47   2423.47     32
  6289      0      0       0   6289   6289   7886.42  5396.97   2472.99     42
  6327      0      0       0   6327   6327   7851.99  5370.46   2465.74     29
  6366      0      0       0   6366   6366   7764.07  5301.23   2447.77     32
  6259      0      0       0   6259   6259   7902.95  5398.63   2488.32     32
  6377      0      0       0   6377   6377   7757.13  5301.91   2439.56     47
  6321      0      0       0   6321   6321   7768.23  5283.83   2467.18     32
  6538      0      0       0   6538   6538   7473.49  5076.87   2379.27     33
  6449      0      0       0   6449   6449   7659.12  5230.95   2409.82     36
  6429      0      0       0   6429   6429   7720.12  5279.74   2424.60     39
  6089      0      0       0   6089   6089   8137.26  5562.09   2553.84     32
  6240      0      0       0   6240   6240   7963.19  5449.50   2497.46     32
  6258      0      0       0   6258   6258   7934.87  5430.65   2487.43     32
  6287      0      0       0   6287   6287   7924.04  5431.01   2476.33     35
  6280      0      0       0   6280   6280   7933.28  5435.65   2480.61     32
  6092      0      0       0   6092   6092   8155.51  5589.80   2547.22     32
  6309      0      0       0   6309   6309   7841.83  5363.29   2460.90     16
  6148      0      0       0   6148   6148   7994.47  5445.02   2520.95     46
  6290      0      0       0   6290   6290   7671.98  5178.77   2474.52     32
  6325      0      0       0   6325   6325   7819.77  5338.30   2465.76     32
  6290      0      0       0   6290   6290   7875.74  5385.49   2468.32     32
  6176      0      0       0   6176   6176   8026.94  5487.47   2523.81     32
  6266      0      0       0   6266   6266   7894.33  5394.00   2484.76     32
  6073      0      0       0   6073   6073   8202.11  5618.12   2568.49     32
  6187      0      0       0   6187   6187   7974.26  5442.64   2513.90     32
  6254      0      0       0   6254   6254   7904.97  5398.95   2486.36     32
  6088      0      0       0   6088   6088   8118.21  5542.55   2555.56     32
  6244      0      0       0   6244   6244   7946.05  5431.81   2497.54     34
  6121      0      0       0   6121   6121   8073.69  5516.01   2537.55     43
  6172      0      0       0   6172   6172   8071.61  5530.07   2521.72     32
  6149      0      0       0   6149   6149   8023.21  5473.58   2528.72     32
  5942      0      0       0   5942   5942   8362.52  5726.52   2597.13     32
  6129      0      0       0   6129   6129   8085.38  5523.84   2544.43     32
  6246      0      0       0   6246   6246   7899.51  5392.73   2490.51     32
  6118      0      0       0   6118   6118   8027.54  5476.92   2533.57     48
  6145      0      0       0   6145   6145   8008.47  5446.26   2544.58     34
  6078      0      0       0   6078   6078   8129.03  5554.25   2554.53     48
  6088      0      0       0   6088   6088   8051.63  5476.06   2557.27     46
  6192      0      0       0   6192   6192   7911.44  5379.23   2511.60     37
  6208      0      0       0   6208   6208   7995.08  5467.75   2504.64     41
  6103      0      0       0   6103   6103   8108.96  5538.61   2550.37     32
  6102      0      0       0   6102   6102   8103.06  5533.97   2544.24     32
  6149      0      0       0   6149   6149   8069.24  5520.73   2528.11     32
  6205      0      0       0   6205   6205   7940.52  5412.97   2506.82     32
  6076      0      0       0   6076   6076   8134.94  5555.31   2562.03     32
  6167      0      0       0   6167   6167   8029.86  5489.97   2516.51     46
  6166      0      0       0   6166   6166   8047.91  5497.29   2517.13     32
  6035      0      0       0   6035   6035   8223.61  5627.52   2572.42     32
  6283      0      0       0   6283   6283   7810.55  5313.05   2473.76     32
  6084      0      0       0   6084   6084   8136.49  5559.99   2554.46     32
  6134      0      0       0   6134   6134   8081.44  5523.45   2532.77     32
  6063      0      0       0   6063   6063   8135.83  5556.07   2562.71     32
  6126      0      0       0   6126   6126   8099.52  5537.64   2540.60     32
  6207      0      0       0   6207   6207   7974.95  5452.81   2496.29     32
  6208      0      0       0   6208   6208   7982.06  5456.16   2499.95     37
  6127      0      0       0   6127   6127   8077.50  5519.86   2534.15     46
  6016      0      0       0   6016   6016   8277.23  5670.40   2583.93     32
  6262      0      0       0   6262   6262   7874.05  5375.71   2479.27     32
  6449      0      0       0   6449   6449   7634.17  5204.39   2411.87     44
  6318      0      0       0   6318   6318   7808.32  5326.76   2456.46     32
  6469      0      0       0   6469   6469   7650.90  5228.57   2406.62     48
  6364      0      0       0   6364   6364   7762.59  5296.24   2443.60     33
  6371      0      0       0   6371   6371   7754.06  5292.47   2446.28     32
  6352      0      0       0   6352   6352   7811.55  5345.97   2447.97     32
  6289      0      0       0   6289   6289   7890.78  5399.13   2476.98     32
  6364      0      0       0   6364   6364   7751.28  5289.51   2446.28     32
  6447      0      0       0   6447   6447   7659.93  5224.14   2420.19     32
  6488      0      0       0   6488   6488   7627.97  5211.88   2400.34     32
  6490      0      0       0   6490   6490   7611.20  5196.30   2399.26     32
  6568      0      0       0   6568   6568   7532.10  5146.86   2371.46     40
