[RUN #1 1%,   0 secs]  2 threads:        1520 ops,    1525 (avg:    1525) ops/sec, 1.55MB/sec (avg: 1.55MB/sec),  5.22 (avg:  5.22) msec latency
[RUN #1 2%,   2 secs]  2 threads:        3178 ops,    1651 (avg:    1588) ops/sec, 1.68MB/sec (avg: 1.61MB/sec),  4.86 (avg:  5.03) msec latency
[RUN #1 3%,   3 secs]  2 threads:        4830 ops,    1645 (avg:    1607) ops/sec, 1.67MB/sec (avg: 1.63MB/sec),  4.85 (avg:  4.97) msec latency
[RUN #1 4%,   4 secs]  2 threads:        6495 ops,    1658 (avg:    1620) ops/sec, 1.68MB/sec (avg: 1.64MB/sec),  4.82 (avg:  4.93) msec latency
[RUN #1 6%,   5 secs]  2 threads:        8213 ops,    1711 (avg:    1638) ops/sec, 1.74MB/sec (avg: 1.66MB/sec),  4.67 (avg:  4.88) msec latency
[RUN #1 7%,   6 secs]  2 threads:        9917 ops,    1697 (avg:    1648) ops/sec, 1.72MB/sec (avg: 1.67MB/sec),  4.72 (avg:  4.85) msec latency
[RUN #1 8%,   7 secs]  2 threads:       11605 ops,    1681 (avg:    1653) ops/sec, 1.71MB/sec (avg: 1.68MB/sec),  4.75 (avg:  4.84) msec latency
[RUN #1 9%,   8 secs]  2 threads:       13315 ops,    1703 (avg:    1659) ops/sec, 1.73MB/sec (avg: 1.68MB/sec),  4.68 (avg:  4.82) msec latency
[RUN #1 10%,   9 secs]  2 threads:       14958 ops,    1636 (avg:    1656) ops/sec, 1.66MB/sec (avg: 1.68MB/sec),  4.88 (avg:  4.82) msec latency
[RUN #1 11%,  10 secs]  2 threads:       16660 ops,    1695 (avg:    1660) ops/sec, 1.72MB/sec (avg: 1.69MB/sec),  4.72 (avg:  4.81) msec latency
[RUN #1 12%,  11 secs]  2 threads:       18373 ops,    1706 (avg:    1664) ops/sec, 1.73MB/sec (avg: 1.69MB/sec),  4.69 (avg:  4.80) msec latency
[RUN #1 13%,  12 secs]  2 threads:       20060 ops,    1680 (avg:    1666) ops/sec, 1.71MB/sec (avg: 1.69MB/sec),  4.75 (avg:  4.80) msec latency
[RUN #1 14%,  13 secs]  2 threads:       21716 ops,    1649 (avg:    1664) ops/sec, 1.67MB/sec (avg: 1.69MB/sec),  4.83 (avg:  4.80) msec latency
[RUN #1 16%,  14 secs]  2 threads:       23416 ops,    1693 (avg:    1666) ops/sec, 1.72MB/sec (avg: 1.69MB/sec),  4.74 (avg:  4.80) msec latency
[RUN #1 17%,  15 secs]  2 threads:       25092 ops,    1669 (avg:    1666) ops/sec, 1.69MB/sec (avg: 1.69MB/sec),  4.77 (avg:  4.79) msec latency
[RUN #1 18%,  16 secs]  2 threads:       26794 ops,    1695 (avg:    1668) ops/sec, 1.72MB/sec (avg: 1.69MB/sec),  4.73 (avg:  4.79) msec latency
[RUN #1 19%,  17 secs]  2 threads:       28473 ops,    1672 (avg:    1668) ops/sec, 1.70MB/sec (avg: 1.69MB/sec),  4.78 (avg:  4.79) msec latency
[RUN #1 20%,  18 secs]  2 threads:       30139 ops,    1659 (avg:    1668) ops/sec, 1.68MB/sec (avg: 1.69MB/sec),  4.82 (avg:  4.79) msec latency
[RUN #1 21%,  19 secs]  2 threads:       31854 ops,    1708 (avg:    1670) ops/sec, 1.73MB/sec (avg: 1.70MB/sec),  4.68 (avg:  4.78) msec latency
[RUN #1 22%,  20 secs]  2 threads:       33541 ops,    1680 (avg:    1670) ops/sec, 1.71MB/sec (avg: 1.70MB/sec),  4.76 (avg:  4.78) msec latency
[RUN #1 23%,  21 secs]  2 threads:       35220 ops,    1672 (avg:    1671) ops/sec, 1.70MB/sec (avg: 1.70MB/sec),  4.77 (avg:  4.78) msec latency
[RUN #1 25%,  22 secs]  2 threads:       36912 ops,    1685 (avg:    1671) ops/sec, 1.71MB/sec (avg: 1.70MB/sec),  4.76 (avg:  4.78) msec latency
