[RUN #1 10%,   9 secs]  2 threads:       14859 ops,    1680 (avg:    1643) ops/sec, 1.71MB/sec (avg: 1.67MB/sec),  4.76 (avg:  4.86) msec latency
[RUN #1 11%,  10 secs]  2 threads:       16588 ops,    1722 (avg:    1651) ops/sec, 1.75MB/sec (avg: 1.68MB/sec),  4.64 (avg:  4.84) msec latency
[RUN #1 12%,  11 secs]  2 threads:       18307 ops,    1706 (avg:    1656) ops/sec, 1.73MB/sec (avg: 1.68MB/sec),  4.67 (avg:  4.82) msec latency
[RUN #1 13%,  12 secs]  2 threads:       20024 ops,    1709 (avg:    1661) ops/sec, 1.73MB/sec (avg: 1.69MB/sec),  4.71 (avg:  4.81) msec latency
[RUN #1 15%,  13 secs]  2 threads:       21651 ops,    1620 (avg:    1658) ops/sec, 1.64MB/sec (avg: 1.68MB/sec),  4.93 (avg:  4.82) msec latency
[RUN #1 16%,  14 secs]  2 threads:       23380 ops,    1722 (avg:    1662) ops/sec, 1.75MB/sec (avg: 1.69MB/sec),  4.64 (avg:  4.81) msec latency
[RUN #1 17%,  15 secs]  2 threads:       25057 ops,    1670 (avg:    1663) ops/sec, 1.70MB/sec (avg: 1.69MB/sec),  4.77 (avg:  4.81) msec latency
[RUN #1 18%,  16 secs]  2 threads:       26815 ops,    1750 (avg:    1668) ops/sec, 1.78MB/sec (avg: 1.69MB/sec),  4.58 (avg:  4.79) msec latency
[RUN #1 19%,  17 secs]  2 threads:       28548 ops,    1726 (avg:    1671) ops/sec, 1.75MB/sec (avg: 1.70MB/sec),  4.62 (avg:  4.78) msec latency
[RUN #1 20%,  18 secs]  2 threads:       30304 ops,    1749 (avg:    1676) ops/sec, 1.78MB/sec (avg: 1.70MB/sec),  4.58 (avg:  4.77) msec latency
[RUN #1 21%,  19 secs]  2 threads:       32040 ops,    1715 (avg:    1678) ops/sec, 1.74MB/sec (avg: 1.70MB/sec),  4.65 (avg:  4.76) msec latency
[RUN #1 22%,  20 secs]  2 threads:       33767 ops,    1720 (avg:    1680) ops/sec, 1.75MB/sec (avg: 1.71MB/sec),  4.64 (avg:  4.76) msec latency
[RUN #1 23%,  21 secs]  2 threads:       35492 ops,    1718 (avg:    1682) ops/sec, 1.74MB/sec (avg: 1.71MB/sec),  4.65 (avg:  4.75) msec latency
[RUN #1 25%,  22 secs]  2 threads:       37195 ops,    1696 (avg:    1682) ops/sec, 1.72MB/sec (avg: 1.71MB/sec),  4.72 (avg:  4.75) msec latency
[RUN #1 26%,  23 secs]  2 threads:       38890 ops,    1688 (avg:    1683) ops/sec, 1.71MB/sec (avg: 1.71MB/sec),  4.73 (avg:  4.75) msec latency
[RUN #1 27%,  24 secs]  2 threads:       40690 ops,    1685 (avg:    1683) ops/sec, 1.71MB/sec (avg: 1.71MB/sec),  4.74 (avg:  4.75) msec latency
[RUN #1 28%,  25 secs]  2 threads:       42422 ops,    1725 (avg:    1684) ops/sec, 1.75MB/sec (avg: 1.71MB/sec),  4.64 (avg:  4.74) msec latency
[RUN #1 29%,  26 secs]  2 threads:       44134 ops,    1705 (avg:    1685) ops/sec, 1.73MB/sec (avg: 1.71MB/sec),  4.68 (avg:  4.74) msec latency
[RUN #1 30%,  27 secs]  2 threads:       45832 ops,    1691 (avg:    1685) ops/sec, 1.72MB/sec (avg: 1.71MB/sec),  4.73 (avg:  4.74) msec latency
[RUN #1 31%,  28 secs]  2 threads:       47603 ops,    1763 (avg:    1688) ops/sec, 1.79MB/sec (avg: 1.71MB/sec),  4.53 (avg:  4.73) msec latency
[RUN #1 32%,  29 secs]  2 threads:       49309 ops,    1699 (avg:    1688) ops/sec, 1.72MB/sec (avg: 1.71MB/sec),  4.71 (avg:  4.73) msec latency
[RUN #1 34%,  30 secs]  2 threads:       51003 ops,    1687 (avg:    1688) ops/sec, 1.71MB/sec (avg: 1.71MB/sec),  4.73 (avg:  4.73) msec latency
[RUN #1 35%,  31 secs]  2 threads:       52752 ops,    1742 (avg:    1690) ops/sec, 1.77MB/sec (avg: 1.72MB/sec),  4.58 (avg:  4.73) msec latency
[RUN #1 36%,  32 secs]  2 threads:       54459 ops,    1700 (avg:    1690) ops/sec, 1.73MB/sec (avg: 1.72MB/sec),  4.71 (avg:  4.73) msec latency
[RUN #1 37%,  33 secs]  2 threads:       56165 ops,    1699 (avg:    1691) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.69 (avg:  4.73) msec latency
[RUN #1 38%,  34 secs]  2 threads:       57914 ops,    1735 (avg:    1692) ops/sec, 1.76MB/sec (avg: 1.72MB/sec),  4.61 (avg:  4.72) msec latency
[RUN #1 39%,  35 secs]  2 threads:       59655 ops,    1734 (avg:    1693) ops/sec, 1.76MB/sec (avg: 1.72MB/sec),  4.61 (avg:  4.72) msec latency
[RUN #1 40%,  36 secs]  2 threads:       61380 ops,    1718 (avg:    1694) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.65 (avg:  4.72) msec latency
[RUN #1 41%,  37 secs]  2 threads:       63102 ops,    1717 (avg:    1694) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.65 (avg:  4.72) msec latency
[RUN #1 42%,  38 secs]  2 threads:       64825 ops,    1716 (avg:    1695) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.66 (avg:  4.71) msec latency
[RUN #1 44%,  39 secs]  2 threads:       66518 ops,    1686 (avg:    1695) ops/sec, 1.71MB/sec (avg: 1.72MB/sec),  4.75 (avg:  4.72) msec latency
[RUN #1 45%,  40 secs]  2 threads:       68252 ops,    1727 (avg:    1696) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.62 (avg:  4.71) msec latency
[RUN #1 46%,  41 secs]  2 threads:       69977 ops,    1718 (avg:    1696) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.66 (avg:  4.71) msec latency
[RUN #1 47%,  42 secs]  2 threads:       71673 ops,    1689 (avg:    1696) ops/sec, 1.71MB/sec (avg: 1.72MB/sec),  4.72 (avg:  4.71) msec latency
[RUN #1 48%,  43 secs]  2 threads:       73383 ops,    1703 (avg:    1696) ops/sec, 1.73MB/sec (avg: 1.72MB/sec),  4.69 (avg:  4.71) msec latency
[RUN #1 49%,  44 secs]  2 threads:       75045 ops,    1655 (avg:    1695) ops/sec, 1.68MB/sec (avg: 1.72MB/sec),  4.83 (avg:  4.71) msec latency
[RUN #1 50%,  45 secs]  2 threads:       76748 ops,    1696 (avg:    1695) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.72 (avg:  4.71) msec latency
[RUN #1 51%,  46 secs]  2 threads:       78488 ops,    1733 (avg:    1696) ops/sec, 1.76MB/sec (avg: 1.72MB/sec),  4.61 (avg:  4.71) msec latency
[RUN #1 53%,  47 secs]  2 threads:       80225 ops,    1730 (avg:    1697) ops/sec, 1.76MB/sec (avg: 1.72MB/sec),  4.62 (avg:  4.71) msec latency
[RUN #1 54%,  48 secs]  2 threads:       81967 ops,    1735 (avg:    1697) ops/sec, 1.76MB/sec (avg: 1.72MB/sec),  4.61 (avg:  4.71) msec latency
[RUN #1 55%,  49 secs]  2 threads:       83714 ops,    1740 (avg:    1698) ops/sec, 1.77MB/sec (avg: 1.72MB/sec),  4.60 (avg:  4.71) msec latency
[RUN #1 56%,  50 secs]  2 threads:       85418 ops,    1697 (avg:    1698) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.71 (avg:  4.71) msec latency
[RUN #1 57%,  51 secs]  2 threads:       87061 ops,    1636 (avg:    1697) ops/sec, 1.66MB/sec (avg: 1.72MB/sec),  4.88 (avg:  4.71) msec latency
[RUN #1 58%,  52 secs]  2 threads:       88661 ops,    1593 (avg:    1695) ops/sec, 1.62MB/sec (avg: 1.72MB/sec),  5.02 (avg:  4.71) msec latency
[RUN #1 59%,  53 secs]  2 threads:       90347 ops,    1679 (avg:    1695) ops/sec, 1.70MB/sec (avg: 1.72MB/sec),  4.76 (avg:  4.72) msec latency
[RUN #1 60%,  54 secs]  2 threads:       92075 ops,    1721 (avg:    1695) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.64 (avg:  4.71) msec latency
[RUN #1 61%,  55 secs]  2 threads:       93786 ops,    1704 (avg:    1695) ops/sec, 1.73MB/sec (avg: 1.72MB/sec),  4.70 (avg:  4.71) msec latency
[RUN #1 63%,  56 secs]  2 threads:       95519 ops,    1726 (avg:    1696) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.62 (avg:  4.71) msec latency
[RUN #1 64%,  57 secs]  2 threads:       97230 ops,    1704 (avg:    1696) ops/sec, 1.73MB/sec (avg: 1.72MB/sec),  4.70 (avg:  4.71) msec latency
[RUN #1 65%,  58 secs]  2 threads:       98948 ops,    1711 (avg:    1696) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.67 (avg:  4.71) msec latency
[RUN #1 66%,  59 secs]  2 threads:      100678 ops,    1723 (avg:    1697) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.64 (avg:  4.71) msec latency
[RUN #1 67%,  60 secs]  2 threads:      102407 ops,    1722 (avg:    1697) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.65 (avg:  4.71) msec latency
[RUN #1 68%,  61 secs]  2 threads:      104084 ops,    1669 (avg:    1697) ops/sec, 1.69MB/sec (avg: 1.72MB/sec),  4.77 (avg:  4.71) msec latency
[RUN #1 69%,  62 secs]  2 threads:      105779 ops,    1688 (avg:    1697) ops/sec, 1.71MB/sec (avg: 1.72MB/sec),  4.74 (avg:  4.71) msec latency
[RUN #1 70%,  63 secs]  2 threads:      107410 ops,    1624 (avg:    1695) ops/sec, 1.65MB/sec (avg: 1.72MB/sec),  4.91 (avg:  4.71) msec latency
[RUN #1 71%,  64 secs]  2 threads:      109093 ops,    1676 (avg:    1695) ops/sec, 1.70MB/sec (avg: 1.72MB/sec),  4.76 (avg:  4.71) msec latency
[RUN #1 73%,  65 secs]  2 threads:      110794 ops,    1694 (avg:    1695) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.72 (avg:  4.71) msec latency
[RUN #1 74%,  66 secs]  2 threads:      112479 ops,    1678 (avg:    1695) ops/sec, 1.70MB/sec (avg: 1.72MB/sec),  4.76 (avg:  4.72) msec latency
[RUN #1 75%,  67 secs]  2 threads:      114136 ops,    1650 (avg:    1694) ops/sec, 1.68MB/sec (avg: 1.72MB/sec),  4.85 (avg:  4.72) msec latency
[RUN #1 76%,  68 secs]  2 threads:      115815 ops,    1671 (avg:    1694) ops/sec, 1.70MB/sec (avg: 1.72MB/sec),  4.77 (avg:  4.72) msec latency
[RUN #1 77%,  69 secs]  2 threads:      117533 ops,    1711 (avg:    1694) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.67 (avg:  4.72) msec latency
[RUN #1 78%,  70 secs]  2 threads:      119178 ops,    1638 (avg:    1693) ops/sec, 1.66MB/sec (avg: 1.72MB/sec),  4.88 (avg:  4.72) msec latency
[RUN #1 79%,  71 secs]  2 threads:      120888 ops,    1703 (avg:    1693) ops/sec, 1.73MB/sec (avg: 1.72MB/sec),  4.69 (avg:  4.72) msec latency
[RUN #1 80%,  72 secs]  2 threads:      122584 ops,    1689 (avg:    1693) ops/sec, 1.71MB/sec (avg: 1.72MB/sec),  4.73 (avg:  4.72) msec latency
[RUN #1 82%,  73 secs]  2 threads:      124187 ops,    1596 (avg:    1692) ops/sec, 1.62MB/sec (avg: 1.72MB/sec),  5.01 (avg:  4.72) msec latency
[RUN #1 83%,  74 secs]  2 threads:      125884 ops,    1690 (avg:    1692) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.72 (avg:  4.72) msec latency
[RUN #1 84%,  75 secs]  2 threads:      127559 ops,    1668 (avg:    1692) ops/sec, 1.69MB/sec (avg: 1.72MB/sec),  4.79 (avg:  4.72) msec latency
[RUN #1 85%,  76 secs]  2 threads:      129256 ops,    1690 (avg:    1692) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.73 (avg:  4.72) msec latency
[RUN #1 86%,  77 secs]  2 threads:      130955 ops,    1692 (avg:    1692) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.72 (avg:  4.72) msec latency
[RUN #1 87%,  78 secs]  2 threads:      132665 ops,    1703 (avg:    1692) ops/sec, 1.73MB/sec (avg: 1.72MB/sec),  4.69 (avg:  4.72) msec latency
[RUN #1 88%,  79 secs]  2 threads:      134371 ops,    1699 (avg:    1692) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.71 (avg:  4.72) msec latency
[RUN #1 89%,  80 secs]  2 threads:      135997 ops,    1619 (avg:    1691) ops/sec, 1.64MB/sec (avg: 1.72MB/sec),  4.93 (avg:  4.73) msec latency
[RUN #1 90%,  81 secs]  2 threads:      137690 ops,    1686 (avg:    1691) ops/sec, 1.71MB/sec (avg: 1.72MB/sec),  4.74 (avg:  4.73) msec latency
[RUN #1 92%,  82 secs]  2 threads:      139310 ops,    1613 (avg:    1690) ops/sec, 1.64MB/sec (avg: 1.72MB/sec),  4.97 (avg:  4.73) msec latency
[RUN #1 93%,  83 secs]  2 threads:      141010 ops,    1693 (avg:    1690) ops/sec, 1.72MB/sec (avg: 1.72MB/sec),  4.72 (avg:  4.73) msec latency
[RUN #1 94%,  84 secs]  2 threads:      142731 ops,    1714 (avg:    1690) ops/sec, 1.74MB/sec (avg: 1.72MB/sec),  4.67 (avg:  4.73) msec latency
[RUN #1 95%,  85 secs]  2 threads:      144459 ops,    1721 (avg:    1691) ops/sec, 1.75MB/sec (avg: 1.72MB/sec),  4.65 (avg:  4.73) msec latency
[RUN #1 96%,  86 secs]  2 threads:      146196 ops,    1730 (avg:    1691) ops/sec, 1.76MB/sec (avg: 1.72MB/sec),  4.62 (avg:  4.73) msec latency
[RUN #1 97%,  87 secs]  2 threads:      147955 ops,    1751 (avg:    1692) ops/sec, 1.78MB/sec (avg: 1.72MB/sec),  4.55 (avg:  4.72) msec latency
[RUN #1 98%,  88 secs]  2 threads:      149624 ops,    1662 (avg:    1691) ops/sec, 1.69MB/sec (avg: 1.72MB/sec),  4.81 (avg:  4.72) msec latency
