  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
 27848      0      0       0  27848  27848   2720.31   242.16   2452.98      0
  3237      0      0       0   3237   3237   2665.62   164.33   2469.40      0
  3266      0      0       0   3266   3266   2683.01   227.68   2439.22      0
  3272      0      0       0   3272   3272   2638.24   203.06   2398.51      0
  3317      0      0       0   3317   3317   2589.58   125.26   2449.89      0
  3416      0      0       0   3416   3416   2560.66   156.20   2389.01      0
  3410      0      0       0   3410   3410   2530.23   152.96   2358.97      0
  3216      0      0       0   3216   3216   2728.38   220.10   2475.09      0
  3422      0      0       0   3422   3422   2513.57   139.11   2359.49      2
  3457      0      0       0   3457   3457   2486.59   135.32   2336.52      2
  3359      0      0       0   3359   3359   2546.33   155.90   2375.48      0
  3410      0      0       0   3410   3410   2539.21   141.10   2383.22      0
  3447      0      0       0   3447   3447   2519.99   143.51   2361.45      0
  3489      0      0       0   3489   3489   2465.51   110.20   2340.37      0
  3526      0      0       0   3526   3526   2447.25   112.00   2320.59      0
  3464      0      0       0   3464   3464   2463.95    97.00   2351.09      0
  3474      0      0       0   3474   3474   2528.54   143.91   2370.12      0
  3467      0      0       0   3467   3467   2486.81   140.35   2331.46      0
  3470      0      0       0   3470   3470   2494.77   148.61   2330.97      0
  3400      0      0       0   3400   3400   2591.10   173.16   2401.30      6
  3553      0      0       0   3553   3553   2499.22   106.76   2378.07      0
  3556      0      0       0   3556   3556   2534.71   157.74   2362.38      0
  3593      0      0       0   3593   3593   2476.44   123.81   2337.46      0
  3448      0      0       0   3448   3448   2529.64   153.84   2359.15      3
  3532      0      0       0   3532   3532   2461.64   118.58   2327.95      0
  3433      0      0       0   3433   3433   2519.29   143.10   2359.63      0
  3485      0      0       0   3485   3485   2499.13   143.18   2340.08      0
  3579      0      0       0   3579   3579   2442.88    93.90   2334.47      0
  3559      0      0       0   3559   3559   2442.31   135.45   2291.84      0
  3471      0      0       0   3471   3471   2544.93   148.43   2378.69      0
  3460      0      0       0   3460   3460   2504.74   143.89   2345.66      0
  3446      0      0       0   3446   3446   2515.90   149.80   2350.73      0
  3415      0      0       0   3415   3415   2487.27   145.75   2326.60      0
  3484      0      0       0   3484   3484   2474.88   143.17   2316.55      0
  3397      0      0       0   3397   3397   2591.49   194.72   2381.47      0
  3443      0      0       0   3443   3443   2524.70   148.86   2356.90     14
  3504      0      0       0   3504   3504   2463.95   113.51   2335.90      0
  3541      0      0       0   3541   3541   2503.49   120.94   2366.63      0
  3604      0      0       0   3604   3604   2485.03   148.40   2319.05      0
  3032      0      0       0   3032   3032   2532.06   176.15   2340.45      0
  3532      0      0       0   3532   3532   2451.04   155.88   2278.42      0
  3404      0      0       0   3404   3404   2609.12   208.16   2384.14      1
  3499      0      0       0   3499   3499   2490.73   200.76   2274.20      0
  3382      0      0       0   3382   3382   2515.37   141.74   2353.45      0
  3487      0      0       0   3487   3487   2459.35   148.93   2293.96      0
  3424      0      0       0   3424   3424   2532.73   166.96   2350.11      0
  3461      0      0       0   3461   3461   2463.20   135.91   2310.88      4
  3552      0      0       0   3552   3552   2460.52   128.54   2315.25      0
  3408      0      0       0   3408   3408   2526.59   193.21   2317.47      0
  3493      0      0       0   3493   3493   2486.65   165.39   2305.55      0
  3470      0      0       0   3470   3470   2481.19   154.31   2311.58      1
  3479      0      0       0   3479   3479   2509.14   170.05   2322.08      0
  3472      0      0       0   3472   3472   2498.94   127.77   2355.75      0
  3448      0      0       0   3448   3448   2522.59   156.00   2349.62      0
  3456      0      0       0   3456   3456   2514.84   148.98   2350.30      5
  3490      0      0       0   3490   3490   2473.38   172.07   2282.75      6
  3492      0      0       0   3492   3492   2485.22   133.89   2335.44      0
  3502      0      0       0   3502   3502   2471.30   161.65   2292.82      0
  3505      0      0       0   3505   3505   2469.84   168.82   2284.02      0
  3296      0      0       0   3296   3296   2660.45   191.91   2451.26      0
  3526      0      0       0   3526   3526   2453.41   154.81   2282.83      4
  3492      0      0       0   3492   3492   2493.91   157.10   2320.43      0
  3571      0      0       0   3571   3571   2432.19   153.85   2262.88      8
  3474      0      0       0   3474   3474   2527.59   159.08   2352.59      1
  3366      0      0       0   3366   3366   2605.52   196.58   2391.75      0
  3590      0      0       0   3590   3590   2491.62   137.71   2334.98      0
  3421      0      0       0   3421   3421   2587.88   155.62   2416.56      0
  3484      0      0       0   3484   3484   2527.47   156.16   2354.37      0
  3443      0      0       0   3443   3443   2547.88   174.33   2355.30      0
  3408      0      0       0   3408   3408   2590.44   147.36   2425.86      0
  3499      0      0       0   3499   3499   2496.59   180.17   2299.44      0
  3575      0      0       0   3575   3575   2460.91   144.17   2299.67      0
  3517      0      0       0   3517   3517   2490.87   140.21   2334.28      0
  3453      0      0       0   3453   3453   2525.39   150.73   2357.52      0
  3501      0      0       0   3501   3501   2456.65   147.11   2288.84      2
  3399      0      0       0   3399   3399   2599.65   191.11   2392.54      5
  3439      0      0       0   3439   3439   2517.34   171.82   2327.54      0
  3489      0      0       0   3489   3489   2501.00   171.82   2312.73      0
  3464      0      0       0   3464   3464   2506.14   171.06   2318.10      0
  3343      0      0       0   3343   3343   2646.87   258.09   2368.99      0
  3352      0      0       0   3352   3352   2573.02   185.28   2364.51      0
  2843      0      0       0   2843   2843   2589.89   181.00   2391.68      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
