  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
     0  62557      0       0  62557      0    861.70   239.75    596.58      0
     0   7468      0       0   7468      0    935.83   264.07    652.22      4
     0   8292      0       0   8292      0    749.23   209.76    518.99      0
     0   7941      0       0   7941      0    650.52   174.34    455.45     14
     0   7207      0       0   7207      0    802.37   219.98    561.59      0
     0   7733      0       0   7733      0    807.30   211.32    567.73      0
     0   7538      0       0   7538      0    896.00   186.07    684.37      0
     0   9006      0       0   9006      0    691.22   166.68    503.89      4
     0   6849      0       0   6849      0    874.18   208.09    643.02      0
     0   7824      0       0   7824      0    918.36   235.81    656.38      9
     0   6996      0       0   6996      0    931.08   268.93    639.02      6
     0   7994      0       0   7994      0    790.25   206.25    561.53      0
     0   8197      0       0   8197      0    805.96   183.36    599.66      0
     0   8027      0       0   8027      0    710.95   174.20    511.59      5
     0   6891      0       0   6891      0    950.66   242.42    684.93      0
     0   7441      0       0   7441      0    841.55   219.20    594.74      0
     0   7338      0       0   7338      0    931.47   270.90    637.09      0
     0   7535      0       0   7535      0    723.31   181.49    521.58      0
     0   8232      0       0   8232      0    695.90   153.58    518.51      0
     0   7303      0       0   7303      0    886.92   249.08    616.12      0
     0   7945      0       0   7945      0    663.73   161.91    482.37      0
     0   6766      0       0   6766      0   1016.72   319.05    669.19      0
     0   8525      0       0   8525      0    754.52   178.59    549.97      0
     0   9071      0       0   9071      0    660.30   161.54    476.40      0
     0   7235      0       0   7235      0    845.91   191.15    632.06      0
     0   7861      0       0   7861      0    844.80   225.43    591.30      0
     0   7634      0       0   7634      0    756.26   185.31    549.39      0
     0   7493      0       0   7493      0    714.69   177.64    515.98      0
     0   6990      0       0   6990      0    814.75   197.87    594.79      0
     0   6198      0       0   6198      0   1001.92   215.64    761.67      1
     0   8227      0       0   8227      0    839.21   172.01    631.23      0
     0   6480      0       0   6480      0   1117.84   287.36    803.31      1
     0   7264      0       0   7264      0    886.44   241.82    606.59      0
     0   6103      0       0   6103      0   1073.27   278.10    764.76      0
     0   7182      0       0   7182      0    886.80   193.55    670.12      9
     0   6437      0       0   6437      0    899.88   190.19    680.75      0
     0   7398      0       0   7398      0    813.42   197.85    589.93      0
     0   7211      0       0   7211      0    870.79   264.97    551.42      0
     0   7893      0       0   7893      0    679.22   157.08    492.84      0
     0   6455      0       0   6455      0   1157.46   291.39    820.72      0
     0   7491      0       0   7491      0    862.74   193.32    642.61      0
     0   7194      0       0   7194      0    981.10   207.41    744.58      0
     0   7200      0       0   7200      0    864.53   213.44    619.18      2
     0   6893      0       0   6893      0   1071.28   259.70    781.22      0
     0   6544      0       0   6544      0   1066.01   255.71    772.78      2
     0   6429      0       0   6429      0    923.90   222.17    674.60      0
     0   6807      0       0   6807      0    985.31   242.99    715.14      0
     0   5574      0       0   5574      0    997.87   227.51    743.57     13
     0   6196      0       0   6196      0    994.30   233.97    716.11      9
     0   7480      0       0   7480      0    871.82   260.76    582.37      0
     0   7511      0       0   7511      0    944.87   230.68    683.84      1
     0   7052      0       0   7052      0    950.90   224.94    698.37      9
     0   7064      0       0   7064      0    966.61   183.59    751.22      0
     0   6883      0       0   6883      0   1030.64   216.11    782.18     11
     0   6693      0       0   6693      0    944.43   187.61    723.40      0
     0   7495      0       0   7495      0    933.48   226.44    677.75      0
     0   7036      0       0   7036      0   1042.25   231.60    787.81      0
     0   7342      0       0   7342      0    868.51   247.58    595.01      4
     0   7055      0       0   7055      0    876.42   194.98    652.79      0
     0   6813      0       0   6813      0    974.94   223.55    725.17      0
     0   7025      0       0   7025      0    862.21   198.80    632.78      0
     0   6924      0       0   6924      0    959.88   219.16    716.58      0
     0   6188      0       0   6188      0   1042.24   236.01    780.96      0
     0   5349      0       0   5349      0   1165.49   297.47    847.29      0
     0   8262      0       0   8262      0    681.63   147.14    518.37      0
     0   7385      0       0   7385      0    887.48   193.21    673.97      7
     0   7339      0       0   7339      0    986.97   238.86    719.23      0
     0   7304      0       0   7304      0   1008.88   258.14    724.34      8
     0   6852      0       0   6852      0   1002.60   209.16    771.79      1
     0   6947      0       0   6947      0   1044.52   267.24    747.41      0
     0   6966      0       0   6966      0    863.76   230.85    613.58      0
     0   6282      0       0   6282      0   1122.05   262.39    830.42      0
     0   6819      0       0   6819      0   1121.02   285.51    803.83      0
     0   5845      0       0   5845      0   1199.27   270.68    896.36      3
     0   7037      0       0   7037      0    860.88   198.28    637.11      0
     0   7225      0       0   7225      0   1005.97   279.98    702.95      0
     0   6757      0       0   6757      0   1047.00   285.54    732.06      0
     0   7309      0       0   7309      0    956.97   234.02    699.23      0
     0   7215      0       0   7215      0    968.19   211.80    718.49      0
     0   6878      0       0   6878      0   1006.12   288.96    694.36      6
     0   6535      0       0   6535      0    969.27   269.51    670.59      0
     0   6816      0       0   6816      0    779.63   192.51    563.59      0
     0   1241      0       0   1241      0    644.12   148.68    471.46      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
