[RUN #1 10%,   9 secs]  1 threads:       11601 ops,    1352 (avg:    1282) ops/sec, 1.25MB/sec (avg: 1.18MB/sec),  2.96 (avg:  3.11) msec latency
[RUN #1 11%,  10 secs]  1 threads:       12974 ops,    1367 (avg:    1290) ops/sec, 1.23MB/sec (avg: 1.18MB/sec),  2.91 (avg:  3.09) msec latency
[RUN #1 12%,  11 secs]  1 threads:       14365 ops,    1380 (avg:    1298) ops/sec, 1.24MB/sec (avg: 1.19MB/sec),  2.88 (avg:  3.07) msec latency
[RUN #1 13%,  12 secs]  1 threads:       15760 ops,    1383 (avg:    1305) ops/sec, 1.27MB/sec (avg: 1.19MB/sec),  2.89 (avg:  3.05) msec latency
[RUN #1 15%,  13 secs]  1 threads:       17107 ops,    1336 (avg:    1308) ops/sec, 1.27MB/sec (avg: 1.20MB/sec),  2.99 (avg:  3.05) msec latency
[RUN #1 16%,  14 secs]  1 threads:       18498 ops,    1379 (avg:    1313) ops/sec, 1.30MB/sec (avg: 1.21MB/sec),  2.89 (avg:  3.04) msec latency
[RUN #1 17%,  15 secs]  1 threads:       19836 ops,    1327 (avg:    1314) ops/sec, 1.22MB/sec (avg: 1.21MB/sec),  3.01 (avg:  3.04) msec latency
[RUN #1 18%,  16 secs]  1 threads:       21127 ops,    1280 (avg:    1312) ops/sec, 1.23MB/sec (avg: 1.21MB/sec),  3.11 (avg:  3.04) msec latency
[RUN #1 19%,  17 secs]  1 threads:       22402 ops,    1264 (avg:    1309) ops/sec, 1.14MB/sec (avg: 1.21MB/sec),  3.15 (avg:  3.05) msec latency
[RUN #1 20%,  18 secs]  1 threads:       23748 ops,    1340 (avg:    1311) ops/sec, 1.24MB/sec (avg: 1.21MB/sec),  2.98 (avg:  3.04) msec latency
[RUN #1 21%,  19 secs]  1 threads:       25043 ops,    1289 (avg:    1310) ops/sec, 1.21MB/sec (avg: 1.21MB/sec),  3.10 (avg:  3.05) msec latency
[RUN #1 22%,  20 secs]  1 threads:       26349 ops,    1300 (avg:    1309) ops/sec, 1.16MB/sec (avg: 1.21MB/sec),  3.06 (avg:  3.05) msec latency
[RUN #1 23%,  21 secs]  1 threads:       27630 ops,    1275 (avg:    1307) ops/sec, 1.17MB/sec (avg: 1.20MB/sec),  3.13 (avg:  3.05) msec latency
[RUN #1 25%,  22 secs]  1 threads:       28955 ops,    1319 (avg:    1308) ops/sec, 1.18MB/sec (avg: 1.20MB/sec),  3.02 (avg:  3.05) msec latency
[RUN #1 26%,  23 secs]  1 threads:       30270 ops,    1309 (avg:    1308) ops/sec, 1.23MB/sec (avg: 1.20MB/sec),  3.04 (avg:  3.05) msec latency
