  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
     0    608      0       0    608    543   2125.16    29.01   2071.46      0
     0    638      0       0    638    562   2075.49    40.33   1993.56      0
     0    637      0       0    637    556   2105.25    15.32   2068.29      1
     0    656      0       0    656    587   2019.94    24.68   1973.95      0
     0    650      0       0    650    598   2061.63    28.55   1974.40      0
     0    645      0       0    645    590   2061.47    12.50   2028.37      0
     0    633      0       0    633    565   2103.06    12.61   2024.76      0
     0    611      0       0    611    566   2076.69    19.44   2034.17      0
     0    687      0       0    687    616   2009.93    14.19   1973.90      0
     0    649      0       0    649    578   2016.88    15.00   1956.01      0
     0    704      0       0    704    644   1914.64    13.32   1879.75      0
     0    714      0       0    714    621   1900.77    12.04   1868.79      0
     0    681      0       0    681    608   2000.58    14.44   1946.34      0
     0    662      0       0    662    571   2057.59    13.52   2021.94      0
     0    638      0       0    638    584   2074.24    16.38   2007.87      0
     0    662      0       0    662    583   2010.01    31.68   1954.52      0
     0    654      0       0    654    588   2068.81    15.07   2027.87      0
     0    635      0       0    635    561   2082.90    14.05   2010.15      0
     0    659      0       0    659    582   2048.85    14.41   2012.78      0
     0    644      0       0    644    588   2043.90    12.77   2009.16      0
     0    632      0       0    632    556   2083.65    27.92   2014.80      0
     0    626      0       0    626    553   2103.46    14.33   2066.81      0
     0    655      0       0    655    593   2104.46    15.13   2016.94      0
     0    663      0       0    663    584   2039.60    14.32   2001.10      0
     0    667      0       0    667    590   1994.06    14.60   1955.13      0
     0    631      0       0    631    571   2123.61    15.47   2041.30      0
     0    649      0       0    649    577   1999.40    14.04   1962.91      0
     0    642      0       0    642    577   2077.45    13.74   1996.86      0
     0    675      0       0    675    594   1992.20    13.31   1955.20      0
     0    678      0       0    678    610   1990.37    13.09   1941.10      0
     0    675      0       0    675    600   1947.30    13.77   1909.20      0
     0    663      0       0    663    578   1996.13    13.78   1958.24      0
     0    640      0       0    640    570   2019.94    13.82   1979.78      0
     0    667      0       0    667    599   2002.24    14.89   1964.77      0
     0    656      0       0    656    584   2047.80    14.92   1986.90      0
     0    654      0       0    654    587   2011.32    14.85   1972.89      0
     0    658      0       0    658    584   2042.49    14.56   1972.11      0
     0    635      0       0    635    550   2085.46    13.65   2047.52      0
     0    665      0       0    665    579   2037.22    16.24   1967.21      0
     0    656      0       0    656    607   2031.75    17.45   1986.70      0
     0    639      0       0    639    586   2095.67    13.81   2056.34      0
     0    634      0       0    634    576   2138.22    14.65   2023.03      0
     0    647      0       0    647    580   2059.63    17.00   2018.97      0
     0    662      0       0    662    596   2030.75    23.37   1974.30      0
     0    656      0       0    656    581   2070.39    13.12   2034.26      0
     0    652      0       0    652    585   2022.37    14.07   1977.71      0
     0    651      0       0    651    583   2034.73    14.18   1996.41      0
     0    647      0       0    647    555   2062.02    13.49   2021.96      0
     0    646      0       0    646    569   2044.36    12.93   2008.26      0
     0    642      0       0    642    586   2103.81    14.88   2054.46      0
     0    650      0       0    650    573   2057.92    16.06   2017.02      0
     0    638      0       0    638    586   2031.02    14.12   1986.32      0
     0    649      0       0    649    587   2072.24    15.49   2028.03      0
     0    636      0       0    636    550   2056.57    16.91   2016.01      0
     0    656      0       0    656    591   1995.27    27.68   1940.53      0
     0    646      0       0    646    570   2062.67    15.77   2012.00      0
     0    650      0       0    650    564   2035.94    14.54   1994.95      0
     0    652      0       0    652    585   2036.40    13.92   1991.62      0
     0    646      0       0    646    573   2083.36    15.43   2044.31      0
     0    650      0       0    650    576   2030.19    14.09   1988.44      0
     0    644      0       0    644    590   2009.45    13.55   1972.42      0
     0    641      0       0    641    570   2062.76    13.38   2020.23      0
     0    639      0       0    639    569   2012.55    13.01   1976.87      0
     0    662      0       0    662    598   1956.11    14.09   1908.56      0
     0    664      0       0    664    585   1988.99    16.08   1934.36      0
     0    646      0       0    646    581   2005.67    14.32   1964.45      0
     0    658      0       0    658    592   1989.92    13.91   1951.06      0
     0    670      0       0    670    584   1994.81    13.55   1949.65      0
     0    662      0       0    662    606   1986.10    13.09   1948.90      0
     0    644      0       0    644    574   2013.04    13.31   1971.01      0
     0    672      0       0    672    607   1985.87    14.28   1945.83      0
     0    628      0       0    628    568   2071.15    13.38   2028.91      0
     0    649      0       0    649    584   2077.62    14.47   2033.58      0
     0    655      0       0    655    587   2023.34    13.02   1987.66      0
     0    637      0       0    637    588   2016.53    13.64   1973.42      0
     0    648      0       0    648    584   2022.31    14.53   1981.97      0
     0    640      0       0    640    570   2081.37    14.67   2039.92      0
     0    640      0       0    640    569   2037.14    15.73   1998.91      0
     0    644      0       0    644    564   2039.64    13.85   1996.17      0
     0    644      0       0    644    566   2051.74    14.67   2003.33      0
