SETS,GETS,MGETS,INVLD,TOT,HITS,RSP T,Q T,SVR T,Q LEN
0,2429,0,0,2429,2180,2120.24,122.11,1962.74,1
0,2423,0,0,2423,2166,2158.89,149.65,1986.96,0
0,2414,0,0,2414,2105,2052.61,84.94,1945.07,0
0,2468,0,0,2468,2156,2062.18,83.08,1950.17,0
0,2489,0,0,2489,2227,1996.51,74.39,1898.49,0
0,3004,0,0,3004,2764,2059.24,79.02,1957.84,0
0,2438,0,0,2438,2228,2134.16,94.16,2010.17,1
0,2380,0,0,2380,2134,2152.07,80.25,2049.45,0
0,2416,0,0,2416,2223,2115.02,86.52,2003.76,0
0,2353,0,0,2353,2142,2184.68,95.48,2064.70,0
0,2355,0,0,2355,2067,2163.63,85.00,2054.48,0
0,2387,0,0,2387,2178,2101.97,96.58,1979.82,0
0,2408,0,0,2408,2174,2145.66,91.09,2028.58,0
0,2383,0,0,2383,2065,2159.58,90.76,2045.54,0
0,2468,0,0,2468,2185,2113.85,104.16,1982.42,0
0,2491,0,0,2491,2160,2141.30,115.43,2000.28,0
0,2571,0,0,2571,2335,1990.57,78.88,1886.75,0
0,2535,0,0,2535,2257,2038.06,96.62,1914.60,0
0,2620,0,0,2620,2359,2024.00,85.43,1913.93,0
0,2321,0,0,2321,2044,2188.26,93.36,2063.51,0
0,2444,0,0,2444,2164,2147.69,99.46,2024.55,0
0,2517,0,0,2517,2253,2067.29,82.08,1962.49,0
0,2405,0,0,2405,2145,2130.74,90.94,2006.92,0
0,2487,0,0,2487,2227,2067.68,86.59,1956.82,0
0,2419,0,0,2419,2154,2088.87,100.93,1964.73,0
0,2440,0,0,2440,2161,2088.24,75.03,1992.43,0
0,2369,0,0,2369,2117,2091.23,89.14,1976.65,0
0,2408,0,0,2408,2133,2130.76,80.98,2027.24,0
0,2382,0,0,2382,2128,2121.62,98.08,1998.52,0
0,2504,0,0,2504,2242,2062.11,88.31,1950.07,0
0,2505,0,0,2505,2252,2057.27,81.77,1951.95,0
0,2390,0,0,2390,2111,2060.44,84.74,1952.25,0
0,2430,0,0,2430,2173,2038.67,86.27,1928.37,0
0,2424,0,0,2424,2158,2175.77,191.25,1960.82,0
0,2526,0,0,2526,2222,2036.87,93.80,1917.47,0
0,2539,0,0,2539,2242,2012.04,92.18,1897.67,0
0,2579,0,0,2579,2307,2015.68,84.11,1909.82,7
0,2443,0,0,2443,2177,2032.15,84.17,1927.65,0
0,2447,0,0,2447,2209,2060.67,80.35,1958.10,0
0,2486,0,0,2486,2217,2019.65,77.98,1919.10,0
0,2515,0,0,2515,2191,2006.40,74.98,1911.52,0
0,2478,0,0,2478,2150,2056.45,88.92,1943.13,0
0,2500,0,0,2500,2251,2051.80,78.28,1948.28,0
0,2438,0,0,2438,2256,1920.83,80.28,1818.85,0
0,2441,0,0,2441,2215,2033.80,72.32,1939.14,0
0,2460,0,0,2460,2223,2165.73,80.75,2060.16,4
0,2362,0,0,2362,2120,2106.21,76.51,2006.75,0
0,2424,0,0,2424,2178,2061.36,80.91,1956.76,0
0,2445,0,0,2445,2170,2065.82,65.01,1977.72,0
0,2389,0,0,2389,2132,2063.08,84.78,1956.69,0
0,2484,0,0,2484,2189,2093.54,65.62,2006.16,0
0,2534,0,0,2534,2226,2072.11,74.25,1975.27,2
0,2450,0,0,2450,2156,2022.46,68.16,1932.04,0
0,2474,0,0,2474,2231,2077.51,82.42,1973.53,0
0,2387,0,0,2387,2132,2122.48,115.01,1984.80,0
0,2483,0,0,2483,2253,2090.54,97.14,1970.25,0
0,2407,0,0,2407,2169,2062.64,69.65,1969.71,0
0,2422,0,0,2422,2158,2124.02,71.52,2030.40,0
0,2407,0,0,2407,2128,2081.57,90.31,1966.89,0
0,2497,0,0,2497,2222,2068.63,80.95,1963.60,0
0,2482,0,0,2482,2174,2081.33,85.29,1969.49,0
0,2359,0,0,2359,2068,2087.89,89.82,1973.08,0
0,2446,0,0,2446,2184,2071.41,84.86,1960.35,0
0,2442,0,0,2442,2183,2043.86,65.28,1957.42,0
0,2452,0,0,2452,2194,2071.80,81.97,1968.02,0
0,2462,0,0,2462,2216,2104.61,94.23,1987.64,0
0,2507,0,0,2507,2243,2075.48,97.02,1955.46,2
0,2376,0,0,2376,2129,2122.54,90.14,2007.62,0
0,2439,0,0,2439,2166,2104.43,87.62,1992.67,0
0,2425,0,0,2425,2194,2116.48,79.26,2015.34,0
0,2405,0,0,2405,2142,2152.31,94.84,2033.13,0
0,2548,0,0,2548,2274,1999.61,88.61,1886.07,0
0,2408,0,0,2408,2148,2076.24,84.89,1968.23,0
0,2459,0,0,2459,2189,2081.33,103.90,1952.58,0
0,2481,0,0,2481,2248,2046.60,88.23,1928.24,0
0,2452,0,0,2452,2195,2057.89,89.22,1944.96,0
0,2415,0,0,2415,2177,2053.98,103.56,1924.86,0
0,2485,0,0,2485,2244,2059.97,108.04,1928.41,4
0,2417,0,0,2417,2166,2140.68,79.36,2036.97,0
0,2309,0,0,2309,2091,2211.50,97.93,2086.73,0
