Throughput,Latency
699,2.84
697,2.88
740,2.69
692,2.89
699,2.85
710,2.81
727,2.74
683,2.92
669,2.98
714,2.79
698,2.86
679,2.94
704,2.83
719,2.78
607,3.28
706,2.83
713,2.79
693,2.88
670,2.98
695,2.87
691,2.89
688,2.9
686,2.91
684,2.91
758,2.63
732,2.72
759,2.62
724,2.76
720,2.77
720,2.77
675,2.95
697,2.86
710,2.81
682,2.93
692,2.88
686,2.9
711,2.81
676,2.96
730,2.73
710,2.81
692,2.88
706,2.83
767,2.6
752,2.65
683,2.92
711,2.81
693,2.88
717,2.79
679,2.93
677,2.95
680,2.93
675,2.96
673,2.96
700,2.85
685,2.92
680,2.93
694,2.88
691,2.88
714,2.79
707,2.82
700,2.84
689,2.89
694,2.88
665,3.0
673,2.96
611,3.26
733,2.73
701,2.85
705,2.82
674,2.97
681,2.93
711,2.81
695,2.87
678,2.94
694,2.88
681,2.93
688,2.9
709,2.81
724,2.76
654,3.04
