SETS,GETS,MGETS,INVLD,TOT,HITS,RSP T,Q T,SVR T,Q LEN
1255,0,0,0,1255,1255,2083.59,21.65,2031.73,0
1193,0,0,0,1193,1193,2206.87,50.21,2138.63,0
1269,0,0,0,1269,1269,2025.15,29.35,1969.31,0
1276,0,0,0,1276,1276,1993.69,53.44,1921.91,0
1272,0,0,0,1272,1272,1955.99,61.00,1874.77,0
1242,0,0,0,1242,1242,2082.51,58.76,2004.63,0
1325,0,0,0,1325,1325,1994.63,57.60,1917.80,0
1249,0,0,0,1249,1249,2137.21,36.35,1985.31,0
1267,0,0,0,1267,1267,2148.82,53.22,2020.26,0
1314,0,0,0,1314,1314,1996.83,57.97,1919.40,0
1321,0,0,0,1321,1321,1972.84,48.37,1902.06,0
1338,0,0,0,1338,1338,2019.98,64.14,1900.67,1
1400,0,0,0,1400,1400,1851.89,26.02,1810.02,0
1433,0,0,0,1433,1433,1812.41,18.90,1762.68,0
1342,0,0,0,1342,1342,1904.33,41.79,1845.68,0
1333,0,0,0,1333,1333,1962.01,57.16,1884.22,0
1304,0,0,0,1304,1304,1958.80,51.43,1886.66,0
1264,0,0,0,1264,1264,1980.00,58.59,1902.92,0
1329,0,0,0,1329,1329,1974.27,49.16,1907.16,0
1292,0,0,0,1292,1292,1912.43,28.54,1867.22,0
1286,0,0,0,1286,1286,2033.86,37.51,1959.62,0
1281,0,0,0,1281,1281,1994.48,30.60,1947.29,0
1237,0,0,0,1237,1237,2144.34,26.09,2103.05,0
1298,0,0,0,1298,1298,2026.55,29.93,1980.25,0
1301,0,0,0,1301,1301,1979.72,25.71,1931.65,0
1352,0,0,0,1352,1352,1923.56,24.92,1882.04,0
1323,0,0,0,1323,1323,1931.89,14.67,1902.17,0
1300,0,0,0,1300,1300,1940.26,20.57,1899.22,0
1261,0,0,0,1261,1261,1993.53,49.30,1926.25,0
1274,0,0,0,1274,1274,1969.66,34.84,1918.11,0
1280,0,0,0,1280,1280,1977.30,54.05,1905.85,0
1352,0,0,0,1352,1352,1903.58,19.34,1866.91,0
1312,0,0,0,1312,1312,1966.25,17.55,1932.19,1
1299,0,0,0,1299,1299,2012.49,40.12,1954.83,0
1334,0,0,0,1334,1334,1975.23,49.01,1897.60,0
1385,0,0,0,1385,1385,1883.69,22.52,1844.11,0
1379,0,0,0,1379,1379,1907.45,20.27,1870.26,0
1353,0,0,0,1353,1353,1974.54,41.82,1905.12,0
1294,0,0,0,1294,1294,1958.12,62.13,1876.49,0
1376,0,0,0,1376,1376,1932.64,54.74,1860.12,0
1274,0,0,0,1274,1274,2062.85,54.05,1958.52,0
1311,0,0,0,1311,1311,1919.60,32.90,1868.78,0
1351,0,0,0,1351,1351,1917.88,26.70,1874.04,0
1269,0,0,0,1269,1269,2061.08,42.95,1976.31,0
1342,0,0,0,1342,1342,1920.09,57.10,1844.74,0
1347,0,0,0,1347,1347,1929.28,34.39,1876.32,0
1299,0,0,0,1299,1299,2007.40,22.61,1918.69,0
1272,0,0,0,1272,1272,2009.54,23.36,1968.04,0
1354,0,0,0,1354,1354,1918.45,19.05,1882.69,0
1359,0,0,0,1359,1359,1921.35,16.36,1885.21,0
1325,0,0,0,1325,1325,1928.87,19.22,1893.67,0
1288,0,0,0,1288,1288,1987.83,13.49,1939.51,0
1287,0,0,0,1287,1287,1899.00,17.06,1867.83,0
1316,0,0,0,1316,1316,1934.93,16.65,1903.55,0
1282,0,0,0,1282,1282,1978.54,16.08,1878.84,0
1352,0,0,0,1352,1352,1901.97,13.06,1873.40,0
1284,0,0,0,1284,1284,1989.85,12.41,1961.71,0
1333,0,0,0,1333,1333,1925.97,15.95,1888.53,0
1308,0,0,0,1308,1308,1959.22,17.18,1926.40,0
1299,0,0,0,1299,1299,1995.13,16.95,1924.41,0
1315,0,0,0,1315,1315,1988.59,13.71,1959.95,0
1321,0,0,0,1321,1321,1989.55,18.57,1949.70,0
1295,0,0,0,1295,1295,1977.04,15.77,1945.99,0
1265,0,0,0,1265,1265,1931.98,18.93,1897.64,0
1367,0,0,0,1367,1367,1926.26,16.94,1887.28,0
1362,0,0,0,1362,1362,1939.66,38.14,1885.32,0
1356,0,0,0,1356,1356,1996.62,36.43,1928.52,0
1318,0,0,0,1318,1318,1948.83,20.87,1912.51,0
1294,0,0,0,1294,1294,1995.14,20.89,1948.42,0
1316,0,0,0,1316,1316,1992.60,22.48,1954.86,0
1237,0,0,0,1237,1237,2076.91,15.94,2024.96,0
1263,0,0,0,1263,1263,2025.09,19.38,1991.55,1
1286,0,0,0,1286,1286,1984.87,24.91,1944.45,0
1281,0,0,0,1281,1281,1987.24,19.75,1938.95,0
1263,0,0,0,1263,1263,2016.29,19.73,1981.12,0
1300,0,0,0,1300,1300,2004.03,17.90,1964.39,0
1333,0,0,0,1333,1333,1999.63,17.08,1967.78,0
1297,0,0,0,1297,1297,1976.25,20.50,1936.58,0
1322,0,0,0,1322,1322,1966.24,47.45,1902.08,0
1312,0,0,0,1312,1312,2014.60,47.90,1928.36,0
